19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2022.3.1 (1343)"
,CompMgr:,,"BEMCmpMgr 2022.3.1 (8583)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE19 0.922.1 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,"Title 24 High Rise Multi Family Compliance"
Run Date/Time:,,,"2024-12-31 15:57:01"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,310100
Model:,,,"Standard"
Model File:,,,"T:\Projects\60-23413-AO-Bressi Ranch\9_Energy Model\02_Models\2024-12-21 Appt\Bressi Ranch Apartments.cibd22x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,4.31233,0.0343411,11.3725,0,2.65002,0.164808,33.344,55.9375,24.7506,6.40946,0,51.8779,138.976,0,0,0,0,0,175.486,0,0,5.75804,0,0,175.486,181.244,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4634,3792.22,6868.53,4.68525,86.3488,100,0.000288616,0.0058475,0.006309,0,0,0,
1,1,2, 01/01 02,5.14858,0.03278,11.4869,0,2.63798,0.164808,33.344,51.5528,20.1506,5.29477,0,52.815,129.813,0,0,0,0,0,132.356,0,0,4.60643,0,0,132.356,136.962,0,0,0,0,0,0,0,0,0,0,0,0,0,28.438,3792.22,6868.53,4.67863,86.3488,100,0.000288209,0.0058475,0.006309,0,0,0,
1,1,3, 01/01 03,5.8799,0.0310586,11.5868,0,2.63094,0.164808,33.344,48.926,15.4733,4.18008,0,53.6375,122.217,0,0,0,0,0,84.426,0,0,3.45482,0,0,84.426,87.8808,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3355,3792.22,6868.53,4.67286,86.3488,100,0.000287853,0.0058475,0.006309,0,0,0,
1,1,4, 01/01 04,6.4416,0.0292747,11.6616,0,2.62481,0.164808,33.344,48.7918,15.0863,4.73743,0,54.2661,122.882,0,0,0,0,0,64.1943,0,0,3.45482,0,0,64.1943,67.6491,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2529,3792.22,6868.53,4.58439,86.3488,100,0.000282403,0.0058475,0.006309,0,0,0,
1,1,5, 01/01 05,8.43897,0.0271053,11.78,0,2.59716,0.164808,33.344,46.3872,14.6175,5.85212,0,56.352,123.209,0,0,0,0,0,85.7493,0,0,3.45482,0,0,85.7493,89.2041,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3073,3792.22,6868.53,4.65697,86.3488,100,0.000286874,0.0058475,0.006309,0,0,0,
1,1,6, 01/01 06,10.4001,0.0252543,11.7621,0,2.53733,0.164808,33.344,50.4748,14.5685,8.63884,0,58.2336,131.916,0,0,0,0,0,710.35,0,0,5.75804,0,0,710.35,716.108,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4529,3792.22,6868.53,4.69678,86.3488,100,0.000289327,0.0058475,0.006309,0,0,0,
1,1,7, 01/01 07,7.16379,0.0240736,11.6387,0,2.53843,0.164808,33.344,56.7471,20.9084,11.7043,0,54.8737,144.233,0,0,0,0,0,761.881,0,0,11.5161,0,0,761.881,773.397,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4854,3792.22,6868.53,4.70871,86.3488,100,0.000290062,0.0058475,0.006309,0,0,0,
1,1,8, 01/01 08,5.33306,0.0231991,11.4894,0,2.54601,0.164808,33.344,60.8479,44.8418,11.4256,0,52.9005,170.016,0,0,0,0,0,878.485,0,0,31.0934,0,0,878.485,909.578,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4654,3792.22,6868.53,4.69968,86.3488,100,0.000289505,0.0058475,0.006309,0,-27.3005,0,
1,1,9, 01/01 09,2.23998,0.023527,11.1461,0,0.019964,0.164808,33.3578,57.3046,90.3587,9.47486,0,46.9522,204.09,0,0,0,0,0,1376.64,0,0,55.2771,0,0,1376.64,1431.92,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2223,3792.22,6868.53,4.6132,86.3488,100,0.000284178,0.0058475,0.006309,0,-88.9759,0,
1,1,10, 01/01 10,0.580553,0.0428668,10.9061,0,0,0.544158,33.3578,55.1508,138.572,8.0815,0,45.4314,247.236,0,0,0,0,0,1066.94,0,0,55.2771,0,0,1066.94,1122.22,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1869,3792.22,6868.53,3.86796,86.3488,100,0.00023827,0.0058475,0.006309,0,-181.15,0,
1,1,11, 01/01 11,0.194139,0.0602481,10.8607,0,0,0.544158,33.4392,55.9302,193.183,7.52415,0,45.0985,301.735,0,0,0,0,0,585.5,0,0,52.9739,0,0,585.5,638.474,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4551,3792.22,6868.53,3.51881,86.3488,100,0.000216762,0.0058475,0.006309,0,-215.672,0,
1,1,12, 01/01 12,0.0511206,0.060101,10.8421,0,0,0.544158,33.4392,55.0691,170.214,6.96681,0,44.9367,277.186,0,0,0,0,0,795.155,0,0,63.3384,0,0,795.155,858.493,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9523,3792.22,6868.53,3.23841,86.3488,100,0.000199489,0.0058475,0.006309,0,-220.979,0,
1,1,13, 01/01 13,0,0.0561054,10.8343,0,0,0.544158,33.4799,54.6342,125.008,5.85212,0,44.9145,230.409,0,0,0,0,0,488.98,0,0,72.5512,0,0,488.98,561.531,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9626,3792.22,6868.53,3.0552,86.3488,100,0.000188204,0.0058475,0.006309,0,-224.933,0,
1,1,14, 01/01 14,0.00449855,0.0534839,10.8351,0,0,0.544158,33.4799,56.2583,97.0729,5.85212,0,44.9172,204.101,0,0,0,0,0,287.089,0,0,67.9448,0,0,287.089,355.034,0,0,0,0,0,0,0,0,0,0,0,0,0,24.952,3792.22,6868.53,3.15048,86.3488,100,0.000194073,0.0058475,0.006309,0,-196.713,0,
1,1,15, 01/01 15,0.00166376,0.0537787,10.8346,0,0,0.544158,33.4799,58.9402,64.1781,5.85212,0,44.9141,173.884,0,0,0,0,0,328.857,0,0,71.3997,0,0,328.857,400.257,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1226,3792.22,6868.53,3.1592,86.3488,100,0.00019461,0.0058475,0.006309,0,-132.061,0,
1,1,16, 01/01 16,0.00846626,0.0483002,10.8358,0,0,0.164808,33.4799,61.9132,52.4221,7.24548,0,44.5373,166.118,0,0,0,0,0,379.441,0,0,78.3093,0,0,379.441,457.75,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0081,3792.22,6868.53,3.77543,86.3488,100,0.000232571,0.0058475,0.006309,0,-32.2016,0,
1,1,17, 01/01 17,0.071618,0.0398099,10.8378,0,0,0.164808,33.4799,69.3103,98.9788,8.63884,0,44.594,221.522,0,0,0,0,0,526.957,0,0,104.796,0,0,526.957,631.753,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5798,3792.22,6868.53,4.74377,86.3488,100,0.000292221,0.0058475,0.006309,0,-8.06189,0,
1,1,18, 01/01 18,0.157638,0.0337404,10.8384,0,0,0.164808,33.4392,77.9228,111.867,12.2616,0,44.6338,246.686,0,0,0,0,0,722.334,0,0,160.073,0,0,722.334,882.407,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5994,3792.22,6868.53,4.76422,86.3488,100,0.000293481,0.0058475,0.006309,0,0,0,
1,1,19, 01/01 19,0.22385,0.0384308,10.8381,0,0,0.164808,33.385,84.018,118.052,23.4085,0,44.6502,270.129,0,0,0,0,0,1029.05,0,0,148.557,0,0,1029.05,1177.61,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5994,3792.22,6868.53,4.76402,86.3488,100,0.000293469,0.0058475,0.006309,0,0,0,
1,1,20, 01/01 20,0.282922,0.0423414,10.8387,0,0,0.164808,33.344,87.5147,73.255,32.6047,0,44.6727,238.047,0,0,0,0,0,725.273,0,0,82.9157,0,0,725.273,808.189,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5968,3792.22,6868.53,4.76311,86.3488,100,0.000293413,0.0058475,0.006309,0,0,0,
1,1,21, 01/01 21,0.314802,0.0447698,10.8409,0,0,0.164808,33.344,90.774,39.0074,31.4899,0,44.7092,205.981,0,0,0,0,0,788.407,0,0,36.8514,0,0,788.407,825.258,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5802,3792.22,6868.53,4.754,86.3488,100,0.000292851,0.0058475,0.006309,0,0,0,
1,1,22, 01/01 22,0.429561,0.0402623,10.8453,0,0,0.164808,33.344,89.796,48.3291,26.7526,0,44.8239,209.702,0,0,0,0,0,787.362,0,0,16.1225,0,0,787.362,803.485,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4798,3792.22,6868.53,4.71442,86.3488,100,0.000290413,0.0058475,0.006309,0,0,0,
1,1,23, 01/01 23,0.928666,0.0278176,10.8832,0,2.63619,0.164808,33.344,80.1964,52.7731,17.5564,0,47.9846,198.511,0,0,0,0,0,302.106,0,0,10.3645,0,0,302.106,312.471,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9565,3792.22,6868.53,4.37193,86.3488,100,0.000269316,0.0058475,0.006309,0,0,0,
1,1,24, 01/01 24,1.79247,0.0188519,10.992,0,2.68175,0.164808,33.344,68.211,51.2715,10.8682,0,48.9939,179.345,0,0,0,0,0,272.296,0,0,5.75804,0,0,272.296,278.054,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4493,3792.22,6868.53,4.18162,86.3488,100,0.000257592,0.0058475,0.006309,0,0,0,
1,2,1, 01/02 01,2.84475,0.0182761,11.1595,0,2.67103,0.164808,33.344,55.7875,17.5155,6.40946,0,50.2024,129.915,0,0,0,0,0,120.731,0,0,5.75804,0,0,120.731,126.489,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2398,3792.22,6868.53,3.70742,86.3488,100,0.000228381,0.0058475,0.006309,0,0,0,
1,2,2, 01/02 02,4.6872,0.0168882,11.3461,0,2.58197,0.164808,33.344,50.9773,20.0487,5.29477,0,52.1409,128.462,0,0,0,0,0,102.08,0,0,4.60643,0,0,102.08,106.686,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1753,3792.22,6868.53,3.57243,86.3488,100,0.000220065,0.0058475,0.006309,0,0,0,
