1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.1 (8583)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2024-12-31T12:52:53-08:00",
Input File Name:,,,"Bressi Ranch Apartments",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"A1_L01-zn",Conditioned,7260,4,3289.46,823.44,7191,0,0,0,0,0,10746.3,29040,7685.45,0,7191,
"A2_L01-zn",Conditioned,1518,3,728.322,202.362,1510.92,0,0,0,0,0,2011.85,6072,2062.45,0,1510.92,
"A2.1_L01-zn",Conditioned,4578,4,2806.81,632.918,4589.31,0,0,0,0,0,6736.06,18312,4839.89,0,4589.31,
"A3_L01-zn",Conditioned,3112,4,1166.9,378.89,3082.78,0,0,0,0,0,3989.36,12448,4527.71,0,3082.78,
"A3.1_L01-zn",Conditioned,2334,3,841.712,284.167,2322.68,0,0,0,0,0,2972.31,9336,3414.03,0,2322.68,
"A3B_L01-zn",Conditioned,4668,4,1738.53,568.334,4669.27,0,0,0,0,0,5953.32,18672,6765.36,0,4669.27,
"A3B.1_L01-zn",Conditioned,3890,3,1485.77,473.612,3870.99,0,0,0,0,0,4986.29,15560,5625.43,0,3870.98,
"A4_L01-zn",Conditioned,810,2,571.901,146.389,806.041,0,0,0,0,0,1158.99,3240,929.934,0,806.041,
"A5_L01-zn",Conditioned,2960,4,1694.95,381.043,3026.29,0,0,0,0,0,3981.26,11840,3877.49,0,3026.29,
"A6_L01-zn",Conditioned,745,2,462.965,101.181,735.068,0,0,0,0,0,1028.32,2980,943.217,0,735.068,
"A7_L01-zn",Conditioned,799,2,452.685,101.181,801.445,801.445,0,0,0,0,1078.47,3196,1039.05,0,0,
"B1_L01-zn",Conditioned,4488,4,2325.83,533.89,4465.97,0,0,0,0,0,6399.4,17952,5197.25,0,4465.97,
"B2_L01-zn",Conditioned,3348,2,1717.62,419.793,3349.32,0,0,0,0,0,5062.73,13392,3266.54,0,3349.33,
"B2.1_L01-zn",Conditioned,1027,2,589.213,139.931,1034.94,0,0,0,0,0,1517.98,4108,1072.03,0,1034.94,
"B2.3_L01-zn",Conditioned,1116,2,639.153,139.931,1143.58,0,0,0,0,0,1677.02,4464,1109.96,0,1143.58,
"B2B_L01-zn",Conditioned,5580,3,2747.82,699.655,5584.09,0,0,0,0,0,8382.55,22320,5554.9,0,5584.09,
"B4_L01-zn",Conditioned,1057,2,492.138,139.931,1039.86,0,0,0,0,0,1544.21,4228,1173.86,0,1039.86,
"C1_L01-zn",Conditioned,1431,2,1007.17,249.723,1418.89,0,0,0,0,0,2402.62,5724,942.981,0,1418.89,
"C1.1_L01-zn",Conditioned,3008,2,2339.66,421.945,2966.87,0,0,0,0,0,5214.26,12032,1685.74,0,2966.87,
"C1.2_L01-zn",Conditioned,2646,4,2133.69,315.383,2627.12,0,0,0,0,0,4424.87,10584,1772.01,0,2627.12,
"C1.3_L01-zn",Conditioned,1476,2,1065.4,210.973,1454.41,0,0,0,0,0,2527.32,5904,892.545,0,1454.41,
"A1_L02-zn",Conditioned,7260,4,2654.63,823.44,0,0,0,0,0,0,11325.7,29040,6526.58,7191,7191,
"A2_L02-zn",Conditioned,1518,3,607.773,202.362,0,0,0,0,0,0,2181.37,6072,1723.42,1510.92,1510.92,
"A2.1_L02-zn",Conditioned,5341,4,2719.67,734.099,0,0,0,0,0,0,8271.32,21364,4821.35,5356.4,5356.39,
"A3_L02-zn",Conditioned,3112,4,936.047,378.89,0,0,0,0,0,0,4340.38,12448,3825.69,3082.78,3082.78,
"A3.1_L02-zn",Conditioned,3112,4,938.123,378.89,0,0,0,0,0,0,4399.08,12448,3692.68,3090.58,3090.58,
"A3B_L02-zn",Conditioned,4668,4,1413.23,568.334,0,0,0,0,0,0,6494.44,18672,5683.12,4669.27,4669.27,
"B1_L02-zn",Conditioned,5610,4,2311.29,667.362,0,0,0,0,0,0,8586.37,22440,5522.15,5482.55,5586.96,
"B2_L02-zn",Conditioned,8928,4,3619.41,1095.77,0,0,0,0,0,0,14129.4,35712,7717.51,8795.84,8894.56,
"B2.1_L02-zn",Conditioned,2054,3,983.817,289.549,0,0,0,0,0,0,3465.46,8216,3323.2,1034.94,2069.96,
"B2.3_L02-zn",Conditioned,1116,2,533.361,139.931,0,0,0,0,0,0,1768.88,4464,926.241,1143.58,1143.58,
"B2B_L02-zn",Conditioned,7812,3,3280.62,979.516,0,0,0,0,0,0,12417.4,31248,6856.2,7590.54,7806.03,
"B3_L02-zn",Conditioned,1237,2,835.388,198.056,0,0,0,0,0,0,2155.97,4948,653.974,1228.04,1228.04,
"B4_L02-zn",Conditioned,1057,2,410.68,139.931,0,0,0,0,0,0,1638.52,4228,985.24,1039.86,1039.86,
"C1_L02-zn",Conditioned,1431,2,840.47,249.723,0,0,0,0,0,0,2478.65,5724,790.911,1418.89,1418.89,
"C1.1_L02-zn",Conditioned,3008,2,1952.41,421.945,0,0,0,0,0,0,5346.96,12032,1420.34,2966.87,2966.87,
"C1.2_L02-zn",Conditioned,2646,4,1780.53,315.383,0,0,0,0,0,0,4568.4,10584,1484.96,2627.12,2627.12,
"C1.3_L02-zn",Conditioned,1476,2,889.057,210.973,0,0,0,0,0,0,2597.61,5904,751.961,1454.41,1454.41,
"A3B.1_L02-zn",Conditioned,3890,3,1168.09,473.612,0,0,0,0,0,0,5414.15,15560,4780.6,3865.55,3865.55,
"A1_L03-zn",Conditioned,7260,4,2654.63,823.44,0,0,0,0,0,0,11325.7,29040,6526.58,7191,7191,
"A2_L03-zn",Conditioned,1518,3,607.773,202.362,0,0,0,0,0,0,2181.37,6072,1723.42,1510.92,1510.92,
"A2.1_L03-zn",Conditioned,5341,4,2729.93,734.099,0,0,0,0,0,0,8276.45,21364,4811.09,5356.4,5356.4,
"A3_L03-zn",Conditioned,3112,4,936.047,378.89,0,0,0,0,0,0,4340.38,12448,3825.69,3082.78,3082.78,
"A3.1_L03-zn",Conditioned,3112,4,938.123,378.89,0,0,0,0,0,0,4399.08,12448,3692.68,3090.58,3090.58,
"A3B_L03-zn",Conditioned,4668,4,1529.77,568.334,0,0,0,0,0,0,6494.44,18672,5683.12,4669.27,4669.27,
"A3B.1_L03-zn",Conditioned,3890,3,1168.09,473.612,0,0,0,0,0,0,5414.15,15560,4780.6,3865.55,3865.55,
"B1_L03-zn",Conditioned,5610,4,1892,667.362,0,0,0,0,0,0,8586.37,22440,5313.34,5586.96,5586.96,
"B2_L03-zn",Conditioned,11160,4,4531.24,1375.63,0,0,0,0,0,0,17667.5,44640,9381.86,11121.5,11121.5,
"B2.1_L03-zn",Conditioned,2054,3,983.817,289.549,0,0,0,0,0,0,3465.46,8216,1285.08,2069.96,2069.96,
"B2.2_L03-zn",Conditioned,2568,3,1057.09,279.862,0,0,0,0,0,0,4488.88,10272,1294.23,2627.64,2627.64,
"B2.3_L03-zn",Conditioned,1116,2,533.361,139.931,0,0,0,0,0,0,1768.88,4464,926.241,1143.58,1143.58,
"B2B_L03-zn",Conditioned,8928,3,3740.08,1119.45,0,0,0,0,0,0,14186.4,35712,7352.34,8921.38,8921.38,
"B3_L03-zn",Conditioned,1237,2,835.388,198.056,0,0,0,0,0,0,2155.97,4948,653.971,1228.04,1228.04,
"B4_L03-zn",Conditioned,2114,3,1088.9,279.862,0,0,0,0,0,0,3680.67,8456,1162.66,2079.99,2080,
"C1_L03-zn",Conditioned,1431,2,840.47,249.723,0,0,0,0,0,0,2478.65,5724,790.911,1418.89,1418.89,
"C1.1_L03-zn",Conditioned,3008,2,1952.41,421.945,0,0,0,0,0,0,5346.96,12032,1420.34,2966.87,2966.87,
"C1.2_L03-zn",Conditioned,2646,4,1780.53,315.383,0,0,0,0,0,0,4568.4,10584,1484.96,2627.12,2627.12,
"C1.3_L03-zn",Conditioned,1476,2,889.057,210.973,0,0,0,0,0,0,2597.61,5904,751.961,1454.41,1454.41,
"A1_L04-zn",Conditioned,7260,4,2654.63,823.44,0,5901.63,0,0,0,0,11325.7,29040,6526.58,7191,1289.37,
"A2_L04-zn",Conditioned,1518,3,607.773,202.362,0,0,0,0,0,0,2181.37,6072,1723.42,1510.92,1510.92,
"A2.1_L04-zn",Conditioned,5341,4,2729.93,734.099,0,3066.12,0,0,0,0,8276.45,21364,4811.09,5356.4,2290.27,
"A3_L04-zn",Conditioned,3112,4,936.047,378.89,0,3082.78,0,0,0,0,4340.38,12448,3825.69,3082.78,0,
"A3.1_L04-zn",Conditioned,3112,4,938.123,378.89,0,3090.58,0,0,0,0,4338.47,12448,3813.91,3090.58,0,
"A3B_L04-zn",Conditioned,4668,4,1413.23,568.334,0,1536.7,0,0,0,0,6494.44,18672,5683.12,4669.27,3132.57,
"A3B.1_L04-zn",Conditioned,3890,3,1168.09,473.612,0,1539.51,0,0,0,0,5414.15,15560,4780.6,3865.55,2326.04,
"B1_L04-zn",Conditioned,5610,4,1892,667.362,0,4465.97,0,0,0,0,8526.57,22440,5432.93,5586.96,1120.99,
"B2_L04-zn",Conditioned,11160,4,4531.24,1375.63,0,8894.56,0,0,0,0,17667.5,44640,9381.86,11121.5,2226.98,
"B2.1_L04-zn",Conditioned,2054,3,983.817,289.549,0,2069.96,0,0,0,0,3465.46,8216,1285.08,2069.96,0,
"B2.2_L04-zn",Conditioned,2568,3,1057.09,279.862,0,0,0,0,0,0,4488.88,10272,1294.23,2627.64,2627.64,
"B2.3_L04-zn",Conditioned,1116,2,533.361,139.931,0,1143.58,0,0,0,0,1768.88,4464,926.241,1143.58,0,
"B2B_L04-zn",Conditioned,8928,3,3740.08,1119.45,0,2221.94,0,0,0,0,14186.4,35712,7352.34,8921.38,6699.44,
"B3_L04-zn",Conditioned,1237,2,835.388,198.056,0,0,0,0,0,0,2155.97,4948,653.971,1228.04,1228.04,
"B4_L04-zn",Conditioned,2114,3,1088.9,279.862,0,0,0,0,0,0,3680.67,8456,1162.65,2080,2080,
"C1_L04-zn",Conditioned,1431,2,840.47,249.723,0,0,0,0,0,0,2478.65,5724,790.911,1418.89,1418.89,
"C1.1_L04-zn",Conditioned,3008,2,1952.41,421.945,0,0,0,0,0,0,5346.96,12032,1420.34,2966.87,2966.87,
"C1.2_L04-zn",Conditioned,2646,4,1780.53,315.383,0,1304.01,0,0,0,0,4568.4,10584,1484.96,2627.12,1323.11,
"C1.3_L04-zn",Conditioned,1476,2,889.057,210.973,0,0,0,0,0,0,2597.61,5904,751.961,1454.41,1454.41,
"A1_L05-zn",Conditioned,1320,2,453.469,146.389,0,1289.37,0,0,0,0,1811.63,5280,1718,1289.37,0,
"A2_L05-zn",Conditioned,1518,3,607.773,202.362,0,1510.92,0,0,0,0,2181.37,6072,1723.42,1510.92,0,
"A2.1_L05-zn",Conditioned,2289,3,1073.08,303.542,0,2290.27,0,0,0,0,3378.2,9156,2399.6,2290.27,0,
"A3B_L05-zn",Conditioned,3112,4,946.955,378.89,0,3132.57,0,0,0,0,4324.4,12448,3799.2,3132.57,0,
"A3B.1_L05-zn",Conditioned,2334,2,703.688,284.167,0,2326.04,0,0,0,0,3247.92,9336,2856.07,2326.04,0,
"B1_L05-zn",Conditioned,1122,2,370.418,133.472,0,1120.99,0,0,0,0,1700.7,4488,1088.62,1120.99,0,
"B2_L05-zn",Conditioned,2232,3,911.833,279.862,0,2226.98,0,0,0,0,3538.13,8928,1861.78,2226.98,0,
"B2.2_L05-zn",Conditioned,2568,3,1057.09,279.862,0,2627.64,0,0,0,0,4488.88,10272,1294.23,2627.64,0,
"B2B_L05-zn",Conditioned,6696,3,2791.91,839.585,0,6699.44,0,0,0,0,10631.1,26784,5521.83,6699.44,0,
"B3_L05-zn",Conditioned,1237,2,835.388,198.056,0,1228.04,0,0,0,0,2155.97,4948,653.971,1228.04,0,
"B4_L05-zn",Conditioned,2114,3,1088.9,279.862,0,2080,0,0,0,0,3680.67,8456,1162.65,2080,0,
"C1_L05-zn",Conditioned,1431,2,840.47,249.723,0,1418.89,0,0,0,0,2478.65,5724,790.911,1418.89,0,
"C1.1_L05-zn",Conditioned,3008,2,1952.41,421.945,0,2966.87,0,0,0,0,5346.96,12032,1420.34,2966.87,0,
