"(RunTitle not specified)  /  Standard  /  Euclid Building A_v3_2024-04-29.cibd22",002
"Mon 29-Apr-24  10:37:15 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",138.823,0,26.5349,11.1114,0,0,0.160639,0,1.15517,4.80214,16.7173,3.67669,0,5.63815,48.2537,0,14.176,0,5.55219,0,1.04505,0,0,0,0
"MtrElec",1,1,2,"",137.952,0,32.3688,12.74,0,0,0.160639,0,1.63846,4.80214,16.7173,3.53283,0,4.6576,44.526,0,13.4972,2.47506,0,0,0.836044,0,0,0,0
"MtrElec",1,1,3,"",134.689,0,34.0127,13.8709,0,0,0.160639,0,1.86586,4.80214,16.7173,3.43632,0,3.67705,42.2945,0,13.2242,0,0,0,0.627033,0,0,0,0
"MtrElec",1,1,4,"",139.29,0,37.2634,14.883,0,0,0.160639,0,2.1848,4.80214,16.7173,3.41654,0,4.16733,42.1736,0,12.8939,0,0,0,0.627033,0,0,0,0
"MtrElec",1,1,5,"",145.507,0,43.2694,15.9654,0,0,0.160639,0,2.7932,4.80214,16.7173,3.39695,0,5.14787,40.1493,0,12.4777,0,0,0,0.627033,0,0,0,0
"MtrElec",1,1,6,"",154.376,0,45.727,16.2791,0,0,0.160639,0,2.93882,4.80214,16.7173,3.35958,0,7.59924,43.3458,0,12.4012,0,0,0,1.04505,0,0,0,0
"MtrElec",1,1,7,"",163.806,0,42.4107,16.0438,0,0,0.160639,0,2.53915,4.80214,16.7173,3.35062,0,10.2957,48.4542,0,12.702,2.81298,0,1.42685,2.09011,0,0,0,0
"MtrElec",1,1,8,"",181.512,0,37.5518,15.2503,0,0,0.160639,0,2.24015,4.80214,16.7173,3.37514,0,10.0506,53.1074,0,13.7672,2.13782,12.0602,4.64754,5.6433,0,0,0,0
"MtrElec",1,1,9,"",202.521,0,29.6554,12.7673,0,0,0.160639,0,1.70919,4.80214,16.7173,3.39352,0,8.33466,50.3628,0,15.5507,0,39.2827,9.75182,10.0325,0,0,0,0
"MtrElec",1,1,10,"",235.651,0,19.8737,3.06428,0,0,0.160639,0,1.01319,4.80214,16.7173,3.42614,0,7.10897,48.569,0,15.2074,8.06618,82.426,15.1834,10.0325,0,0,0,0
"MtrElec",1,1,11,"",265.148,0,7.31686,0,0.567189,0,0.160639,0,0.320156,4.80214,16.7171,0.0270403,0,6.6187,50.6315,0,14.9452,13.1747,128.336,11.9163,9.61451,0,0,0,0
"MtrElec",1,1,12,"",221.715,0,3.57219,0,0.567189,0,0.160639,0,0.194871,4.80214,16.7172,0,0,6.12842,49.8919,0,15.2515,4.10847,100.721,8.10359,11.4956,0,0,0,0
"MtrElec",1,1,13,"",196.707,0,1.04125,0,0.567189,0,0.160639,0,0.0743877,4.80214,16.7173,0,0,5.14787,51.9897,0,15.5563,11.77,68.4946,7.21836,13.1677,0,0,0,0
"MtrElec",1,1,14,"",174.256,0,0.383374,0,0.567189,0,0.160639,0,0.0133915,4.80214,16.7178,0,0,5.14787,53.3649,0,15.763,0,61.0123,3.99134,12.3316,0,0,0,0
"MtrElec",1,1,15,"",146.573,0,0.216333,0,0.567189,0,0.160639,0,0.00912246,4.80214,16.7178,0,0,5.14787,55.6378,0,15.5668,0,33.7363,1.05193,12.9587,0,0,0,0
"MtrElec",1,1,16,"",129.877,0,0.220256,0,0,0,0.160639,0,0.0091858,4.80214,16.7178,0,0,6.37356,58.1507,0,15.9334,0,8.89128,4.40533,14.2128,0,0,0,0
"MtrElec",1,1,17,"",173.241,0,0.400624,0,0,0,0.160639,0,0.00878571,4.80214,16.7178,0,0,7.59924,64.3901,0,15.6365,0,37.2354,7.26993,19.02,0,0,0,0
"MtrElec",1,1,18,"",224.231,0,1.13811,0,0,0,0.160639,0,0.00442627,4.80214,16.7176,0,0,10.786,70.8183,0,16.5519,3.64801,61.4481,9.10319,29.0525,0,0,0,0
"MtrElec",1,1,19,"",250.084,0,3.43703,0,0,0,0.160639,0,0,4.80214,16.718,0,0,20.5915,74.783,0,17.7803,3.77743,76.9435,4.12769,26.9624,0,0,0,0
"MtrElec",1,1,20,"",209.161,0,5.61925,0,0,0,0.160639,0,0,4.80214,16.7179,0,0,28.681,76.8928,0,17.4619,7.42682,34.8888,1.46124,15.0488,0,0,0,0
"MtrElec",1,1,21,"",175.382,0,7.15154,0,0,0,0.160639,0,0,4.80214,16.7175,0,0,27.7005,79.5333,0,17.0334,1.1769,12.3509,2.06695,6.68836,0,0,0,0
"MtrElec",1,1,22,"",178.179,0,9.77229,0,0,0,0.160639,0,0,4.80214,16.7178,3.64598,0,23.5331,78.8539,0,16.3529,1.2979,17.4706,2.6459,2.92615,0,0,0,0
"MtrElec",1,1,23,"",169.299,0,12.503,0.769019,0,0,0.160639,0,0.0549867,4.80214,16.7174,3.71747,0,15.4436,68.1915,0,15.0992,4.94855,22.3641,2.64597,1.8811,0,0,0,0
"MtrElec",1,1,24,"",159.47,0,18.6029,3.87305,0,0,0.160639,0,0.277448,4.80214,16.7173,3.52774,0,9.56034,58.4145,0,15.1738,4.95004,22.3647,0,1.04505,0,0,0,0
"MtrElec",1,2,1,"",126.529,0,22.8563,6.92787,0,0,0.160639,0,0.62919,4.80214,16.7173,3.51409,0,5.63815,48.1302,0,13.6337,2.47455,0,0,1.04505,0,0,0,0
"MtrElec",1,2,2,"",129.101,0,26.9064,9.77726,0,0,0.160639,0,1.06118,4.80214,16.7173,3.49251,0,4.6576,44.0416,0,13.253,3.39527,0,0,0.836044,0,0,0,0
"MtrElec",1,2,3,"",131.331,0,30.4086,13.1155,0,0,0.160639,0,1.3711,4.80214,16.7173,3.46597,0,3.67705,42.4221,0,12.7991,1.55582,0,0,0.836044,0,0,0,0
"MtrElec",1,2,4,"",128.216,0,29.8339,12.0535,0,0,0.160639,0,1.43488,4.80214,16.7173,3.44693,0,4.16733,42.1778,0,12.586,0,0,0,0.836044,0,0,0,0
"MtrElec",1,2,5,"",123.207,0,28.4166,9.66168,0,0,0.160639,0,1.50569,4.80214,16.7173,3.44302,0,5.14787,40.2769,0,12.2388,0,0,0,0.836044,0,0,0,0
"MtrElec",1,2,6,"",130.04,0,26.9195,8.80653,0,0,0.160639,0,1.33911,4.80214,16.7172,3.43866,0,7.59924,44.6442,0,12.6867,0,0,0,2.92615,0,0,0,0
"MtrElec",1,2,7,"",134.49,0,23.6856,4.08703,0,0,0.160639,0,0.999781,4.80214,16.7173,3.44888,0,10.2957,52.1123,0,14.2097,0,0,0,3.97121,0,0,0,0
"MtrElec",1,2,8,"",147.477,0,18.6572,2.01495,0,0,0.160639,0,0.834729,4.80214,16.7172,3.46971,0,10.0506,63.3747,0,15.543,1.78192,0,4.84462,5.22527,0,0,0,0
"MtrElec",1,2,9,"",195.708,0,14.6668,0.258217,0,0,0.160639,0,0.983986,4.80214,16.7174,3.83114,0,8.33466,77.0195,0,15.104,4.99578,40.9485,2.4516,5.43429,0,0,0,0
"MtrElec",1,2,10,"",178.526,0,9.63554,0,0,0,0.160639,0,0.795985,4.80214,16.7175,0.146501,0,7.10897,78.8269,0,14.0197,12.1257,20.7218,8.86626,4.59824,0,0,0,0
"MtrElec",1,2,11,"",218.365,0,6.39771,0,0,0,0.160639,0,0.489933,4.80214,16.7173,0,0,6.6187,79.3417,0,13.6529,4.8228,74.9409,6.03088,4.38923,0,0,0,0
"MtrElec",1,2,12,"",194.97,0,5.96505,0,0,0,0.160639,0,0.581363,4.80214,16.7173,0,0,6.12842,79.3417,0,13.816,5.26854,50.9753,5.15218,6.06131,0,0,0,0
"MtrElec",1,2,13,"",187.566,0,7.99198,0,0,0,0.160639,0,0.82527,4.80214,16.7175,3.82106,0,5.14787,79.4214,0,14.22,3.18173,43.5482,0.412509,7.31539,0,0,0,0
"MtrElec",1,2,14,"",146.852,0,9.93319,0,0,0,0.160639,0,1.07139,4.80214,16.7173,4.03314,0,5.14787,80.4356,0,13.9063,0,3.48668,0.469537,6.68836,0,0,0,0
"MtrElec",1,2,15,"",151.758,0,9.98265,0,0,0,0.160639,0,1.07172,4.80214,16.7172,4.01801,0,5.14787,82.0989,0,14.0897,2.47465,3.9687,0.119382,7.10638,0,0,0,0
