19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2022.3.0 SP2 (1336)"
,CompMgr:,,"BEMCmpMgr 2022.3.0 SP2 (8454)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE19 0.919.0 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,""
Run Date/Time:,,,"2024-04-29 11:10:06"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,86722
Model:,,,"Standard"
Model File:,,,"T:\_Projects\60-22338-AO-Legacy Euclid & Walnut\10_Energy Model\Models\Building 1A\2024-04-29_Lower_Efficiency_Windows\Euclid Building A_v3_2024-04-29.cibd22"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,11.0304,0,6.64366,0,1.07727,0.0470672,10.7626,14.1383,6.08656,1.65198,0,29.5609,51.4378,0,0,0,0,0,46.3499,0,0,0,0,0,46.3499,46.3499,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0209,3773.76,6868.53,4.69816,86.3488,100,0.000289411,0.0058475,0.006309,0,0,0,
1,1,2, 01/01 02,13.2169,0,6.78526,0,1.03512,0.0470672,10.7626,13.0461,4.92483,1.36468,0,31.8469,51.1825,0,0,0,0,0,35.7449,0,0,0,0,0,35.7449,35.7449,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9955,3773.76,6868.53,4.69152,86.3488,100,0.000289003,0.0058475,0.006309,0,0,0,
1,1,3, 01/01 03,14.0299,0,6.85189,0,1.00684,0.0470672,10.7626,12.3923,4.05841,1.07738,0,32.6983,50.2263,0,0,0,0,0,23.8485,0,0,0,0,0,23.8485,23.8485,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8934,3773.76,6868.53,4.68573,86.3488,100,0.000288646,0.0058475,0.006309,0,0,0,
1,1,4, 01/01 04,15.2789,0,6.94534,0,1.00105,0.0470672,10.7626,12.3569,3.96163,1.22103,0,34.0349,51.5744,0,0,0,0,0,17.8784,0,0,0,0,0,17.8784,17.8784,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8111,3773.76,6868.53,4.59702,86.3488,100,0.000283181,0.0058475,0.006309,0,0,0,
1,1,5, 01/01 05,17.3558,0,7.1236,0,0.995306,0.0470672,10.7626,11.7637,3.83969,1.50833,0,36.2843,53.3961,0,0,0,0,0,22.8454,0,0,0,0,0,22.8454,22.8454,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8653,3773.76,6868.53,4.6698,86.3488,100,0.000287664,0.0058475,0.006309,0,0,0,
1,1,6, 01/01 06,18.1678,0,7.16627,0,0.984357,0.0470672,10.7626,12.7003,3.93975,2.22658,0,37.128,55.9947,0,0,0,0,0,162.035,0,0,0,0,0,162.035,162.035,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0104,3773.76,6868.53,4.70972,86.3488,100,0.000290124,0.0058475,0.006309,0,0,0,
1,1,7, 01/01 07,17.1272,0,7.04917,0,0.981732,0.0470672,10.7626,14.1971,5.57636,3.01664,0,35.9677,58.7578,0,0,0,0,0,196.211,0,0,0,0,0,196.211,196.211,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0428,3773.76,6868.53,4.72169,86.3488,100,0.000290861,0.0058475,0.006309,0,0,0,
1,1,8, 01/01 08,15.471,0,6.96156,0,0.988916,0.0470672,10.9511,15.5605,11.209,2.94483,0,34.4196,64.134,0,0,0,0,0,237.075,0,0,0,0,0,237.075,237.075,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0229,3773.76,6868.53,4.71263,86.3488,100,0.000290303,0.0058475,0.006309,0,-8.4839,0,
1,1,9, 01/01 09,12.4299,0,6.80599,0,0.994301,0.0470672,11.0147,14.7563,21.863,2.44206,0,31.292,70.3533,0,0,0,0,0,372.002,0,0,0,0,0,372.002,372.002,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7807,3773.76,6868.53,4.62591,86.3488,100,0.000284961,0.0058475,0.006309,0,-28.3742,0,
1,1,10, 01/01 10,6.72083,0,6.60206,0,1.00386,0.0470672,11.0147,14.2307,38.3582,2.08293,0,25.3886,80.0604,0,0,0,0,0,318.666,0,0,0,0,0,318.666,318.666,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7526,3773.76,6868.53,3.87862,86.3488,100,0.000238927,0.0058475,0.006309,0,-34.1758,0,
