19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2022.3.0 SP2 (1336)"
,CompMgr:,,"BEMCmpMgr 2022.3.0 SP2 (8454)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE19 0.919.0 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,""
Run Date/Time:,,,"2024-04-29 11:10:05"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,86722
Model:,,,"Proposed"
Model File:,,,"T:\_Projects\60-22338-AO-Legacy Euclid & Walnut\10_Energy Model\Models\Building 1A\2024-04-29_Lower_Efficiency_Windows\Euclid Building A_v3_2024-04-29.cibd22"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,16.692,0.00295051,5.07678,0,1.05084,0.0470672,10.7626,14.1383,6.00168,1.65198,0,33.6322,55.4242,0,0,0,0,0,37.0689,0,0,0,0,0,37.0689,37.0689,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0209,3773.76,6868.53,4.69816,86.3488,100,0.000289411,0.0058475,0.006309,0,0,0,
1,1,2, 01/01 02,19.1976,0.00266217,5.29209,0,1.01366,0.0470672,10.7626,13.0461,4.85021,1.36468,0,36.3156,55.5766,0,0,0,0,0,29.0896,0,0,0,0,0,29.0896,29.0896,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9955,3773.76,6868.53,4.69152,86.3488,100,0.000289003,0.0058475,0.006309,0,0,0,
1,1,3, 01/01 03,19.5018,0.0024608,5.37696,0,0.97264,0.0470672,10.7626,12.3923,3.98748,1.07738,0,36.6634,54.1206,0,0,0,0,0,19.9519,0,0,0,0,0,19.9519,19.9519,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8934,3773.76,6868.53,4.68573,86.3488,100,0.000288646,0.0058475,0.006309,0,0,0,
1,1,4, 01/01 04,21.0668,0.00217691,5.51023,0,0.929994,0.0470672,10.7626,12.3569,3.89339,1.22103,0,38.3189,55.7902,0,0,0,0,0,15.3894,0,0,0,0,0,15.3894,15.3894,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8111,3773.76,6868.53,4.59702,86.3488,100,0.000283181,0.0058475,0.006309,0,0,0,
1,1,5, 01/01 05,24.2148,0.00179006,5.79104,0,0.929405,0.0470672,10.7626,11.7637,3.76471,1.50833,0,41.7467,58.7835,0,0,0,0,0,19.1589,0,0,0,0,0,19.1589,19.1589,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8653,3773.76,6868.53,4.6698,86.3488,100,0.000287664,0.0058475,0.006309,0,0,0,
1,1,6, 01/01 06,25.2985,0.00156105,5.84904,0,0.928318,0.0470672,10.7626,12.7003,3.86553,2.22658,0,42.887,61.6795,0,0,0,0,0,125.005,0,0,0,0,0,125.005,125.005,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0104,3773.76,6868.53,4.70972,86.3488,100,0.000290124,0.0058475,0.006309,0,0,0,
1,1,7, 01/01 07,23.1334,0.00140639,5.62862,0,0.928162,0.0470672,10.7626,14.1971,5.49391,3.01664,0,40.5012,63.2089,0,0,0,0,0,151.742,0,0,0,0,0,151.742,151.742,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0428,3773.76,6868.53,4.72169,86.3488,100,0.000290861,0.0058475,0.006309,0,0,0,
1,1,8, 01/01 08,21.0455,0.0012969,5.54343,0,0.929167,0.0470672,10.9511,15.5605,11.1326,2.94483,0,38.5176,68.1555,0,0,0,0,0,182.675,0,0,0,0,0,182.675,182.675,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0229,3773.76,6868.53,4.71263,86.3488,100,0.000290303,0.0058475,0.006309,0,-9.31318,0,
1,1,9, 01/01 09,17.3547,0.00123918,5.36722,0,0.929739,0.0470672,11.0147,14.7563,21.8142,2.44206,0,34.7148,73.7273,0,0,0,0,0,286.112,0,0,0,0,0,286.112,286.112,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7807,3773.76,6868.53,4.62591,86.3488,100,0.000284961,0.0058475,0.006309,0,-31.1556,0,
1,1,10, 01/01 10,10.2405,0.00132965,4.97211,0,0.930451,0.0470672,11.0147,14.2307,38.2927,2.08293,0,27.2063,81.8126,0,0,0,0,0,246.282,0,0,0,0,0,246.282,246.282,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7526,3773.76,6868.53,3.87862,86.3488,100,0.000238927,0.0058475,0.006309,0,-37.56,0,
