"(RunTitle not specified)  /  Standard  /  Euclid_Bldg B_2024-04-29.cibd22",002
"Mon 29-Apr-24  10:37:18 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",79.297,0,3.1835,0,0.525653,0,0.138192,0,0.590535,4.57516,0.0545155,3.38071,0,5.21701,42.532,0,12.6072,0,5.55219,0,0.940308,0,0,0,0
"MtrElec",1,1,2,"",73.9029,0,5.51683,0,0.525653,0,0.138192,0,1.02608,4.57516,0.0545155,3.36088,0,4.3097,39.1551,0,12.0135,2.47506,0,0,0.752247,0,0,0,0
"MtrElec",1,1,3,"",72.2622,0,7.70492,1.60353,0.525653,0,0.138192,0,1.45196,4.57516,0.0545156,3.33417,0,3.4024,37.1328,0,11.7748,0,0,0,0.564185,0,0,0,0
"MtrElec",1,1,4,"",76.4486,0,9.41574,3.46502,0.768006,0,0.138192,0,1.79289,4.57516,0.0545157,3.30804,0,3.85605,37.0271,0,11.4837,0,0,0,0.564185,0,0,0,0
"MtrElec",1,1,5,"",81.166,0,12.5077,5.81259,0.768006,0,0.138192,0,2.41165,4.57516,0.0545157,3.28711,0,4.76336,35.182,0,11.1015,0,0,0,0.564185,0,0,0,0
"MtrElec",1,1,6,"",90.141,0,14.7021,6.37046,0.768006,0,0.138192,0,2.84896,4.57516,0.0545158,3.24914,0,7.03163,38.4266,0,11.036,0,0,0,0.940308,0,0,0,0
"MtrElec",1,1,7,"",102.539,0,13.6896,5.77408,0.768006,0,0.138192,0,2.64943,4.57516,0.0545158,3.22229,0,9.52672,43.3244,0,11.2898,4.21947,0,1.42685,1.88062,0,0,0,0
"MtrElec",1,1,8,"",119.928,0,10.9825,5.04065,0.768006,0,0.138192,0,2.11473,4.57516,0.0545158,3.2345,0,9.29989,46.4816,0,12.2461,3.20672,12.0602,4.64754,5.07767,0,0,0,0
"MtrElec",1,1,9,"",139.619,0,7.37361,2.15949,0.768006,0,0.138192,0,1.39046,4.57516,0.0545158,3.26731,0,7.7121,43.7638,0,13.883,0,39.2827,6.22336,9.02696,0,0,0,0
"MtrElec",1,1,10,"",157.564,0,3.77965,0,0.768006,0,0.138192,0,0.696019,4.57516,0.0545158,3.31178,0,6.57797,42.1178,0,13.5642,6.04963,52.6022,14.3021,9.02696,0,0,0,0
