19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2022.3.0 SP2 (1336)"
,CompMgr:,,"BEMCmpMgr 2022.3.0 SP2 (8454)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE19 0.919.0 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,""
Run Date/Time:,,,"2024-04-29 10:58:27"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,73772
Model:,,,"Standard"
Model File:,,,"T:\_Projects\60-22338-AO-Legacy Euclid & Walnut\10_Energy Model\Models\Building 2B\CBECC\2024-04-29_Lower Efficiency Win\Euclid_Bldg B_2024-04-29.cibd22"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0.932765,0,1.52952,0,0.990548,0.194507,6.59065,12.4619,5.59621,1.52858,0,10.238,29.8247,0,0,0,0,0,29.5415,0,0,0,0,0,29.5415,29.5415,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0209,3773.76,6868.53,4.69816,86.3488,100,0.000289411,0.0058475,0.006309,0,0,0,
1,1,2, 01/01 02,1.61643,0,1.65714,0,0.984738,0.194507,6.59065,11.4724,4.46556,1.26274,0,11.0435,28.2442,0,0,0,0,0,30.9229,0,0,0,0,0,30.9229,30.9229,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9955,3773.76,6868.53,4.69152,86.3488,100,0.000289003,0.0058475,0.006309,0,0,0,
1,1,3, 01/01 03,2.72738,0,1.78192,0,0.976912,0.194507,6.59065,10.8799,3.61532,0.996903,0,12.2714,27.7635,0,0,0,0,0,16.2852,0,0,0,0,0,16.2852,16.2852,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8934,3773.76,6868.53,4.68573,86.3488,100,0.000288646,0.0058475,0.006309,0,0,0,
1,1,4, 01/01 04,3.77406,0,1.88181,0,0.969256,0.265516,6.59065,10.8489,3.53003,1.12982,0,13.4813,28.9901,0,0,0,0,0,15.0487,0,0,0,0,0,15.0487,15.0487,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8111,3773.76,6868.53,4.59702,86.3488,100,0.000283181,0.0058475,0.006309,0,0,0,
1,1,5, 01/01 05,5.36784,0,2.06311,0,0.963123,0.265516,6.59065,10.3083,3.41805,1.39566,0,15.2502,30.3723,0,0,0,0,0,18.6074,0,0,0,0,0,18.6074,18.6074,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8653,3773.76,6868.53,4.6698,86.3488,100,0.000287664,0.0058475,0.006309,0,0,0,
1,1,6, 01/01 06,6.17426,0,2.19124,0,0.951998,0.265516,6.59065,11.259,3.50906,2.06027,0,16.1737,33.002,0,0,0,0,0,138.026,0,0,0,0,0,138.026,138.026,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0104,3773.76,6868.53,4.70972,86.3488,100,0.000290124,0.0058475,0.006309,0,0,0,
1,1,7, 01/01 07,5.70286,0,2.13278,0,0.944131,0.265516,6.59065,12.694,5.5133,2.79133,0,15.6359,36.6346,0,0,0,0,0,176.336,0,0,0,0,0,176.336,176.336,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0428,3773.76,6868.53,4.72169,86.3488,100,0.000290861,0.0058475,0.006309,0,0,0,
1,1,8, 01/01 08,4.69478,0,1.97611,0,0.947708,0.265516,6.59065,13.6191,10.9108,2.72487,0,14.4748,41.7296,0,0,0,0,0,189.33,0,0,0,0,0,189.33,189.33,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0229,3773.76,6868.53,4.71263,86.3488,100,0.000290303,0.0058475,0.006309,0,-8.53116,0,
1,1,9, 01/01 09,2.7932,0,1.7639,0,0.957322,0.265516,6.59065,12.8228,20.0459,2.25965,0,12.3706,47.4989,0,0,0,0,0,293.712,0,0,0,0,0,293.712,293.712,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7807,3773.76,6868.53,4.62591,86.3488,100,0.000284961,0.0058475,0.006309,0,-25.6659,0,
1,1,10, 01/01 10,1.10744,0,1.56043,0,0.970352,0.265516,6.59065,12.3405,27.9947,1.92735,0,10.4944,52.757,0,0,0,0,0,247.206,0,0,0,0,0,247.206,247.206,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7526,3773.76,6868.53,3.87862,86.3488,100,0.000238927,0.0058475,0.006309,0,-35.6326,0,
