PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  163.0 kWdc PV  /  Battery Energy 176.8 kWh and Power 42.39 kW"
,"Standard Design PV Capacity: 163.0 kWdc  /  Battery System Capacity: 176.8 kWh  (power 42.39 kW)"
,"User-specified PV and Battery equipment:  207.1 kWdc PV  /  184.0 kWh Battery"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"Stair-2","Unconditioned","Stairwell","Highrise Multifamily",328.916,1,,0,,,,,,,,,,0,0,0,
"Stair-1","Unconditioned","Stairwell","Highrise Multifamily",334.907,1,,0,,,,,,,,,,0,0,0,
"IDF_L01","Conditioned","Electrical, Mechanical, Telephone Rooms","Highrise Multifamily",22.3024,1,,22.3024,,,,,,,,,,0.0492883,0.0534389,0.012815,
"Corridor_L01","Unconditioned","Corridor Area","Highrise Multifamily",3000,1,,0,,,,,,,,,,0,0,0,
"Elevator-1","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",82.2456,1,,0,,,,,,,,,,0,0,0,
"Electrical","Unconditioned","Electrical, Mechanical, Telephone Rooms","Highrise Multifamily",282.739,1,,0,,,,,,,,,,0,0,0,
"Maintenance_L01","Unconditioned","All other","Highrise Multifamily",483.155,1,,0,,,,,,,,,,0,0,0,
"ParkingGarage-1","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",2161.35,1,,0,,,,,,,,,,0,0,0,
"ParkingGarage-2","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",2054.63,1,,0,,,,,,,,,,0,0,0,
"ParkingGarage-3","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",2641.26,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L02","Unconditioned","Stairwell","Highrise Multifamily",328.916,1,,0,,,,,,,,,,0,0,0,
