"Euclid_Building C  /  Standard  /  Euclid_Building C_2025-01-06.cibd22",002
"Fri 18-Apr-25   4:57:31 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",37.1635,0,1.78334,0,0,0,0.211553,0,0.33207,2.095,0.0559314,1.27566,0,2.07978,18.0678,0,5.30253,0,5.55219,0,0.407696,0,0,0,0
"MtrElec",1,1,2,"",32.477,0,2.24278,0,0,0,0.211553,0,0.419996,2.095,0.0559315,1.25715,0,1.71808,16.6138,0,5.06146,2.47506,0,0,0.326157,0,0,0,0
"MtrElec",1,1,3,"",30.3447,0,3.09738,0.740421,0,0,0.211553,0,0.588198,2.095,0.0559314,1.25172,0,1.35638,15.7435,0,4.96008,0,0,0,0.244618,0,0,0,0
"MtrElec",1,1,4,"",34.1035,0,5.27461,1.90943,0,0,0.211553,0,1.00398,2.095,0.0559315,1.24131,0,1.53723,15.6963,0,4.83354,0,0,0,0.244618,0,0,0,0
"MtrElec",1,1,5,"",37.6651,0,7.47461,3.4731,0,0,0.211553,0,1.44017,2.095,0.0559313,1.21558,0,1.89893,14.9068,0,4.64871,0,0,0,0.244618,0,0,0,0
"MtrElec",1,1,6,"",41.607,0,8.65614,3.74227,0,0,0.211553,0,1.67361,2.095,0.0559311,1.1886,0,2.80319,16.1534,0,4.61962,0,0,0,0.407696,0,0,0,0
"MtrElec",1,1,7,"",44.7923,0,7.90635,3.32116,0,0,0.211553,0,1.52391,2.095,0.0559313,1.17415,0,3.79786,18.1455,0,4.70464,0,0,1.04083,0.815392,0,0,0,0
"MtrElec",1,1,8,"",45.0487,0,6.34281,2.89673,0,0,0.211553,0,1.21505,2.095,0.0559316,1.18341,0,3.70744,19.5041,0,5.13425,0,8.79751,2.8706,2.20156,0,0,0,-11.1673
"MtrElec",1,1,9,"",33.82,0,4.2892,1.25581,0,0,0.211553,0,0.806219,2.095,0.0559319,1.2025,0,3.07446,18.3494,0,5.91585,0,24.2634,1.9835,3.91388,0,0,0,-33.5966
"MtrElec",1,1,10,"",17.7044,0,1.65074,0,0,0,0.211553,0,0.302616,2.095,0.0559321,1.22779,0,2.62234,17.65,0,5.73354,3.02482,16.7652,9.09391,3.91388,0,0,0,-46.6429
"MtrElec",1,1,11,"",44.4739,0,0.114613,0,0.195225,0,0.211553,0,0.0208714,2.095,0.0559324,0.000450512,0,2.44148,17.9459,0,5.64389,4.39771,76.8651,6.17344,3.7508,0,0,0,-75.4381
"MtrElec",1,1,12,"",-2.47602,0,0,0,0.195225,0,0.211553,0,0,2.095,0.0559324,0,0,2.26063,17.6574,0,5.75602,0,52.1802,0,4.48466,0,0,0,-87.3727
"MtrElec",1,1,13,"",-36.2071,0,0.397889,0,0.195225,0,0.211553,0,0.0719884,2.095,0.0559325,0,0,1.89893,17.4979,0,5.86626,2.47525,0,0.881853,5.13697,0,0,0,-72.9919
"MtrElec",1,1,14,"",-40.6488,0,0.337603,0,0.195225,0,0.211553,0,0.060764,2.095,0.0559326,0,0,1.89893,18.0343,0,5.93782,0,7.45375,0,4.81081,0,0,0,-81.7404
