19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2022.3.1 (1343)"
,CompMgr:,,"BEMCmpMgr 2022.3.1 (8583)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE19 0.922.1 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,"Euclid_Building C"
Run Date/Time:,,,"2025-04-18 17:00:58"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,27792
Model:,,,"Proposed"
Model File:,,,"T:\Projects\60-22338-AO-Legacy Euclid & Walnut\10_Energy Model\02_LEED Models\Building C\2025-01-06 Window Updates\Euclid_Building C_2025-01-06.cibd22"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,2.05171,0.0225104,0.789445,0,0.361184,0.061985,0.260269,5.29387,3.26102,0.609376,1.36425,3.5471,14.0756,0,0,0,0,0,15.0918,0,0,0,0,0,15.0918,15.0918,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0209,3773.76,6868.53,4.69816,86.3488,100,0.000289411,0.0058475,0.006309,0,0,0,
1,1,2, 01/01 02,2.63997,0.0218744,0.901253,0,0.352145,0.061985,0.260269,4.86784,2.27104,0.503397,1.36425,4.23749,13.244,0,0,0,0,0,14.6709,0,0,0,0,0,14.6709,14.6709,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9955,3773.76,6868.53,4.69152,86.3488,100,0.000289003,0.0058475,0.006309,0,0,0,
1,1,3, 01/01 03,3.97441,0.0216536,1.00223,0,0.346033,0.061985,0.260269,4.61285,1.49491,0.397419,1.36425,5.66659,13.536,0,0,0,0,0,6.03962,0,0,0,0,0,6.03962,6.03962,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8934,3773.76,6868.53,4.68573,86.3488,100,0.000288646,0.0058475,0.006309,0,0,0,
1,1,4, 01/01 04,5.52852,0.0212855,1.12585,0,0.340349,0.061985,0.260269,4.59902,1.46005,0.450408,1.36425,7.33825,15.212,0,0,0,0,0,4.91379,0,0,0,0,0,4.91379,4.91379,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8111,3773.76,6868.53,4.59702,86.3488,100,0.000283181,0.0058475,0.006309,0,0,0,
1,1,5, 01/01 05,7.69031,0.0207942,1.31575,0,0.333132,0.061985,0.260269,4.36769,1.40379,0.556386,1.36425,9.68223,17.3743,0,0,0,0,0,6.16507,0,0,0,0,0,6.16507,6.16507,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8653,3773.76,6868.53,4.6698,86.3488,100,0.000287664,0.0058475,0.006309,0,0,0,
1,1,6, 01/01 06,8.72726,0.0200079,1.42857,0,0.322707,0.061985,0.260269,4.73295,1.44353,0.821335,1.36425,10.8208,19.1829,0,0,0,0,0,58.8902,0,0,0,0,0,58.8902,58.8902,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0104,3773.76,6868.53,4.70972,86.3488,100,0.000290124,0.0058475,0.006309,0,0,0,
1,1,7, 01/01 07,8.05545,0.0197749,1.34697,0,0.316466,0.061985,0.260269,5.31663,1.89093,1.11277,1.36425,10.0609,19.7455,0,0,0,0,0,44.2942,0,0,0,0,0,44.2942,44.2942,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0428,3773.76,6868.53,4.72169,86.3488,100,0.000290861,0.0058475,0.006309,0,0,0,
1,1,8, 01/01 08,6.61388,0.0199883,1.17018,0,0.320577,0.061985,0.260269,5.7147,5.53993,1.08628,1.36425,8.44688,22.152,0,0,0,0,0,58.8206,0,0,0,0,0,58.8206,58.8206,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0229,3773.76,6868.53,4.71263,86.3488,100,0.000290303,0.0058475,0.006309,0,-4.04334,0,
1,1,9, 01/01 09,4.00546,0.0209227,0.954755,0,0.329496,0.061985,0.260269,5.37637,10.5524,0.900817,1.36425,5.63288,23.8267,0,0,0,0,0,102.324,0,0,0,0,0,102.324,102.324,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7807,3773.76,6868.53,4.62591,86.3488,100,0.000284961,0.0058475,0.006309,0,-12.1866,0,
1,1,10, 01/01 10,1.57759,0.0218825,0.693877,0,0.341023,0.061985,0.260269,5.17145,11.2642,0.768346,1.36425,2.95663,21.5249,0,0,0,0,0,78.9356,0,0,0,0,0,78.9356,78.9356,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7526,3773.76,6868.53,3.87862,86.3488,100,0.000238927,0.0058475,0.006309,0,-16.9381,0,
