"Title 24 High Rise Multi Family Compliance  /  Standard  /  Bressi Ranch Apartments.cibd22x",002
"Tue 31-Dec-24   1:26:35 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",360.518,0.117205,14.2223,0.495557,0,0,0.562483,0,1.83635,21.0199,15.9576,9.04445,0,21.8753,190.913,0,56.4025,0,27.7609,0,0.309796,0,0,0,0
"MtrElec",1,1,2,"",329.246,0.111877,16.9963,0.575653,0,0,0.562483,0,2.22699,21.0199,15.9576,9.00334,0,18.0709,175.948,0,53.6753,14.8504,0,0,0.247837,0,0,0,0
"MtrElec",1,1,3,"",303.321,0.106002,19.3166,0.75131,0,0,0.562483,0,2.56793,21.0199,15.9575,8.97933,0,14.2665,166.983,0,52.624,0,0,0,0.185878,0,0,0,0
"MtrElec",1,1,4,"",305.59,0.0999137,21.0508,0.934172,0,0,0.562483,0,2.82336,21.0199,15.9574,8.95838,0,16.1687,166.525,0,51.3031,0,0,0,0.185878,0,0,0,0
"MtrElec",1,1,5,"",306.706,0.0925094,24.0449,4.75703,0,0,0.562483,0,3.22737,21.0199,15.9575,8.86402,0,19.9731,158.318,0,49.7033,0,0,0,0.185878,0,0,0,0
"MtrElec",1,1,6,"",336.422,0.0861922,24.7343,10.7609,0,0,0.562483,0,3.166,21.0199,15.9578,8.65984,0,29.4841,172.269,0,49.4122,0,0,0,0.309796,0,0,0,0
"MtrElec",1,1,7,"",378.462,0.0821624,22.3092,2.14059,0,0,0.562483,0,2.74478,21.0199,15.9577,8.66359,0,39.9463,193.676,0,50.6787,12.6584,0,7.40304,0.619592,0,0,0,0
"MtrElec",1,1,8,"",466.456,0.0791779,17.7618,0.439775,0,0,0.562483,0,2.23541,21.0199,15.9578,8.68944,0,38.9951,207.672,0,54.8724,9.62017,62.5732,24.305,1.6729,0,0,0,0
"MtrElec",1,1,9,"",582.705,0.0802969,7.645,0,0,0,0.562483,0,1.06385,21.0199,15.9577,0.0681365,0,32.3374,195.579,0,61.7663,0,205.435,38.2161,2.97404,0,0,0,0
"MtrElec",1,1,10,"",729.959,0.146303,1.98141,0,1.29471,0,0.562483,0,0.244806,21.0199,15.9575,0,0,27.5819,188.228,0,60.6118,27.2233,323.017,59.1162,2.97404,0,0,0,0
"MtrElec",1,1,11,"",915.686,0.205625,0.662591,0,1.29471,0,0.562483,0,0.0897278,21.0199,15.9576,0,0,25.6797,190.888,0,59.7463,42.4743,499.672,54.5836,2.85012,0,0,0,0
"MtrElec",1,1,12,"",831.902,0.205123,0.174473,0,1.29471,0,0.562483,0,0.0264814,21.0199,15.9573,0,0,23.7775,187.949,0,61.139,21.7334,461.361,33.2937,3.40776,0,0,0,0
"MtrElec",1,1,13,"",672.113,0.191486,0,0,1.29471,0,0.562483,0,0,21.0199,15.9573,0,0,19.9731,186.465,0,62.4282,49.6251,281.411,29.2812,3.90343,0,0,0,0
"MtrElec",1,1,14,"",582.324,0.182539,0.0153534,0,1.29471,0,0.562483,0,0.0026491,21.0199,15.9574,0,0,19.9731,192.008,0,63.2378,0,247.495,16.9185,3.65559,0,0,0,0
"MtrElec",1,1,15,"",479.196,0.183545,0.00567837,0,1.29471,0,0.562483,0,0.000975956,21.0199,15.9572,0,0,19.9731,201.161,0,62.3925,0,143.002,9.80175,3.84147,0,0,0,0
"MtrElec",1,1,16,"",452.69,0.164847,0.0288951,0,0,0,0.562483,0,0.00501005,21.0199,15.9573,0,0,24.7286,211.308,0,63.5954,0,82.848,28.2585,4.21322,0,0,0,0
"MtrElec",1,1,17,"",641.781,0.13587,0.24443,0,0,0,0.562483,0,0.0120036,21.0199,15.9573,0,0,29.4841,236.554,0,62.6553,0,238.851,30.6671,5.63829,0,0,0,0
"MtrElec",1,1,18,"",727.803,0.115155,0.538015,0,0,0,0.562483,0,0.0135695,21.0199,15.9577,0,0,41.8485,265.948,0,66.1448,13.4193,259.21,34.4136,8.61233,0,0,0,0
