"Title 24 High Rise Multi Family Compliance  /  Standard (PV-Batt only)  /  Bressi Ranch Apartments.cibd22x",001
"Tue 31-Dec-24   3:56:59 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",474.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.206,0,0,0
"MtrElec",1,1,2,"",442.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.94,0,0,0
"MtrElec",1,1,3,"",417.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.022,0,0,0
"MtrElec",1,1,4,"",419.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.291,0,0,0
"MtrElec",1,1,5,"",420.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.406,0,0,0
"MtrElec",1,1,6,"",450.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.116,0,0,0
"MtrElec",1,1,7,"",492.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.143,0,0,0
"MtrElec",1,1,8,"",486.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.118,0,0,-93.1759
"MtrElec",1,1,9,"",392.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.384,0,0,-303.672
"MtrElec",1,1,10,"",225.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.604,0,0,-618.26
"MtrElec",1,1,11,"",293.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029.56,0,0,-736.082
"MtrElec",1,1,12,"",191.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945.797,0,0,-754.193
"MtrElec",1,1,13,"",18.4977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786.188,0,0,-767.69
"MtrElec",1,1,14,"",25.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.421,0,0,-671.376
"MtrElec",1,1,15,"",142.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.317,0,0,-450.72
"MtrElec",1,1,16,"",456.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.818,0,0,-109.903
"MtrElec",1,1,17,"",728.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755.864,0,0,-27.515
"MtrElec",1,1,18,"",841.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841.727,0,0,0
"MtrElec",1,1,19,"",921.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921.718,0,0,0
"MtrElec",1,1,20,"",812.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812.25,0,0,0
"MtrElec",1,1,21,"",702.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702.836,0,0,0
"MtrElec",1,1,22,"",715.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.533,0,0,0
"MtrElec",1,1,23,"",677.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677.347,0,0,0
"MtrElec",1,1,24,"",611.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611.95,0,0,0
"MtrElec",1,2,1,"",443.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.288,0,0,0
"MtrElec",1,2,2,"",438.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.33,0,0,0
"MtrElec",1,2,3,"",429.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.35,0,0,0
"MtrElec",1,2,4,"",432.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.38,0,0,0
"MtrElec",1,2,5,"",445.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.045,0,0,0
"MtrElec",1,2,6,"",448.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.362,0,0,0
"MtrElec",1,2,7,"",479.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.46,0,0,0
"MtrElec",1,2,8,"",361.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.526,0,0,-184.162
"MtrElec",1,2,9,"",401.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.167,0,0,-299.949
"MtrElec",1,2,10,"",251.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.346,0,0,-416.703
"MtrElec",1,2,11,"",331.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831.45,0,0,-500.031
"MtrElec",1,2,12,"",130.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.32,0,0,-572.49
"MtrElec",1,2,13,"",258.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.864,0,0,-356.013
"MtrElec",1,2,14,"",227.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.736,0,0,-269.622
"MtrElec",1,2,15,"",360.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.636,0,0,-154.843
"MtrElec",1,2,16,"",500.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.731,0,0,-17.2443
"MtrElec",1,2,17,"",600.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.881,0,0,-2.03159
"MtrElec",1,2,18,"",623.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.722,0,0,0
"MtrElec",1,2,19,"",708.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.695,0,0,0
"MtrElec",1,2,20,"",763.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763.463,0,0,0
"MtrElec",1,2,21,"",889.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889.163,0,0,0
"MtrElec",1,2,22,"",807.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807.889,0,0,0
"MtrElec",1,2,23,"",671.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.226,0,0,0
"MtrElec",1,2,24,"",595.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.746,0,0,0
"MtrElec",1,3,1,"",432.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.813,0,0,0
"MtrElec",1,3,2,"",401.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.053,0,0,0
"MtrElec",1,3,3,"",404.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.332,0,0,0
"MtrElec",1,3,4,"",413.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.647,0,0,0
"MtrElec",1,3,5,"",497.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.903,0,0,0
"MtrElec",1,3,6,"",420.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.574,0,0,0
"MtrElec",1,3,7,"",461.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.543,0,0,0
"MtrElec",1,3,8,"",336.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.548,0,0,-190.218
"MtrElec",1,3,9,"",1.24137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.872,0,0,-538.631
"MtrElec",1,3,10,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.674,0,163.713,-818.387
"MtrElec",1,3,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868.785,0,136.964,-1005.75
"MtrElec",1,3,12,"",0.0000313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.631,0,417.794,-1105.43
"MtrElec",1,3,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.39,0,380.708,-1107.1
"MtrElec",1,3,14,"",-0.812344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585.755,0,419.839,-1006.41
"MtrElec",1,3,15,"",-41.4239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719.689,0,47.8088,-808.921
"MtrElec",1,3,16,"",78.2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.009,0,0,-515.725
"MtrElec",1,3,17,"",467.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.682,0,0,-153.819
"MtrElec",1,3,18,"",704.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704.525,0,0,0
"MtrElec",1,3,19,"",890.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890.391,0,0,0
"MtrElec",1,3,20,"",463.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883.768,0,-419.839,0
"MtrElec",1,3,21,"",380.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800.352,0,-419.839,0
"MtrElec",1,3,22,"",425.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845.368,0,-419.839,0
"MtrElec",1,3,23,"",473.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.035,0,-154.546,0
"MtrElec",1,3,24,"",609.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.084,0,0,0
"MtrElec",1,4,1,"",454.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.367,0,0,0
"MtrElec",1,4,2,"",425.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.733,0,0,0
"MtrElec",1,4,3,"",433.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.987,0,0,0
"MtrElec",1,4,4,"",449.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.41,0,0,0
"MtrElec",1,4,5,"",547.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.331,0,0,0
"MtrElec",1,4,6,"",458.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.441,0,0,0
"MtrElec",1,4,7,"",498.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.357,0,0,0
"MtrElec",1,4,8,"",365.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.212,0,0,-167.406
"MtrElec",1,4,9,"",188.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.413,0,0,-343.531
"MtrElec",1,4,10,"",17.4398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676.893,0,0,-659.454
