"Title 24 High Rise Multi Family Compliance  /  Proposed  /  Bressi Ranch Apartments.cibd22x",002
"Tue 31-Dec-24   1:26:35 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",332.441,0,10.1146,0.628958,0,0,0.562483,0,0.729154,5.18988,8.21143,9.37616,0,21.8753,190.913,0,56.7695,0,27.7609,0,0.309796,0,0,0,0
"MtrElec",1,1,2,"",301.842,0,13.6231,0.751706,0,0,0.562483,0,1.15853,5.18988,8.21139,9.22007,0,18.0709,175.948,0,54.0082,14.8504,0,0,0.247837,0,0,0,0
"MtrElec",1,1,3,"",277.432,0,17.2665,1.04671,0,0,0.562483,0,1.58297,5.18988,8.21132,9.1817,0,14.2665,166.983,0,52.9546,0,0,0,0.185878,0,0,0,0
"MtrElec",1,1,4,"",280.394,0,19.5752,1.3216,0,0,0.562483,0,1.85262,5.18988,8.21142,9.16887,0,16.1687,166.525,0,51.6315,0,0,0,0.185878,0,0,0,0
"MtrElec",1,1,5,"",281.01,0,22.5126,4.62622,0,0,0.562483,0,2.19447,5.18988,8.21132,9.16072,0,19.9731,158.318,0,50.0754,0,0,0,0.185878,0,0,0,0
"MtrElec",1,1,6,"",309.032,0,22.3895,9.45696,0,0,0.562483,0,2.214,5.18988,8.21129,9.15011,0,29.4841,172.269,0,49.7946,0,0,0,0.309796,0,0,0,0
"MtrElec",1,1,7,"",352.39,0,19.7042,2.23344,0,0,0.562483,0,1.91105,5.18988,8.21139,9.14944,0,39.9463,193.676,0,51.1257,12.6584,0,7.40304,0.619592,0,0,0,0
"MtrElec",1,1,8,"",440.894,0,15.5826,0.51721,0,0,0.562483,0,1.53762,5.18988,8.21127,9.15903,0,38.9951,207.672,0,55.2956,9.62017,62.5732,24.305,1.6729,0,0,0,0
"MtrElec",1,1,9,"",558.149,0,6.77571,0,0,0,0.562483,0,0.737548,5.18988,8.21141,0.0923782,0,32.3374,195.579,0,62.0384,0,205.435,38.2161,2.97404,0,0,0,0
"MtrElec",1,1,10,"",704.697,0,1.41961,0,0,0,0.562483,0,0.195156,5.18988,8.2116,0,0,27.5819,188.228,0,60.9783,27.2233,323.017,59.1162,2.97404,0,0,0,0
"MtrElec",1,1,11,"",890.707,0,0.43181,0,0,0,0.562483,0,0.0771398,5.18988,8.21153,0,0,25.6797,190.888,0,60.0872,42.4743,499.672,54.5836,2.85012,0,0,0,0
"MtrElec",1,1,12,"",807.056,0,0.0704084,0,0,0,0.562483,0,0.0153513,5.18988,8.21161,0,0,23.7775,187.949,0,61.4843,21.7334,461.361,33.2937,3.40776,0,0,0,0
"MtrElec",1,1,13,"",647.409,0,0.00741628,0,0,0,0.562483,0,0.00173117,5.18988,8.21162,0,0,19.9731,186.465,0,62.7771,49.6251,281.411,29.2812,3.90343,0,0,0,0
"MtrElec",1,1,14,"",557.62,0,0.0208224,0,0,0,0.562483,0,0.00491465,5.18988,8.21148,0,0,19.9731,192.008,0,63.5797,0,247.495,16.9185,3.65559,0,0,0,0
"MtrElec",1,1,15,"",454.499,0,0.00963853,0,0,0,0.562483,0,0.00231616,5.18988,8.21145,0,0,19.9731,201.161,0,62.744,0,143.002,9.80175,3.84147,0,0,0,0
"MtrElec",1,1,16,"",429.216,0,0.0265221,0,0,0,0.562483,0,0.00615791,5.18988,8.21147,0,0,24.7286,211.308,0,63.8631,0,82.848,28.2585,4.21322,0,0,0,0
"MtrElec",1,1,17,"",618.381,0,0.175743,0,0,0,0.562483,0,0.012462,5.18988,8.21153,0,0,29.4841,236.554,0,63.0348,0,238.851,30.6671,5.63829,0,0,0,0
