"Title 24 High Rise Multi Family Compliance  /  Proposed (PV-Batt only)  /  Bressi Ranch Apartments.cibd22x",001
"Tue 31-Dec-24   3:56:59 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",446.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.134,0,0,0
"MtrElec",1,1,2,"",415.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.544,0,0,0
"MtrElec",1,1,3,"",391.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.137,0,0,0
"MtrElec",1,1,4,"",394.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.099,0,0,0
"MtrElec",1,1,5,"",394.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.716,0,0,0
"MtrElec",1,1,6,"",422.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.73,0,0,0
"MtrElec",1,1,7,"",466.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.081,0,0,0
"MtrElec",1,1,8,"",460.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.561,0,0,-94.549
"MtrElec",1,1,9,"",363.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.837,0,0,-308.276
"MtrElec",1,1,10,"",189.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818.347,0,0,-628.824
"MtrElec",1,1,11,"",254.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.59,0,0,-749.803
"MtrElec",1,1,12,"",152.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920.961,0,0,-768.211
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761.491,0,19.9256,-781.416
"MtrElec",1,1,14,"",0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.721,0,11.2854,-683.006
"MtrElec",1,1,15,"",110.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.626,0,0,-458.177
"MtrElec",1,1,16,"",431.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.349,0,0,-111.668
"MtrElec",1,1,17,"",704.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732.47,0,0,-28.0382
"MtrElec",1,1,18,"",818.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818.955,0,0,0
"MtrElec",1,1,19,"",899.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899.232,0,0,0
"MtrElec",1,1,20,"",761.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.081,0,-28.1679,0
"MtrElec",1,1,21,"",680.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680.896,0,0,0
"MtrElec",1,1,22,"",693.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.647,0,0,0
"MtrElec",1,1,23,"",654.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.906,0,0,0
"MtrElec",1,1,24,"",589.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.263,0,0,0
"MtrElec",1,2,1,"",420.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.287,0,0,0
"MtrElec",1,2,2,"",412.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.978,0,0,0
"MtrElec",1,2,3,"",403.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.294,0,0,0
"MtrElec",1,2,4,"",403.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.984,0,0,0
"MtrElec",1,2,5,"",409.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.706,0,0,0
"MtrElec",1,2,6,"",417.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.591,0,0,0
"MtrElec",1,2,7,"",453.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.637,0,0,0
"MtrElec",1,2,8,"",335.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.999,0,0,-186.844
"MtrElec",1,2,9,"",373.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677.559,0,0,-304.481
"MtrElec",1,2,10,"",221.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.864,0,0,-423.371
"MtrElec",1,2,11,"",298.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807.148,0,0,-508.309
"MtrElec",1,2,12,"",97.0299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679.21,0,0,-582.18
"MtrElec",1,2,13,"",228.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.648,0,0,-361.862
"MtrElec",1,2,14,"",198.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.486,0,0,-273.936
"MtrElec",1,2,15,"",333.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.273,0,0,-157.277
"MtrElec",1,2,16,"",477.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.678,0,0,-17.6248
"MtrElec",1,2,17,"",577.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.92,0,0,-2.19364
"MtrElec",1,2,18,"",599.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.868,0,0,0
"MtrElec",1,2,19,"",685.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.171,0,0,0
"MtrElec",1,2,20,"",739.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739.858,0,0,0
"MtrElec",1,2,21,"",865.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865.656,0,0,0
"MtrElec",1,2,22,"",784.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784.468,0,0,0
"MtrElec",1,2,23,"",647.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.853,0,0,0
"MtrElec",1,2,24,"",572.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.407,0,0,0
"MtrElec",1,3,1,"",409.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.174,0,0,0
"MtrElec",1,3,2,"",377.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.345,0,0,0
"MtrElec",1,3,3,"",381.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.04,0,0,0
"MtrElec",1,3,4,"",390.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.533,0,0,0
"MtrElec",1,3,5,"",474.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.045,0,0,0
"MtrElec",1,3,6,"",396.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.344,0,0,0
"MtrElec",1,3,7,"",437.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.962,0,0,0
"MtrElec",1,3,8,"",310.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503.349,0,0,-193.067
"MtrElec",1,3,9,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.711,0,32.733,-547.444
"MtrElec",1,3,10,"",-80.9685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.844,0,121.862,-832.674
"MtrElec",1,3,11,"",-57.7493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.198,0,121.862,-1023.81
"MtrElec",1,3,12,"",-433.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663.095,0,28.8395,-1125.54
"MtrElec",1,3,13,"",-425.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.836,0,0,-1127.11
"MtrElec",1,3,14,"",-463.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.14,0,0,-1024.2
"MtrElec",1,3,15,"",-127.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.09,0,0,-822.562
"MtrElec",1,3,16,"",45.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.336,0,0,-524.01
"MtrElec",1,3,17,"",440.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.094,0,0,-156.214
"MtrElec",1,3,18,"",681.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.442,0,0,0
"MtrElec",1,3,19,"",866.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866.796,0,0,0
"MtrElec",1,3,20,"",738.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.279,0,-121.862,0
"MtrElec",1,3,21,"",656.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.156,0,-121.862,0
"MtrElec",1,3,22,"",792.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824.789,0,-31.806,0
"MtrElec",1,3,23,"",609.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.255,0,0,0
"MtrElec",1,3,24,"",589.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.546,0,0,0
"MtrElec",1,4,1,"",433.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.857,0,0,0
"MtrElec",1,4,2,"",402.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.667,0,0,0
"MtrElec",1,4,3,"",406.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.98,0,0,0
