19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2022.3.1 (1343)"
,CompMgr:,,"BEMCmpMgr 2022.3.1 (8583)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE19 0.922.1 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,"Title 24 High Rise Multi Family Compliance"
Run Date/Time:,,,"2024-12-31 15:57:00"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,310100
Model:,,,"Proposed"
Model File:,,,"T:\Projects\60-23413-AO-Bressi Ranch\9_Energy Model\02_Models\2024-12-21 Appt\Bressi Ranch Apartments.cibd22x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,3.14786,0,4.14023,0,2.74721,0.164808,33.344,55.9375,24.8582,6.40946,0,43.5441,130.749,0,0,0,0,0,144.622,0,0,5.75804,0,0,144.622,150.38,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4634,3792.22,6868.53,4.68525,86.3488,100,0.000288616,0.0058475,0.006309,0,0,0,
1,1,2, 01/01 02,4.21182,0,4.26602,0,2.70148,0.164808,33.344,51.5528,20.2482,5.29477,0,44.6881,121.784,0,0,0,0,0,111.966,0,0,4.60643,0,0,111.966,116.572,0,0,0,0,0,0,0,0,0,0,0,0,0,28.438,3792.22,6868.53,4.67863,86.3488,100,0.000288209,0.0058475,0.006309,0,0,0,
1,1,3, 01/01 03,5.36577,0,4.39036,0,2.69024,0.164808,33.344,48.926,15.5702,4.18008,0,45.9552,114.631,0,0,0,0,0,74.8707,0,0,3.45482,0,0,74.8707,78.3255,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3355,3792.22,6868.53,4.67286,86.3488,100,0.000287853,0.0058475,0.006309,0,0,0,
1,1,4, 01/01 04,6.12276,0,4.4694,0,2.68648,0.164808,33.344,48.7918,15.1825,4.73743,0,46.7874,115.499,0,0,0,0,0,59.3025,0,0,3.45482,0,0,59.3025,62.7573,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2529,3792.22,6868.53,4.58439,86.3488,100,0.000282403,0.0058475,0.006309,0,0,0,
1,1,5, 01/01 05,7.95167,0,4.56953,0,2.68409,0.164808,33.344,46.3872,14.7266,5.85212,0,48.7141,115.68,0,0,0,0,0,75.8613,0,0,3.45482,0,0,75.8613,79.3161,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3073,3792.22,6868.53,4.65697,86.3488,100,0.000286874,0.0058475,0.006309,0,0,0,
1,1,6, 01/01 06,9.33101,0,4.57524,0,2.68098,0.164808,33.344,50.4748,14.6806,8.63884,0,50.096,123.89,0,0,0,0,0,554.1,0,0,5.75804,0,0,554.1,559.858,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4529,3792.22,6868.53,4.69678,86.3488,100,0.000289327,0.0058475,0.006309,0,0,0,
1,1,7, 01/01 07,6.42773,0,4.48651,0,2.68079,0.164808,33.344,56.7471,21.0394,11.7043,0,47.1038,136.595,0,0,0,0,0,596.102,0,0,11.5161,0,0,596.102,607.618,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4854,3792.22,6868.53,4.70871,86.3488,100,0.000290062,0.0058475,0.006309,0,0,0,
1,1,8, 01/01 08,4.71724,0,4.37706,0,2.6836,0.164808,33.344,60.8479,44.9658,11.4256,0,45.2867,162.526,0,0,0,0,0,684.697,0,0,31.0934,0,0,684.697,715.79,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4654,3792.22,6868.53,4.69968,86.3488,100,0.000289505,0.0058475,0.006309,0,-27.7029,0,
1,1,9, 01/01 09,1.98528,0,4.14268,0,0.0270668,0.164808,33.3578,57.3046,90.4384,9.47486,0,39.6776,196.896,0,0,0,0,0,1068.59,0,0,55.2771,0,0,1068.59,1123.87,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2223,3792.22,6868.53,4.6132,86.3488,100,0.000284178,0.0058475,0.006309,0,-90.3249,0,
1,1,10, 01/01 10,0.415946,0,3.98381,0,0,0.164808,33.3578,55.1508,138.679,8.0815,0,37.9223,239.834,0,0,0,0,0,887.232,0,0,55.2771,0,0,887.232,942.509,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1869,3792.22,6868.53,3.86796,86.3488,100,0.00023827,0.0058475,0.006309,0,-184.245,0,
1,1,11, 01/01 11,0.12652,0,3.94922,0,0,0.164808,33.4392,55.9302,193.282,7.52415,0,37.6798,294.417,0,0,0,0,0,539.121,0,0,52.9739,0,0,539.121,592.095,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4551,3792.22,6868.53,3.51881,86.3488,100,0.000216762,0.0058475,0.006309,0,-219.692,0,
1,1,12, 01/01 12,0.0206297,0,3.93113,0,0,0.164808,33.4392,55.0691,170.315,6.96681,0,37.5558,269.907,0,0,0,0,0,821.587,0,0,63.3384,0,0,821.587,884.925,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9523,3792.22,6868.53,3.23841,86.3488,100,0.000199489,0.0058475,0.006309,0,-225.086,0,
1,1,13, 01/01 13,0.00217297,0,3.92715,0,0,0.164808,33.4799,54.6342,125.11,5.85212,0,37.5741,223.171,0,0,0,0,0,524.49,0,0,72.5512,0,0,524.49,597.041,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9626,3792.22,6868.53,3.0552,86.3488,100,0.000188204,0.0058475,0.006309,0,-228.955,5.8382,
1,1,14, 01/01 14,0.00610096,0,3.92804,0,0,0.164808,33.4799,56.2583,97.1731,5.85212,0,37.5789,196.862,0,0,0,0,0,336.783,0,0,67.9448,0,0,336.783,404.728,0,0,0,0,0,0,0,0,0,0,0,0,0,24.952,3792.22,6868.53,3.15048,86.3488,100,0.000194073,0.0058475,0.006309,0,-200.121,3.30662,
1,1,15, 01/01 15,0.00282409,0,3.92727,0,0,0.164808,33.4799,58.9402,64.281,5.85212,0,37.5748,166.648,0,0,0,0,0,393.411,0,0,71.3997,0,0,393.411,464.811,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1226,3792.22,6868.53,3.1592,86.3488,100,0.00019461,0.0058475,0.006309,0,-134.246,0,
1,1,16, 01/01 16,0.00777098,0,3.9284,0,0,0.164808,33.4799,61.9132,52.5006,7.24548,0,37.5809,159.24,0,0,0,0,0,445.597,0,0,78.3093,0,0,445.597,523.906,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0081,3792.22,6868.53,3.77543,86.3488,100,0.000232571,0.0058475,0.006309,0,-32.7187,0,
1,1,17, 01/01 17,0.0514927,0,3.93026,0,0,0.164808,33.4799,69.3103,99.09,8.63884,0,37.6265,214.666,0,0,0,0,0,534.215,0,0,104.796,0,0,534.215,639.011,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5798,3792.22,6868.53,4.74377,86.3488,100,0.000292221,0.0058475,0.006309,0,-8.21519,0,
1,1,18, 01/01 18,0.322898,0,3.93024,0,0,0.164808,33.4392,77.9228,111.971,12.2616,0,37.8572,240.012,0,0,0,0,0,606.349,0,0,160.073,0,0,606.349,766.422,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5994,3792.22,6868.53,4.76422,86.3488,100,0.000293481,0.0058475,0.006309,0,0,0,
1,1,19, 01/01 19,0.509269,0,3.92944,0,0,0.164808,33.385,84.018,118.124,23.4085,0,37.9885,263.539,0,0,0,0,0,804.872,0,0,148.557,0,0,804.872,953.429,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5994,3792.22,6868.53,4.76402,86.3488,100,0.000293469,0.0058475,0.006309,0,0,0,
1,1,20, 01/01 20,0.65438,0,3.92979,0,0,0.164808,33.344,87.5147,73.3371,32.6047,0,38.093,231.55,0,0,0,0,0,567.991,0,0,82.9157,0,0,567.991,650.907,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5968,3792.22,6868.53,4.76311,86.3488,100,0.000293413,0.0058475,0.006309,0,0,-8.25319,
1,1,21, 01/01 21,0.743224,0,3.93195,0,0,0.164808,33.344,90.774,39.1035,31.4899,0,38.184,199.551,0,0,0,0,0,614.958,0,0,36.8514,0,0,614.958,651.809,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5802,3792.22,6868.53,4.754,86.3488,100,0.000292851,0.0058475,0.006309,0,0,0,
