"(RunTitle not specified)  /  Proposed (PV-Batt only)  /  Euclid Building A_v3_2024-04-29.cibd22",001
"Mon 29-Apr-24  11:10:04 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",189.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.115,0,0,0
"MtrElec",1,1,2,"",189.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.635,0,0,0
"MtrElec",1,1,3,"",184.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.667,0,0,0
"MtrElec",1,1,4,"",190.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.364,0,0,0
"MtrElec",1,1,5,"",200.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.578,0,0,0
"MtrElec",1,1,6,"",210.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.459,0,0,0
"MtrElec",1,1,7,"",215.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.678,0,0,0
"MtrElec",1,1,8,"",200.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.556,0,0,-31.7856
"MtrElec",1,1,9,"",145.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.568,0,0,-106.333
"MtrElec",1,1,10,"",150.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.156,0,0,-128.191
"MtrElec",1,1,11,"",32.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.409,0,0,-271.4
"MtrElec",1,1,12,"",32.0912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.625,0,0,-226.534
"MtrElec",1,1,13,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.203,0,104.386,-336.589
