; Tables for Std model AutoHardSize capacity look-up rules
TABLE Euclid Building A_v3_2024-04-2922TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"ResBaseAirSys TrmlUnit","Uncontrolled","ResBaseAirSys_SZHP","Sport-Lounge",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-2","Uncontrolled","ResBaseAirSys_SZHP-2","Sport-Lounge-2",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-3","Uncontrolled","ResBaseAirSys_SZHP-3","Fitness-Center",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-4","Uncontrolled","ResBaseAirSys_SZHP-4","Co-Work",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-5","Uncontrolled","ResBaseAirSys_SZHP-5","Inverter-Rm_L01",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-6","Uncontrolled","ResBaseAirSys_SZHP-6","Media-Lounge",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-7","Uncontrolled","ResBaseAirSys_SZHP-7","Offices_Break-Rm",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-8","Uncontrolled","ResBaseAirSys_SZHP-8","Social-Lounge",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-9","Uncontrolled","ResBaseAirSys_SZHP-9","Social-Lounge-2",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-10","Uncontrolled","ResBaseAirSys_SZHP-10","Leasing",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-11","Uncontrolled","ResBaseAirSys_SZHP-11","Pet-Spa_L01",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-12","Uncontrolled","ResBaseAirSys_SZHP-12","Fitness-Center-2",-99996.000,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-13","Uncontrolled","ResBaseAirSys_SZHP-13","Fitness-Center-3",-99996.000,-99996.000,-99996.000,""
ENDTABLE
TABLE Euclid Building A_v3_2024-04-2922CoilClg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"ResBaseAirSys_SZHP CoilClg","DirectExpansion","ResBaseAirSys_SZHP","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-2","DirectExpansion","ResBaseAirSys_SZHP-2","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-3","DirectExpansion","ResBaseAirSys_SZHP-3","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-4","DirectExpansion","ResBaseAirSys_SZHP-4","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-5","DirectExpansion","ResBaseAirSys_SZHP-5","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-6","DirectExpansion","ResBaseAirSys_SZHP-6","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-7","DirectExpansion","ResBaseAirSys_SZHP-7","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-8","DirectExpansion","ResBaseAirSys_SZHP-8","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-9","DirectExpansion","ResBaseAirSys_SZHP-9","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-10","DirectExpansion","ResBaseAirSys_SZHP-10","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-11","DirectExpansion","ResBaseAirSys_SZHP-11","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-12","DirectExpansion","ResBaseAirSys_SZHP-12","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
