PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  195.3 kWdc PV  /  Battery Energy 220.4 kWh and Power 52.79 kW"
,"Standard Design PV Capacity: 195.3 kWdc  /  Battery System Capacity: 186.8 kWh  (power 44.75 kW)"
,"User-specified PV and Battery equipment:  211.5 kWdc PV  /  246.0 kWh Battery"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"Sport-Lounge","Conditioned","Lounge, Breakroom, or Waiting Area","Highrise Multifamily",685.73,1,,685.73,,,,,,,,,,1.51546,1.64308,0.39402,
"Sport-Lounge-2","Conditioned","Lounge, Breakroom, or Waiting Area","Highrise Multifamily",685.73,1,,685.73,,,,,,,,,,1.51546,1.64308,0.39402,
"Fitness-Center","Conditioned","Exercise/Fitness Center and Gymnasium Areas","Highrise Multifamily",848.95,1,,848.95,,,,,,,,,,1.87618,2.03417,0.487807,
"Co-Work","Conditioned","Office Area (>250 square feet)","Office, Financial, Unleased Tenant",756.48,1,,,756.48,,,,,,,,,2.36778,4.18724,0.994469,
"Retail-4","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",1372.71,1,,0,,,,,,,,,,0,0,0,
"Retail-3","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",874.099,1,,0,,,,,,,,,,0,0,0,
"Retail-2","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",884.22,1,,0,,,,,,,,,,0,0,0,
"Retail-1","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",2613.07,1,,0,,,,,,,,,,0,0,0,
"Stair-1_L01","Unconditioned","Stairwell","Highrise Multifamily",391.207,1,,0,,,,,,,,,,0,0,0,
"Pool-Equipment","Unconditioned","Electrical, Mechanical, Telephone Rooms","Highrise Multifamily",286.543,1,,0,,,,,,,,,,0,0,0,
"Restroom_L01","Unconditioned","Restrooms","Highrise Multifamily",1293.88,1,,0,,,,,,,,,,0,0,0,
"Stair-2","Unconditioned","Stairwell","Highrise Multifamily",353.351,1,,0,,,,,,,,,,0,0,0,
"Parking-Garages","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",4835.05,1,,0,,,,,,,,,,0,0,0,
"Inverter-Rm_L01","Conditioned","Electrical, Mechanical, Telephone Rooms","Highrise Multifamily",49.7379,1,,49.7379,,,,,,,,,,0.109921,0.119177,0.0285794,
"Parking-Garages-2","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",1617.3,1,,0,,,,,,,,,,0,0,0,
"Electrical-Rm_1","Unconditioned","Electrical, Mechanical, Telephone Rooms","Highrise Multifamily",181.369,1,,0,,,,,,,,,,0,0,0,
"Stair-3","Unconditioned","Stairwell","Highrise Multifamily",353.348,1,,0,,,,,,,,,,0,0,0,
"Corridor-1","Unconditioned","Corridor Area","Highrise Multifamily",479.527,1,,0,,,,,,,,,,0,0,0,
"Corridor-2","Unconditioned","Corridor Area","Highrise Multifamily",1842.71,1,,0,,,,,,,,,,0,0,0,
"Corridor-3","Unconditioned","Corridor Area","Highrise Multifamily",1269.47,1,,0,,,,,,,,,,0,0,0,
"Trash-1","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",399.644,1,,0,,,,,,,,,,0,0,0,
"Elevator-1_L01","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",84.115,1,,0,,,,,,,,,,0,0,0,
"Electric-Rm-2","Unconditioned","Electrical, Mechanical, Telephone Rooms","Highrise Multifamily",130.139,1,,0,,,,,,,,,,0,0,0,
"Trash-2_L01","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",229.117,1,,0,,,,,,,,,,0,0,0,
"Media-Lounge","Conditioned","Office Area (>250 square feet)","Highrise Multifamily",571.996,1,,571.996,,,,,,,,,,1.26411,1.37056,0.328669,
"Offices_Break-Rm","Conditioned","Office Area (>250 square feet)","Office, Financial, Unleased Tenant",759.462,1,,,759.462,,,,,,,,,2.37712,4.20374,0.998389,
"Social-Lounge","Conditioned","Office Area (>250 square feet)","Office, Financial, Unleased Tenant",716.835,1,,,716.835,,,,,,,,,2.24369,3.96779,0.942351,
"Social-Lounge-2","Conditioned","Office Area (>250 square feet)","Office, Financial, Unleased Tenant",716.835,1,,,716.835,,,,,,,,,2.24369,3.96779,0.942351,
"Leasing","Conditioned","Office Area (>250 square feet)","Office, Financial, Unleased Tenant",1053.52,1,,,1053.52,,,,,,,,,3.29752,5.8314,1.38496,
"Pet-Spa_L01","Conditioned","Restrooms","Highrise Multifamily",225.413,1,,225.413,,,,,,,,,,0.498163,0.540113,0.129522,
"Fitness-Center-2","Conditioned","Exercise/Fitness Center and Gymnasium Areas","Highrise Multifamily",848.95,1,,848.95,,,,,,,,,,1.87618,2.03417,0.487807,
"Fitness-Center-3","Conditioned","Exercise/Fitness Center and Gymnasium Areas","Highrise Multifamily",848.95,1,,848.95,,,,,,,,,,1.87618,2.03417,0.487807,
"Stair-3_L02","Unconditioned","Stairwell","Highrise Multifamily",339.517,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L02","Unconditioned","Stairwell","Highrise Multifamily",353.351,1,,0,,,,,,,,,,0,0,0,
"Stair-1","Unconditioned","Stairwell","Highrise Multifamily",396.4,1,,0,,,,,,,,,,0,0,0,
"Corridor-1_L02","Unconditioned","Corridor Area","Highrise Multifamily",3604.92,1,,0,,,,,,,,,,0,0,0,
"Corridor-2_L02","Unconditioned","Corridor Area","Highrise Multifamily",451,1,,0,,,,,,,,,,0,0,0,
