"(RunTitle not specified)  /  Proposed (PV-Batt only)  /  Euclid_Bldg B_2024-04-29.cibd22",001
"Mon 29-Apr-24  10:58:25 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",102.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.578,0,0,0
"MtrElec",1,1,2,"",99.1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1029,0,0,0
"MtrElec",1,1,3,"",97.9581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9581,0,0,0
"MtrElec",1,1,4,"",102.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.846,0,0,0
"MtrElec",1,1,5,"",108.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.657,0,0,0
"MtrElec",1,1,6,"",119.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.202,0,0,0
"MtrElec",1,1,7,"",131.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.25,0,0,0
"MtrElec",1,1,8,"",109.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.082,0,0,-37.6707
"MtrElec",1,1,9,"",51.8453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.035,0,0,-113.19
"MtrElec",1,1,10,"",24.0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.119,0,0,-157.114
"MtrElec",1,1,11,"",0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.775,0,10.2817,-254.057
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.679,0,65.5546,-294.234
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.244,0,40.5779,-245.822
"MtrElec",1,1,14,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.048,0,101.225,-275.273
"MtrElec",1,1,15,"",0.0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.267,0,53.4779,-188.745
"MtrElec",1,1,16,"",84.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.047,0,0,-39.7247
"MtrElec",1,1,17,"",171.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.542,0,0,-4.36916
"MtrElec",1,1,18,"",213.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.464,0,0,0
"MtrElec",1,1,19,"",6.18748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.414,0,-224.226,0
