19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2022.3.0 SP2 (1336)"
,CompMgr:,,"BEMCmpMgr 2022.3.0 SP2 (8454)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE19 0.919.0 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,""
Run Date/Time:,,,"2024-04-29 10:58:26"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,73772
Model:,,,"Proposed"
Model File:,,,"T:\_Projects\60-22338-AO-Legacy Euclid & Walnut\10_Energy Model\Models\Building 2B\CBECC\2024-04-29_Lower Efficiency Win\Euclid_Bldg B_2024-04-29.cibd22"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,2.0496,0.000556489,0.803656,0,0.908028,0.194507,6.59065,12.4619,5.52536,1.52858,0,10.547,30.0628,0,0,0,0,0,24.3736,0,0,0,0,0,24.3736,24.3736,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0209,3773.76,6868.53,4.69816,86.3488,100,0.000289411,0.0058475,0.006309,0,0,0,
1,1,2, 01/01 02,3.19511,0.000484165,1.01897,0,0.90668,0.194507,6.59065,11.4724,4.40265,1.26274,0,11.9064,29.0442,0,0,0,0,0,25.5243,0,0,0,0,0,25.5243,25.5243,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9955,3773.76,6868.53,4.69152,86.3488,100,0.000289003,0.0058475,0.006309,0,0,0,
1,1,3, 01/01 03,4.39419,0.000429509,1.19105,0,0.905443,0.194507,6.59065,10.8799,3.55564,0.996903,0,13.2763,28.7087,0,0,0,0,0,14.2765,0,0,0,0,0,14.2765,14.2765,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8934,3773.76,6868.53,4.68573,86.3488,100,0.000288646,0.0058475,0.006309,0,0,0,
1,1,4, 01/01 04,5.57486,0.000351887,1.35443,0,0.904427,0.265516,6.59065,10.8489,3.47234,1.12982,0,14.6902,30.1413,0,0,0,0,0,13.4646,0,0,0,0,0,13.4646,13.4646,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8111,3773.76,6868.53,4.59702,86.3488,100,0.000283181,0.0058475,0.006309,0,0,0,
1,1,5, 01/01 05,7.42365,0.000272425,1.60242,0,0.90348,0.265516,6.59065,10.3083,3.35429,1.39566,0,16.786,31.8443,0,0,0,0,0,16.0185,0,0,0,0,0,16.0185,16.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8653,3773.76,6868.53,4.6698,86.3488,100,0.000287664,0.0058475,0.006309,0,0,0,
1,1,6, 01/01 06,8.65269,0.000229059,1.75918,0,0.902059,0.265516,6.59065,11.259,3.44501,2.06027,0,18.1703,34.9346,0,0,0,0,0,106.847,0,0,0,0,0,106.847,106.847,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0104,3773.76,6868.53,4.70972,86.3488,100,0.000290124,0.0058475,0.006309,0,0,0,
1,1,7, 01/01 07,8.11425,0.000143431,1.66775,0,0.901092,0.265516,6.59065,12.694,5.44088,2.79133,0,17.5394,38.4657,0,0,0,0,0,136.578,0,0,0,0,0,136.578,136.578,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0428,3773.76,6868.53,4.72169,86.3488,100,0.000290861,0.0058475,0.006309,0,0,0,
1,1,8, 01/01 08,6.69412,6.91861e-05,1.46589,0,0.901526,0.265516,6.59065,13.6191,10.8439,2.72487,0,15.9178,43.1056,0,0,0,0,0,146.37,0,0,0,0,0,146.37,146.37,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0229,3773.76,6868.53,4.71263,86.3488,100,0.000290303,0.0058475,0.006309,0,-11.0375,0,
1,1,9, 01/01 09,4.35947,3.4317e-05,1.16297,0,0.902754,0.265516,6.59065,12.8228,20.0031,2.25965,0,13.2814,48.367,0,0,0,0,0,226.068,0,0,0,0,0,226.068,226.068,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7807,3773.76,6868.53,4.62591,86.3488,100,0.000284961,0.0058475,0.006309,0,-33.1647,0,
1,1,10, 01/01 10,2.26849,3.54926e-05,0.847207,0,0.904608,0.265516,6.59065,12.3405,27.9363,1.92735,0,10.8765,53.0807,0,0,0,0,0,191.516,0,0,0,0,0,191.516,191.516,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7526,3773.76,6868.53,3.87862,86.3488,100,0.000238927,0.0058475,0.006309,0,-46.0344,0,
