"Euclid_Building C  /  Proposed  /  Euclid_Building C_2025-01-06.cibd22",002
"Fri 18-Apr-25   4:57:31 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",42.4952,0.0768274,7.00242,0,0,0,0.211553,0,1.41147,0.612636,0.670244,1.23271,0,2.07978,18.0678,0,5.16988,0,5.55219,0,0.407696,0,0,0,0
"MtrElec",1,1,2,"",39.657,0.0746567,9.01012,0,0,0,0.211553,0,1.79307,0.612636,0.670244,1.20186,0,1.71808,16.6138,0,4.94977,2.47506,0,0,0.326157,0,0,0,0
"MtrElec",1,1,3,"",40.6535,0.0739031,10.8474,2.71715,0,0,0.211553,0,2.13771,0.612636,0.670244,1.181,0,1.35638,15.7435,0,4.85746,0,0,0,0.244618,0,0,0,0
"MtrElec",1,1,4,"",46.3736,0.0726466,13.0775,5.79116,0,0,0.211553,0,2.55961,0.612636,0.670244,1.1616,0,1.53723,15.6963,0,4.73849,0,0,0,0.244618,0,0,0,0
"MtrElec",1,1,5,"",53.7538,0.0709701,17.1762,9.07058,0,0,0.211553,0,3.20772,0.612636,0.670244,1.13697,0,1.89893,14.9068,0,4.54646,0,0,0,0.244618,0,0,0,0
"MtrElec",1,1,6,"",59.9261,0.0682865,20.3585,9.42738,0,0,0.211553,0,3.59277,0.612636,0.670244,1.10139,0,2.80319,16.1534,0,4.51903,0,0,0,0.407696,0,0,0,0
"MtrElec",1,1,7,"",61.8463,0.067491,19.016,8.477,0,0,0.211553,0,3.3143,0.612636,0.670244,1.08009,0,3.79786,18.1455,0,4.59746,0,0,1.04083,0.815392,0,0,0,0
"MtrElec",1,1,8,"",56.26,0.0682193,14.974,7.59898,0,0,0.211553,0,2.71091,0.612636,0.670244,1.09412,0,3.70744,19.5041,0,5.03795,0,8.79751,2.8706,2.20156,0,0,0,-13.7998
"MtrElec",1,1,9,"",34.1828,0.0714085,10.1743,3.4962,0,0,0.211553,0,1.97567,0.612636,0.670244,1.12456,0,3.07446,18.3494,0,5.85412,0,24.2634,1.9835,3.91388,0,0,0,-41.5925
"MtrElec",1,1,10,"",10.1101,0.0746843,5.38427,0,0,0,0.211553,0,1.0853,0.612636,0.670244,1.1639,0,2.62234,17.65,0,5.64667,3.02482,16.7652,9.09391,3.91388,0,0,0,-57.8093
"MtrElec",1,1,11,"",26.9138,0.0775829,1.54584,0,0,0,0.211553,0,0.331428,0.612636,0.670244,0,0,2.44148,17.9459,0,5.55849,4.39771,76.8651,6.17344,3.7508,0,0,0,-93.6684
"MtrElec",1,1,12,"",-23.2884,0.0800642,1.22588,0,0,0,0.211553,0,0.287273,0.612636,0.670244,0,0,2.26063,17.6574,0,5.659,0,52.1802,0,4.48466,0,0,0,-108.618
"MtrElec",1,1,13,"",-53.4661,0.0817892,1.61661,0,0,0,0.211553,0,0.403757,0.612636,0.670244,0,0,1.89893,17.4979,0,5.75936,2.47525,0,0.881853,5.13697,0,0,0,-90.713
"MtrElec",1,1,14,"",-61.1638,0.0844114,0.60907,0,0,0,0.211553,0,0.164946,0.612636,0.670244,0,0,1.89893,18.0343,0,5.82968,0,7.45375,0,4.81081,0,0,0,-101.544
"MtrElec",1,1,15,"",-35.8913,0.087267,0.352536,0,0,0,0.211553,0,0.101082,0.612636,0.670244,0,0,1.89893,18.9207,0,5.73029,0,0,0,5.05543,0,0,0,-69.532
"MtrElec",1,1,16,"",21.9282,0.0860271,0.392287,0,0,0,0.211553,0,0.109836,0.612636,0.670244,0,0,2.35106,19.9007,0,5.95356,0,0,0.68435,5.54467,0,0,0,-14.5888
"MtrElec",1,1,17,"",46.9524,0.0830764,0.0299799,0,0,0,0.211553,0,0.00795345,0.612636,0.670244,0,0,2.80319,22.3339,0,5.72893,0,5.78438,2.84448,7.42007,0,0,0,-1.57797
"MtrElec",1,1,18,"",77.2205,0.0824622,0,0,0,0,0.211553,0,0,0.612636,0.670244,0,0,3.97872,25.1796,0,6.11685,1.17273,24.0426,3.81916,11.3339,0,0,0,0
"MtrElec",1,1,19,"",87.6383,0.0820667,0,0,0,0,0.211553,0,0,0.612636,0.670244,0,0,7.59573,27.0648,0,6.70832,1.30253,32.281,0.590907,10.5186,0,0,0,0
"MtrElec",1,1,20,"",62.6724,0.0814507,0,0,0,0,0.211553,0,0,0.612636,0.670244,0,0,10.5798,28.1418,0,6.55831,4.95121,4.99457,0,5.87082,0,0,0,0
"MtrElec",1,1,21,"",51.9895,0.0808324,0,0,0,0,0.211553,0,0,0.612636,0.670244,0,0,10.2181,29.1716,0,6.35609,1.1769,0,0.882255,2.60925,0,0,0,0
"MtrElec",1,1,22,"",56.9217,0.0796041,0,0,0,0,0.211553,0,0,0.612636,0.670244,0,0,8.68083,28.9069,0,6.09946,1.2979,7.45715,1.76393,1.14155,0,0,0,0
"MtrElec",1,1,23,"",57.7166,0.0779297,0.340632,0,0,0,0.211553,0,0.071908,0.612636,0.670244,1.2746,0,5.6968,25.8437,0,5.50937,0,14.9094,1.76398,0.733853,0,0,0,0
"MtrElec",1,1,24,"",53.7955,0.0760951,3.64915,0,0,0,0.211553,0,0.74931,0.612636,0.670244,1.27192,0,3.52659,22.0306,0,5.67993,0,14.9098,0,0.407696,0,0,0,0
"MtrElec",1,2,1,"",36.6611,0.0747067,6.98385,0,0,0,0.211553,0,1.40402,0.612636,0.670244,1.23763,0,2.07978,18.0197,0,4.95937,0,0,0,0.407696,0,0,0,0
"MtrElec",1,2,2,"",39.1961,0.0740382,8.54185,1.16876,0,0,0.211553,0,1.67476,0.612636,0.670244,1.20258,0,1.71808,16.4249,0,4.8729,1.69764,0,0,0.326157,0,0,0,0
"MtrElec",1,2,3,"",38.1511,0.0738233,9.89673,0.601688,0,0,0.211553,0,1.9415,0.612636,0.670244,1.18827,0,1.35638,15.7933,0,4.70094,0.777912,0,0,0.326157,0,0,0,0
"MtrElec",1,2,4,"",36.7105,0.0740982,9.79621,0,0,0,0.211553,0,1.97881,0.612636,0.670244,1.17269,0,1.53723,15.698,0,4.63291,0,0,0,0.326157,0,0,0,0
"MtrElec",1,2,5,"",37.1763,0.074298,10.6399,0,0,0,0.211553,0,2.14004,0.612636,0.670244,1.1697,0,1.89893,14.9567,0,4.47614,0,0,0,0.326157,0,0,0,0
"MtrElec",1,2,6,"",39.5095,0.073837,10.0466,0,0,0,0.211553,0,1.98622,0.612636,0.670244,1.16033,0,2.80319,16.2032,0,4.6002,0,0,0,1.14155,0,0,0,0
"MtrElec",1,2,7,"",41.8348,0.0734318,8.36356,0,0,0,0.211553,0,1.65058,0.612636,0.670244,1.16814,0,3.79786,18.4769,0,5.26068,0,0,0,1.54924,0,0,0,0
"MtrElec",1,2,8,"",44.6693,0.0886195,8.16127,0,0,0,0.211553,0,1.64444,0.612636,0.670244,1.18589,0,3.70744,19.9711,0,5.84638,0,0,1.76389,2.03848,0,0,0,-1.23271
"MtrElec",1,2,9,"",56.0827,0.103152,9.3822,0,0,0,0.211553,0,1.92805,0.612636,0.670244,1.18588,0,3.07446,18.6045,0,5.64904,0,14.909,0.574556,2.12002,0,0,0,-2.94262
"MtrElec",1,2,10,"",40.4362,0.112547,9.5423,0,0,0,0.211553,0,1.95666,0.612636,0.670244,1.17053,0,2.62234,17.5258,0,5.16625,2.47539,4.85636,3.58957,1.79386,0,0,0,-11.8698
"MtrElec",1,2,11,"",56.116,0.113184,8.73064,0,0,0,0.211553,0,1.78916,0.612636,0.670244,1.17042,0,2.44148,17.7264,0,5.02414,2.61726,30.3404,2.01019,1.71232,0,0,0,-19.054
"MtrElec",1,2,12,"",40.7634,0.113398,9.37927,0,0,0,0.211553,0,1.9257,0.612636,0.670244,1.17915,0,2.26063,17.7264,0,5.0927,4.10175,16.9909,0,2.36464,0,0,0,-21.8655
"MtrElec",1,2,13,"",28.2875,0.113146,11.045,0,0,0,0.211553,0,2.27101,0.612636,0.670244,1.17169,0,1.89893,17.7575,0,5.29406,0.70683,0,0,2.85387,0,0,0,-16.319
"MtrElec",1,2,14,"",30.6129,0.113516,11.4548,0,0,0,0.211553,0,2.35509,0.612636,0.670244,1.15374,0,1.89893,18.1531,0,5.15436,0,0,0,2.60925,0,0,0,-13.7743
"MtrElec",1,2,15,"",37.7722,0.113388,11.5025,0,0,0,0.211553,0,2.36464,0.612636,0.670244,1.14903,0,1.89893,18.8017,0,5.284,0,0,0,2.77233,0,0,0,-7.60881
"MtrElec",1,2,16,"",45.0281,0.113284,10.4441,0,0,0,0.211553,0,2.17777,0.612636,0.670244,1.14836,0,2.35106,19.3524,0,5.31483,0,0,0.882252,4.24004,0,0,0,-2.49041
"MtrElec",1,2,17,"",59.4444,0.112608,8.09232,0,0,0,0.211553,0,1.71822,0.612636,0.670244,1.15853,0,2.80319,21.8337,0,5.39726,0,7.45712,0,9.37701,0,0,0,0
"MtrElec",1,2,18,"",61.4185,0.0873577,5.57842,0,0,0,0.211553,0,1.18885,0.612636,0.670244,0,0,3.97872,24.9562,0,5.92334,2.47408,0,0,15.7371,0,0,0,0
"MtrElec",1,2,19,"",66.1965,0.07565,4.20016,0,0,0,0.211553,0,0.883107,0.612636,0.670244,1.21157,0,7.59573,27.1102,0,6.47458,2.47401,0,0,14.6771,0,0,0,0
"MtrElec",1,2,20,"",62.0411,0.0752855,2.5862,0,0,0,0.211553,0,0.535352,0.612636,0.670244,1.22672,0,10.5798,28.5213,0,6.54333,0,0,2.48785,7.99084,0,0,0,0
"MtrElec",1,2,21,"",82.9119,0.0748769,1.45225,0,0,0,0.211553,0,0.292997,0.612636,0.670244,1.24466,0,10.2181,29.7418,0,6.18344,4.95173,21.0282,2.80479,3.42465,0,0,0,0
"MtrElec",1,2,22,"",77.9902,0.0745334,3.30205,0,0,0,0.211553,0,0.674732,0.612636,0.670244,1.25551,0,8.68083,29.5251,0,5.85594,0,23.7071,1.78912,1.63078,0,0,0,0
"MtrElec",1,2,23,"",63.9526,0.0747731,5.6649,0,0,0,0.211553,0,1.18663,0.612636,0.670244,1.23829,0,5.6968,26.1777,0,5.46077,0,15.1223,0.857511,0.978471,0,0,0,0
"MtrElec",1,2,24,"",49.8016,0.0753164,7.63452,0,0,0,0.211553,0,1.63589,0.612636,0.670244,0,0,3.52659,22.4146,0,4.95689,0,7.248,0,0.815392,0,0,0,0
"MtrElec",1,3,1,"",38.9263,0.0753884,9.608,0,0,0,0.211553,0,2.05698,0.612636,0.670244,0,0,2.07978,18.0678,0,5.13623,0,0,0,0.407696,0,0,0,0
"MtrElec",1,3,2,"",39.9035,0.0752451,11.2359,0,0,0,0.211553,0,2.34846,0.612636,0.670244,1.16473,0,1.71808,16.6138,0,4.92657,0,0,0,0.326157,0,0,0,0
"MtrElec",1,3,3,"",41.1999,0.0746065,12.303,0,0,0,0.211553,0,2.52518,0.612636,0.670244,1.14926,0,1.35638,15.7435,0,4.84288,1.46611,0,0,0.244618,0,0,0,0
"MtrElec",1,3,4,"",43.5105,0.0737856,13.1751,0,0,0,0.211553,0,2.64527,0.612636,0.670244,1.13949,0,1.53723,15.6963,0,4.73086,1.00937,0,1.76411,0.244618,0,0,0,0
"MtrElec",1,3,5,"",62.8003,0.0724301,15.4825,5.08328,0,0,0.211553,0,3.03047,0.612636,0.670244,1.13264,0,1.89893,14.9068,0,4.54334,0,14.9109,0,0.244618,0,0,0,0
"MtrElec",1,3,6,"",48.7131,0.0718593,14.5554,4.74837,0,0,0.211553,0,2.84792,0.612636,0.670244,1.11205,0,2.80319,16.1534,0,4.5188,0,0,0,0.407696,0,0,0,0
"MtrElec",1,3,7,"",46.9858,0.0718131,12.1764,2.38887,0,0,0.211553,0,2.37588,0.612636,0.670244,1.12219,0,3.79786,18.1455,0,4.59746,0,0,0,0.815392,0,0,0,0
"MtrElec",1,3,8,"",13.5645,0.0718131,6.87164,4.42661,0,0,0.211553,0,1.34297,0.612636,0.670244,1.14724,0,3.70744,19.5041,0,5.03795,0,0,0,2.20156,0,0,0,-32.2413
"MtrElec",1,3,9,"",-50.2392,0.0740835,3.64188,0,0,0,0.211553,0,0.705663,0.612636,0.670244,1.1987,0,3.07446,18.3569,0,5.85505,2.47539,0,0.506711,3.91388,0,0,0,-91.5363
"MtrElec",1,3,10,"",-93.1779,0.0825919,1.91923,0,0,0,0.211553,0,0.38662,0.612636,0.670244,1.23025,0,2.62234,17.6975,0,5.65748,0,4.28291,6.00368,3.91388,0,0,0,-138.469
"MtrElec",1,3,11,"",-83.0638,0.0839457,1.23723,0,0,0,0.211553,0,0.258953,0.612636,0.670244,0,0,2.44148,17.9934,0,5.58169,0.853184,50.7453,1.59356,3.7508,0,0,0,-169.098
"MtrElec",1,3,12,"",-130.064,0.0857532,0.62903,0,0,0,0.211553,0,0.139678,0.612636,0.670244,0,0,2.26063,17.7049,0,5.68809,3.94042,13.4694,3.76561,4.48466,0,0,0,-183.726
"MtrElec",1,3,13,"",-112.786,0.0786535,0.527104,0,0,0,0.211553,0,0.125171,0.612636,0.670244,0,0,1.89893,17.4979,0,5.78926,2.63314,31.8284,2.24591,5.13697,0,0,0,-182.042
"MtrElec",1,3,14,"",-108.972,0.0815383,0.558803,0,0,0,0.211553,0,0.138362,0.612636,0.670244,0,0,1.89893,18.0343,0,5.85943,0,18.9833,3.58946,4.81081,0,0,0,-164.421
"MtrElec",1,3,15,"",-59.9337,0.0862663,0.668183,0,0,0,0.211553,0,0.169263,0.612636,0.670244,0,0,1.89893,18.9207,0,5.76217,4.94981,30.3395,2.1942,5.05543,0,0,0,-131.473
"MtrElec",1,3,16,"",-25.7472,0.0894816,0.62151,0,0,0,0.211553,0,0.158664,0.612636,0.670244,0,0,2.35106,19.9007,0,5.98239,0,18.5462,3.12436,5.54467,0,0,0,-83.5607
"MtrElec",1,3,17,"",44.5573,0.0891413,0.684885,0,0,0,0.211553,0,0.168284,0.612636,0.670244,0,0,2.80319,22.3339,0,5.78541,0,26.4082,1.67488,7.42007,0,0,0,-24.3052
"MtrElec",1,3,18,"",68.7565,0.0831092,0.459263,0,0,0,0.211553,0,0.108284,0.612636,0.670244,0,0,3.97872,25.1796,0,6.17692,0,14.1567,5.78546,11.3339,0,0,0,0
"MtrElec",1,3,19,"",107.525,0.078933,0.430728,0,0,0,0.211553,0,0.0931441,0.612636,0.670244,0,0,7.59573,27.0648,0,6.74264,0,48.9008,4.60529,10.5186,0,0,0,0
"MtrElec",1,3,20,"",98.2658,0.0776924,0.799349,0,0,0,0.211553,0,0.166447,0.612636,0.670244,1.27113,0,10.5798,28.1418,0,6.58967,2.47465,38.9257,1.8744,5.87082,0,0,0,0
"MtrElec",1,3,21,"",71.302,0.0773409,0.648614,0,0,0,0.211553,0,0.138024,0.612636,0.670244,1.26841,0,10.2181,29.1716,0,6.38541,1.23978,15.8431,2.20784,2.60925,0,0,0,0
"MtrElec",1,3,22,"",68.403,0.0754009,0.558383,0,0,0,0.211553,0,0.123569,0.612636,0.670244,0,0,8.68083,28.9069,0,6.1238,2.1165,18.6615,0.520187,1.14155,0,0,0,0
