1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.1 (8583)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2025-04-18T16:56:52+07:00",
Input File Name:,,,"Euclid_Building C_2025-01-06",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"Res_West Facing_L01-zn",Conditioned,5492,2,1943.94,339.688,5768.88,0,0,12596,0,5492,0,21968,0,0,0,
"Res_West Facing_L02-zn",Conditioned,4718,3,2457.74,653.369,0,0,0,8897.48,4718,4718,538.519,18872,0,0,0,
"Res_East Facing_L02-zn",Conditioned,6420,4,3257.13,906.321,0,0,0,9988.85,6420,6420,2851.15,25680,0,0,0,
"Res_West Facing_L03-zn",Conditioned,4718,3,2457.74,689.966,0,4805,0,8897.48,4718,0,538.519,18872,0,0,0,
"Res_East Facing_L03-zn",Conditioned,6420,4,3257.13,807.293,0,6493,0,9988.85,6420,0,2851.15,25680,0,0,0,
"Breezeway-1_L01-zn",Unconditioned,429.88,0,132.99,0,429.88,0,0,808.658,0,429.88,51.1015,1719.52,0,0,0,
"Breezeway-2_L01-zn",Unconditioned,429.88,0,132.99,0,429.88,0,0,808.658,0,429.88,51.1015,1719.52,0,0,0,
"Breezeway-3_L01-zn",Unconditioned,401.24,0,181.437,0,401.24,0,0,728.303,0,401.24,74.1774,1604.96,0,0,0,
"Electric-Rm__L01-zn",Unconditioned,234.31,0,114.084,0,234.31,0,0,581.117,0,234.31,0,937.24,0,0,0,
"Garage 1_L01-zn",Unconditioned,4466.5,0,2470.81,0,4466.5,0,0,564.467,0,4466.5,8368.53,17866,0,0,0,
"Garage 2_L01-zn",Unconditioned,730.589,0,705.565,0,730.589,0,0,522.02,0,730.589,939.158,2922.36,0,0,0,
"Inverter-Rm_L01-zn",Directly Conditioned,24.4146,0,35.8476,0,24.4146,0,0,188.561,0,24.4146,0,97.6584,0,0,0,
"Breezeway-1_L02-zn",Unconditioned,405,0,132.731,0,0,0,0,781.262,405,405,28.738,1620,0,0,0,
"Breezeway-2_L02-zn",Unconditioned,412.349,0,134.426,0,0,0,0,787.821,412.349,412.349,36.8765,1649.4,0,0,0,
"Breezeway-3_L02-zn",Unconditioned,397.638,0,134.429,0,0,0,0,771.218,397.638,397.638,24.0579,1590.55,0,0,0,
"Breezeway-1_L03-zn",Unconditioned,405,0,132.731,0,0,405,0,781.262,405,0,28.738,1620,0,0,0,
"Breezeway-2_L03-zn",Unconditioned,412.472,0,134.426,0,0,412,0,787.959,412.472,0,36.985,1649.89,0,0,0,
"Breezeway-3_L03-zn",Unconditioned,412.413,0,134.429,0,0,412,0,787.89,412.413,0,36.9359,1649.65,0,0,0,
"ResidentialAttic-atc",Unconditioned,11298,0,0,0,0,0,0,0,0,0,0,0,22596,0,11307.8,
