19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2022.3.1 (1343)"
,CompMgr:,,"BEMCmpMgr 2022.3.1 (8583)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE19 0.922.1 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,"Euclid_Building C"
Run Date/Time:,,,"2025-04-18 17:00:59"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,27792
Model:,,,"Standard"
Model File:,,,"T:\Projects\60-22338-AO-Legacy Euclid & Walnut\10_Energy Model\02_LEED Models\Building C\2025-01-06 Window Updates\Euclid_Building C_2025-01-06.cibd22"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0.522519,0,0.727519,0,0.373768,0.061985,0.260269,5.29387,3.29989,0.609376,1.36425,1.94606,12.5134,0,0,0,0,0,20.5487,0,0,0,0,0,20.5487,20.5487,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0209,3773.76,6868.53,4.69816,86.3488,100,0.000289411,0.0058475,0.006309,0,0,0,
1,1,2, 01/01 02,0.657135,0,0.753282,0,0.368345,0.061985,0.260269,4.86784,2.30376,0.503397,1.36425,2.10101,11.1403,0,0,0,0,0,19.9843,0,0,0,0,0,19.9843,19.9843,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9955,3773.76,6868.53,4.69152,86.3488,100,0.000289003,0.0058475,0.006309,0,0,0,
1,1,3, 01/01 03,1.12448,0,0.802565,0,0.366754,0.061985,0.260269,4.61285,1.52498,0.397419,1.36425,2.61605,10.5155,0,0,0,0,0,8.65189,0,0,0,0,0,8.65189,8.65189,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8934,3773.76,6868.53,4.68573,86.3488,100,0.000288646,0.0058475,0.006309,0,0,0,
1,1,4, 01/01 04,2.10492,0,0.924389,0,0.363704,0.061985,0.260269,4.59902,1.4879,0.450408,1.36425,3.71527,11.6168,0,0,0,0,0,7.16085,0,0,0,0,0,7.16085,7.16085,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8111,3773.76,6868.53,4.59702,86.3488,100,0.000283181,0.0058475,0.006309,0,0,0,
1,1,5, 01/01 05,3.20768,0,1.05219,0,0.356165,0.061985,0.260269,4.36769,1.43375,0.556386,1.36425,4.93829,12.6604,0,0,0,0,0,8.84307,0,0,0,0,0,8.84307,8.84307,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8653,3773.76,6868.53,4.6698,86.3488,100,0.000287664,0.0058475,0.006309,0,0,0,
1,1,6, 01/01 06,3.63273,0,1.12059,0,0.34826,0.061985,0.260269,4.73295,1.473,0.821335,1.36425,5.42384,13.8154,0,0,0,0,0,78.244,0,0,0,0,0,78.244,78.244,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0104,3773.76,6868.53,4.70972,86.3488,100,0.000290124,0.0058475,0.006309,0,0,0,
1,1,7, 01/01 07,3.28966,0,1.07673,0,0.344026,0.061985,0.260269,5.31663,1.92233,1.11277,1.36425,5.03267,14.7487,0,0,0,0,0,59.0545,0,0,0,0,0,59.0545,59.0545,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0428,3773.76,6868.53,4.72169,86.3488,100,0.000290861,0.0058475,0.006309,0,0,0,
1,1,8, 01/01 08,2.70719,0,0.986233,0,0.346739,0.061985,0.260269,5.7147,5.56815,1.08628,1.36425,4.36241,18.0958,0,0,0,0,0,78.2024,0,0,0,0,0,78.2024,78.2024,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0229,3773.76,6868.53,4.71263,86.3488,100,0.000290303,0.0058475,0.006309,0,-3.27202,0,
1,1,9, 01/01 09,1.62469,0,0.866445,0,0.352332,0.061985,0.260269,5.37637,10.5705,0.900817,1.36425,3.16572,21.3776,0,0,0,0,0,135.561,0,0,0,0,0,135.561,135.561,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7807,3773.76,6868.53,4.62591,86.3488,100,0.000284961,0.0058475,0.006309,0,-9.8438,0,
1,1,10, 01/01 10,0.483667,0,0.71889,0,0.359742,0.061985,0.260269,5.17145,11.2897,0.768346,1.36425,1.88455,20.4783,0,0,0,0,0,104.717,0,0,0,0,0,104.717,104.717,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7526,3773.76,6868.53,3.87862,86.3488,100,0.000238927,0.0058475,0.006309,0,-13.6664,0,
1,1,11, 01/01 11,0.0335816,0,0.636339,0,0.000132,0.119186,0.260269,5.25815,28.3715,0.715354,1.36425,1.04951,36.7587,0,0,0,0,0,68.0605,0,0,0,0,0,68.0605,68.0605,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0235,3773.76,6868.53,3.5285,86.3488,100,0.000217359,0.0058475,0.006309,0,-22.1034,0,
1,1,12, 01/01 12,0,0,0.630223,0,0,0.119186,0.260269,5.17362,18.2893,0.662365,1.36425,1.00968,26.4992,0,0,0,0,0,63.7956,0,0,0,0,0,63.7956,63.7956,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5225,3773.76,6868.53,3.24733,86.3488,100,0.000200039,0.0058475,0.006309,0,-25.6002,0,
1,1,13, 01/01 13,0.116581,0,0.651316,0,0,0.119186,0.260269,5.12688,4.20758,0.556386,1.36425,1.14735,12.4024,0,0,0,0,0,26.415,0,0,0,0,0,26.415,26.415,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5328,3773.76,6868.53,3.06362,86.3488,100,0.000188722,0.0058475,0.006309,0,-21.3866,0,
1,1,14, 01/01 14,0.0989177,0,0.648027,0,0,0.119186,0.260269,5.28405,5.3333,0.556386,1.36425,1.1264,13.6644,0,0,0,0,0,17.6268,0,0,0,0,0,17.6268,17.6268,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5223,3773.76,6868.53,3.15916,86.3488,100,0.000194608,0.0058475,0.006309,0,-23.9499,0,
1,1,15, 01/01 15,0.0643824,0,0.641767,0,0,0.119186,0.260269,5.54377,3.19466,0.556386,1.36425,1.0856,11.7447,0,0,0,0,0,24.0923,0,0,0,0,0,24.0923,24.0923,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6923,3773.76,6868.53,3.1679,86.3488,100,0.000195146,0.0058475,0.006309,0,-16.4192,0,
1,1,16, 01/01 16,0.0784739,0,0.64432,0,0,0.061985,0.260269,5.83091,3.59702,0.688861,1.36425,1.04505,12.5261,0,0,0,0,0,29.8417,0,0,0,0,0,29.8417,29.8417,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5745,3773.76,6868.53,3.78584,86.3488,100,0.000233211,0.0058475,0.006309,0,-3.45075,0,
1,1,17, 01/01 17,0,0,0.630223,0,0,0.061985,0.260269,6.54383,6.42097,0.821335,1.36425,0.952477,16.1029,0,0,0,0,0,39.5005,0,0,0,0,0,39.5005,39.5005,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1368,3773.76,6868.53,4.75684,86.3488,100,0.000293026,0.0058475,0.006309,0,-0.374167,0,
1,1,18, 01/01 18,0,0,0.630223,0,0,0.061985,0.260269,7.37762,13.6578,1.16576,1.36425,0.952477,24.518,0,0,0,0,0,56.6147,0,0,0,0,0,56.6147,56.6147,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1563,3773.76,6868.53,4.77735,86.3488,100,0.00029429,0.0058475,0.006309,0,0,0,
1,1,19, 01/01 19,0,0,0.630223,0,0,0.061985,0.260269,7.92999,15.0866,2.22555,1.36425,0.952477,27.5588,0,0,0,0,0,64.1596,0,0,0,0,0,64.1596,64.1596,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1564,3773.76,6868.53,4.77715,86.3488,100,0.000294277,0.0058475,0.006309,0,0,0,
1,1,20, 01/01 20,0,0,0.630223,0,0,0.061985,0.260269,8.24555,6.58548,3.09988,1.36425,0.952477,20.2476,0,0,0,0,0,65.7861,0,0,0,0,0,65.7861,65.7861,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1537,3773.76,6868.53,4.77623,86.3488,100,0.000294221,0.0058475,0.006309,0,0,0,
1,1,21, 01/01 21,0,0,0.630223,0,0,0.061985,0.260269,8.54728,3.26468,2.9939,1.36425,0.952477,17.1226,0,0,0,0,0,65.7225,0,0,0,0,0,65.7225,65.7225,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1373,3773.76,6868.53,4.7671,86.3488,100,0.000293658,0.0058475,0.006309,0,0,0,
1,1,22, 01/01 22,0,0,0.630223,0,0,0.061985,0.260269,8.46972,5.23796,2.54348,1.36425,0.952477,18.5679,0,0,0,0,0,83.0101,0,0,0,0,0,83.0101,83.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0372,3773.76,6868.53,4.72741,86.3488,100,0.000291213,0.0058475,0.006309,0,0,0,
