"Title 24 Multi Family Compliance  /  Standard  /  Jefferson Murrieta Bldg 1B_2025-12-15.cibd22",003
"Tue 16-Dec-25   8:5 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",70.2083,0,9.8848,3.88002,0,0,0.0989521,0,1.57391,3.14266,0.95212,1.80336,0,3.4501,30.5245,0,8.68549,0,5.55219,0,0.660222,0,0,0,0
"MtrElec",1,1,2,"",66.9148,0,12.1324,4.57386,0,0,0.0989521,0,1.99504,3.14266,0.95212,1.76619,0,2.85009,28.1165,0,8.28368,2.47506,0,0,0.528177,0,0,0,0
"MtrElec",1,1,3,"",62.6923,0,12.3166,4.9534,0,0,0.0989521,0,2.04698,3.14266,0.95212,1.74045,0,2.25007,26.6734,0,8.12149,0,0,0,0.396133,0,0,0,0
"MtrElec",1,1,4,"",64.2565,0,13.3378,5.27481,0,0,0.0989521,0,2.24115,3.14266,0.95212,1.73725,0,2.55008,26.6042,0,7.92145,0,0,0,0.396133,0,0,0,0
"MtrElec",1,1,5,"",66.2359,0,15.5988,5.58914,0,0,0.0989521,0,2.66387,3.14266,0.95212,1.72536,0,3.15009,25.2706,0,7.64825,0,0,0,0.396133,0,0,0,0
"MtrElec",1,1,6,"",143.251,0,15.5529,5.35428,0,73.5231,0.0989521,0,2.63613,3.14266,0.95212,1.69951,0,4.65014,27.3796,0,7.60097,0,0,0,0.660222,0,0,0,0
"MtrElec",1,1,7,"",156.756,0,13.0631,4.86188,0,83.2337,0.0989521,0,2.15456,3.14266,0.95212,1.70119,0,6.30019,30.732,0,7.76879,0,0,1.42685,1.32044,0,0,0,0
"MtrElec",1,1,8,"",175.698,0,11.9185,4.8136,0,83.2337,0.0989521,0,1.95315,3.14266,0.95212,1.73059,0,6.15018,32.9857,0,8.44631,0,12.0602,4.64754,3.5652,0,0,0,0
"MtrElec",1,1,9,"",186.782,0,10.1761,4.58994,20.0749,48.553,0.0989521,0,1.66002,3.14266,0.95212,1.74284,0,5.10015,30.9926,0,9.61944,0,39.2827,4.45871,6.33813,0,0,0,0
"MtrElec",1,1,10,"",167.235,0,6.44999,0.919748,49.0769,0,0.0989521,0,1.00135,3.14266,0.95212,1.76078,0,4.35013,29.7855,0,9.3705,3.02482,37.6866,13.2772,6.33813,0,0,0,0
"MtrElec",1,1,11,"",224.491,0,3.6227,0,41.976,0,0.0989521,0,0.545393,3.14266,0.95212,0,0,4.05012,30.2983,0,9.21111,4.39771,112.224,7.8979,6.07404,0,0,0,0
"MtrElec",1,1,12,"",155.503,0,2.2147,0,25.2017,0,0.0989521,0,0.340536,3.14266,0.95212,0,0,3.75011,29.8305,0,9.39184,3.08103,66.756,3.48032,7.26243,0,0,0,0
