"Title 24 Multi Family Compliance  /  Standard (PV-Batt only)  /  Jefferson Murrieta Bldg 1B_2025-12-15.cibd22",001
"Tue 16-Dec-25   9:0 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",91.6214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.6214,0,0,0
"MtrElec",1,1,2,"",88.3284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.3284,0,0,0
"MtrElec",1,1,3,"",84.1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.1072,0,0,0
"MtrElec",1,1,4,"",85.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.671,0,0,0
"MtrElec",1,1,5,"",87.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.65,0,0,0
"MtrElec",1,1,6,"",164.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.646,0,0,0
"MtrElec",1,1,7,"",178.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.149,0,0,0
"MtrElec",1,1,8,"",181.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.086,0,0,-15.7767
"MtrElec",1,1,9,"",155.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.167,0,0,-52.7649
"MtrElec",1,1,10,"",125.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.625,0,0,-63.5534
"MtrElec",1,1,11,"",111.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.867,0,0,-134.328
"MtrElec",1,1,12,"",64.8088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.895,0,0,-112.086
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.891,0,3.45586,-166.347
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.053,0,26.9111,-152.964
"MtrElec",1,1,15,"",42.5648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.847,0,0,-92.2822
"MtrElec",1,1,16,"",64.5139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.589,0,0,-27.0751
"MtrElec",1,1,17,"",139.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.335,0,0,-3.31665
"MtrElec",1,1,18,"",211.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.754,0,0,0
"MtrElec",1,1,19,"",191.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.516,0,-27.4062,0
"MtrElec",1,1,20,"",179.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.12,0,0,0
"MtrElec",1,1,21,"",138.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.933,0,0,0
"MtrElec",1,1,22,"",162.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.714,0,0,0
"MtrElec",1,1,23,"",168.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.39,0,0,0
"MtrElec",1,1,24,"",114.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.995,0,0,0
"MtrElec",1,2,1,"",84.6716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.6716,0,0,0
"MtrElec",1,2,2,"",83.2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.2344,0,0,0
"MtrElec",1,2,3,"",102.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.811,0,0,0
"MtrElec",1,2,4,"",102.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,0,0,0
"MtrElec",1,2,5,"",84.6071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.6071,0,0,0
"MtrElec",1,2,6,"",83.6977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.6977,0,0,0
"MtrElec",1,2,7,"",97.8093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.8093,0,0,0
"MtrElec",1,2,8,"",130.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.205,0,0,-12.8562
"MtrElec",1,2,9,"",152.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.768,0,0,-7.86686
"MtrElec",1,2,10,"",114.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.043,0,0,-28.969
"MtrElec",1,2,11,"",145.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.692,0,0,-37.6413
"MtrElec",1,2,12,"",119.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.319,0,0,-22.548
"MtrElec",1,2,13,"",69.1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8869,0,0,-19.7674
"MtrElec",1,2,14,"",109.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.782,0,0,-15.4536
"MtrElec",1,2,15,"",76.1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1513,0,0,-9.02716
"MtrElec",1,2,16,"",110.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.144,0,0,-4.04712
"MtrElec",1,2,17,"",121.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.282,0,0,0
