"(RunTitle not specified)  /  Standard  /  Jefferson Murrieta_Bldg 2C_2025-12-17.cibd22",003
"Wed 17-Dec-25   1:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",129.806,0,20.5874,7.99765,11.3117,0,0.154652,0,3.0991,5.17243,3.03504,2.91933,0,5.64855,49.174,0,14.0819,0,5.55219,0,1.07195,0,0,0,0
"MtrElec",1,1,2,"",233.497,0,25.0172,9.30703,13.0465,104.31,0.154652,0,3.88646,5.17243,3.03504,2.84649,0,4.6662,45.2885,0,13.4345,2.47506,0,0,0.857562,0,0,0,0
"MtrElec",1,1,3,"",110.584,0,25.0791,9.95051,0,0,0.154652,0,3.93437,5.17243,3.03504,2.79833,0,3.68384,42.9605,0,13.1716,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,4,"",128.585,0,27.0529,10.5597,15.0078,0,0.154652,0,4.29639,5.17243,3.03504,2.7954,0,4.17502,42.8448,0,12.8477,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,5,"",132.555,0,31.6188,11.2077,14.5643,0,0.154652,0,5.12565,5.17243,3.03504,2.77325,0,5.15737,40.7045,0,12.3986,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,6,"",168.06,0,32.1428,10.9528,0,43.6123,0.154652,0,5.17133,5.17243,3.03504,2.72252,0,7.61327,44.0881,0,12.3229,0,0,0,1.07195,0,0,0,0
"MtrElec",1,1,7,"",319.14,0,26.4985,9.73469,0,186.91,0.154652,0,4.09148,5.17243,3.03504,2.7197,0,10.3147,49.4743,0,12.5896,4.21947,0,2.08167,2.1439,0,0,0,0
"MtrElec",1,1,8,"",345.188,0,23.6101,9.40322,0,186.91,0.154652,0,3.6127,5.17243,3.03504,2.78575,0,10.0692,53.1094,0,13.6982,3.20672,17.595,7.03782,5.78854,0,0,0,0
"MtrElec",1,1,9,"",319.33,0,20.7176,9.22637,85.8316,37.3819,0.154652,0,3.21111,5.17243,3.03504,2.81501,0,8.35004,50.1206,0,15.6289,0,59.4862,7.90817,10.2907,0,0,0,0
"MtrElec",1,1,10,"",308.153,0,13.7151,1.92029,108.175,0,0.154652,0,2.04668,5.17243,3.03504,2.83956,0,7.12209,48.1943,0,15.2113,5.04136,66.8428,18.3913,10.2907,0,0,0,0
