"(RunTitle not specified)  /  Standard (PV-Batt only)  /  Jefferson Murrieta_Bldg 2C_2025-12-17.cibd22",001
"Wed 17-Dec-25   2:0 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",150.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.176,0,0,0
"MtrElec",1,1,2,"",253.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.843,0,0,0
"MtrElec",1,1,3,"",130.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.959,0,0,0
"MtrElec",1,1,4,"",148.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.956,0,0,0
"MtrElec",1,1,5,"",152.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.925,0,0,0
"MtrElec",1,1,6,"",188.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.421,0,0,0
"MtrElec",1,1,7,"",339.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.465,0,0,0
"MtrElec",1,1,8,"",339.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.508,0,0,-26.3492
"MtrElec",1,1,9,"",251.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.847,0,0,-88.1243
"MtrElec",1,1,10,"",222.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.672,0,0,-106.143
"MtrElec",1,1,11,"",187.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.62,0,0,-224.346
"MtrElec",1,1,12,"",210.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.333,0,0,-187.199
"MtrElec",1,1,13,"",24.6928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.514,0,0,-277.821
"MtrElec",1,1,14,"",11.9233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.393,0,0,-255.47
"MtrElec",1,1,15,"",91.1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.322,0,0,-154.124
"MtrElec",1,1,16,"",177.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.364,0,0,-45.219
"MtrElec",1,1,17,"",236.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.004,0,0,-5.53924
"MtrElec",1,1,18,"",349.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.505,0,0,0
"MtrElec",1,1,19,"",328.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.394,0,0,0
"MtrElec",1,1,20,"",316.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.49,0,0,0
"MtrElec",1,1,21,"",248.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.506,0,0,0
"MtrElec",1,1,22,"",280.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.815,0,0,0
"MtrElec",1,1,23,"",220.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.255,0,0,0
"MtrElec",1,1,24,"",195.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.199,0,0,0
"MtrElec",1,2,1,"",138.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.999,0,0,0
"MtrElec",1,2,2,"",138.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.091,0,0,0
"MtrElec",1,2,3,"",126.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.303,0,0,0
"MtrElec",1,2,4,"",185.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.823,0,0,0
"MtrElec",1,2,5,"",139.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.135,0,0,0
"MtrElec",1,2,6,"",126.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.316,0,0,0
"MtrElec",1,2,7,"",237.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.19,0,0,0
"MtrElec",1,2,8,"",229.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.473,0,0,-21.4716
"MtrElec",1,2,9,"",271.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.127,0,0,-13.1387
