"(RunTitle not specified)  /  Proposed  /  Jefferson Murrieta_Bldg 2C_2025-12-17.cibd22",002
"Wed 17-Dec-25   1:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",121.988,0,25.1665,10.5824,0,0,0.154652,0,4.14144,1.72568,1.97251,2.84354,0,5.64855,49.174,0,13.9542,0,5.55219,0,1.07195,0,0,0,0
"MtrElec",1,1,2,"",121.191,0,30.5573,12.2264,0,0,0.154652,0,5.15581,1.72568,1.97251,2.7871,0,4.6662,45.2885,0,13.3238,2.47506,0,0,0.857562,0,0,0,0
"MtrElec",1,1,3,"",116.157,0,30.794,13.1632,0,0,0.154652,0,5.24422,1.72568,1.97251,2.74664,0,3.68384,42.9605,0,13.0683,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,4,"",119.446,0,32.9612,13.8216,0,0,0.154652,0,5.65515,1.72568,1.97251,2.74227,0,4.17502,42.8448,0,12.7497,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,5,"",124.438,0,38.0868,14.3752,0,0,0.154652,0,6.60091,1.72568,1.97251,2.72515,0,5.15737,40.7045,0,12.292,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,6,"",130.428,0,38.3716,13.9171,0,0,0.154652,0,6.60806,1.72568,1.97251,2.68723,0,7.61327,44.0881,0,12.2179,0,0,0,1.07195,0,0,0,0
"MtrElec",1,1,7,"",194.092,0,32.1583,12.7078,0,0,0.154652,0,5.4035,1.72568,1.97251,2.68611,0,10.3147,49.4743,0,12.4713,4.21947,0,2.08167,2.1439,0,56.5784,0,0
"MtrElec",1,1,8,"",353.024,0,28.7389,12.3921,0,0,0.154652,0,4.80418,1.72568,1.97251,2.7329,0,10.0692,53.1094,0,13.5877,3.20672,17.595,7.03782,5.78854,0,235.424,0,-45.3145
"MtrElec",1,1,9,"",308.055,0,24.9699,12.1364,0,0,0.154652,0,4.20789,1.72568,1.97251,2.75524,0,8.35004,50.1206,0,15.5572,0,59.4862,7.90817,10.2907,0,259.974,0,-151.553
"MtrElec",1,1,10,"",299.146,0,17.2326,2.63713,117.565,0,0.154652,0,2.82867,1.72568,1.97251,2.7784,0,7.12209,48.1943,0,15.1119,5.04136,66.8428,18.3913,10.2907,0,163.797,0,-182.541
"MtrElec",1,1,11,"",69.9361,0,9.22541,0,136.612,0,0.154652,0,1.54759,1.72568,1.97243,0,0,6.63091,50.1637,0,14.8587,8.77695,155.45,17.1271,9.86195,0,41.652,0,-385.823
"MtrElec",1,1,12,"",94.3528,0,6.07394,0,155.865,0,0.154652,0,1.07306,1.72568,1.97251,0,0,6.13973,49.4046,0,15.1456,8.89885,144.765,13.2817,11.7915,0,0,0,-321.939
