"(RunTitle not specified)  /  Proposed-x  /  Jefferson Murrieta_Bldg 2C_2025-12-17.cibd22",003
"Wed 17-Dec-25   1:2 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",137.564,0,30.6224,6.61209,11.3139,0,0.154652,0,3.10495,5.17243,2.1403,2.91522,0,5.64855,49.174,0,14.0816,0,5.55219,0,1.07195,0,0,0,0
"MtrElec",1,1,2,"",137.583,0,35.8079,7.84239,13.0094,0,0.154652,0,3.89139,5.17243,2.1403,2.84265,0,4.6662,45.2885,0,13.4342,2.47506,0,0,0.857562,0,0,0,0
"MtrElec",1,1,3,"",118.615,0,35.4751,8.48087,0,0,0.154652,0,3.93836,5.17243,2.1403,2.79454,0,3.68384,42.9605,0,13.1713,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,4,"",136.827,0,37.6761,9.06158,15.0202,0,0.154652,0,4.30009,5.17243,2.1403,2.79167,0,4.17502,42.8448,0,12.8474,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,5,"",141.548,0,43.0378,9.66121,14.58,0,0.154652,0,5.12903,5.17243,2.1403,2.76954,0,5.15737,40.7045,0,12.3983,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,6,"",317.189,0,44.0218,9.37795,0,183.333,0.154652,0,5.17425,5.17243,2.1403,2.71883,0,7.61327,44.0881,0,12.3226,0,0,0,1.07195,0,0,0,0
"MtrElec",1,1,7,"",213.364,0,37.8938,8.16341,0,72.2062,0.154652,0,4.09383,5.17243,2.1403,2.71604,0,10.3147,49.4743,0,12.5892,4.21947,0,2.08167,2.1439,0,0,0,0
"MtrElec",1,1,8,"",403.25,0,34.0782,7.89653,0,236.907,0.154652,0,3.61446,5.17243,2.1403,2.78212,0,10.0692,53.1094,0,13.6979,3.20672,17.595,7.03782,5.78854,0,0,0,0
"MtrElec",1,1,9,"",331.495,0,29.5079,7.976,128.735,0,0.154652,0,3.21257,5.17243,2.1403,2.81142,0,8.35004,50.1206,0,15.6287,0,59.4862,7.90817,10.2907,0,0,0,0
"MtrElec",1,1,10,"",309.067,0,20.5459,1.61582,103.461,0,0.154652,0,2.04776,5.17243,2.1403,2.83599,0,7.12209,48.1943,0,15.211,5.04136,66.8428,18.3913,10.2907,0,0,0,0
"MtrElec",1,1,11,"",379.19,0,10.1159,0,97.529,0,0.154652,0,1.11216,5.17243,2.1403,0,0,6.63091,50.1637,0,14.9548,8.77695,155.45,17.1271,9.86195,0,0,0,0
"MtrElec",1,1,12,"",361.029,0,5.40291,0,97.9192,0,0.154652,0,0.706679,5.17243,2.1403,0,0,6.13973,49.4046,0,15.2519,8.89885,144.765,13.2817,11.7915,0,0,0,0
"MtrElec",1,1,13,"",321.452,0,2.0362,0,90.945,0,0.154652,0,0.367964,5.17243,2.14033,0,0,5.15737,49.7357,0,15.5544,11.9292,112.262,12.49,13.5066,0,0,0,0
"MtrElec",1,1,14,"",206.562,0,1.41533,0,0,0,0.154652,0,0.255029,5.17243,2.14032,0,0,5.15737,51.1775,0,15.7641,0,105.57,7.10564,12.649,0,0,0,0
"MtrElec",1,1,15,"",243.816,0,1.30578,0,83.935,0,0.154652,0,0.233967,5.17243,2.14032,0,0,5.15737,53.5573,0,15.5401,0,60.0595,3.26779,13.2922,0,0,0,0
"MtrElec",1,1,16,"",139.361,0,1.23148,0,0,0,0.154652,0,0.220568,5.17243,2.1403,0,0,6.38532,56.1986,0,15.9739,0,27.6206,9.68444,14.5785,0,0,0,0
"MtrElec",1,1,17,"",273.164,0,1.24751,0,68.445,0,0.154652,0,0.223741,5.17243,2.14029,0,0,7.61327,62.7763,0,15.5688,0,81.8565,8.45615,19.5095,0,0,0,0
"MtrElec",1,1,18,"",266.513,0,0.840425,0,46.7846,0,0.154652,0,0.151354,5.17243,2.14026,0,0,10.8059,69.7213,0,16.5377,3.64801,71.4745,9.28114,29.8002,0,0,0,0
"MtrElec",1,1,19,"",358.071,0,1.83967,0,121.066,0,0.154652,0,0.0943193,5.17243,2.14027,0,0,20.6295,74.0339,0,17.8919,3.77743,78.4476,5.1671,27.6563,0,0,0,0
"MtrElec",1,1,20,"",305.232,0,5.95016,0,97.291,0,0.154652,0,0.125695,5.17243,2.1403,0,0,28.7339,76.3386,0,17.5435,9.90242,43.6742,2.76848,15.4361,0,0,0,0
"MtrElec",1,1,21,"",174.617,0,7.77618,0,0,0,0.154652,0,0.172364,5.17243,2.1403,0,0,27.7516,79.1035,0,17.077,1.1769,23.4002,3.8311,6.86049,0,0,0,0
"MtrElec",1,1,22,"",287.515,0,10.6241,0,107.509,0,0.154652,0,0.363314,5.17243,2.1403,3.022,0,23.5766,78.3499,0,16.3933,1.2979,32.3819,3.52809,3.00146,0,0,0,0
"MtrElec",1,1,23,"",195.166,0,14.4729,0,28.6378,0,0.154652,0,0.781405,5.17243,2.1403,3.01033,0,15.4721,70.0688,0,15.0283,4.94855,29.8207,3.52821,1.92951,0,0,0,0
"MtrElec",1,1,24,"",228.178,0,18.5302,1.0488,76.3373,0,0.154652,0,1.34456,5.17243,2.1403,2.98477,0,9.57798,59.809,0,15.2344,4.95004,29.8217,0,1.07195,0,0,0,0
"MtrElec",1,2,1,"",125.447,0,22.2052,5.44745,13.6158,0,0.154652,0,1.95812,5.17243,2.1403,2.95035,0,5.64855,49.0393,0,13.5682,2.47455,0,0,1.07195,0,0,0,0
"MtrElec",1,2,2,"",124.607,0,25.4736,6.62168,14.4256,0,0.154652,0,2.47536,5.17243,2.1403,2.91281,0,4.6662,44.7765,0,13.2329,1.69764,0,0,0.857562,0,0,0,0
"MtrElec",1,2,3,"",112.847,0,28.2602,7.30552,0,0,0.154652,0,2.89537,5.17243,2.1403,2.88116,0,3.68384,43.0841,0,12.7738,3.25256,0,0.385447,0.857562,0,0,0,0
"MtrElec",1,2,4,"",127.832,0,28.2708,7.85873,14.2044,0,0.154652,0,2.98456,5.17243,2.1403,2.85548,0,4.17502,42.8337,0,12.5696,0,3.25794,0.496546,0.857562,0,0,0,0
"MtrElec",1,2,5,"",125.393,0,27.0657,8.11908,13.746,0,0.154652,0,2.90813,5.17243,2.1403,2.85002,0,5.15737,40.828,0,12.1968,0,4.19699,0,0.857562,0,0,0,0
"MtrElec",1,2,6,"",131.659,0,25.1694,7.14386,19.0387,0,0.154652,0,2.55011,5.17243,2.1403,2.85469,0,7.61327,44.2117,0,12.6083,0,0,0,3.00146,0,0,0,0
"MtrElec",1,2,7,"",194.092,0,21.4415,0.569646,80.4573,0,0.154652,0,1.85386,5.17243,2.1403,2.87657,0,10.3147,50.3524,0,14.2169,0,0,0.468189,4.07341,0,0,0,0
"MtrElec",1,2,8,"",249.979,0,18.7679,0,122.728,0,0.154652,0,1.77412,5.17243,2.1403,2.91916,0,10.0692,54.6983,0,15.6319,1.78192,3.95731,4.82385,5.35975,0,0,0,0
"MtrElec",1,2,9,"",262.308,0,16.9632,0,104.479,0,0.154652,0,2.01859,5.17243,2.1403,2.92404,0,8.35004,51.8992,0,15.1646,4.42901,40.7729,2.26618,5.57415,0,0,0,0
"MtrElec",1,2,10,"",241.424,0,9.97459,0,104.764,0,0.154652,0,1.73844,5.17243,2.14017,0,0,7.12209,50.3724,0,14.0109,11.7978,19.1546,10.3053,4.71659,0,0,0,0
"MtrElec",1,2,11,"",302.168,0,7.22977,0,111.514,0,0.154652,0,1.3248,5.17243,2.1403,0,0,6.63091,50.9394,0,13.641,5.7197,87.1038,6.09497,4.50219,0,0,0,0
"MtrElec",1,2,12,"",150.532,0,7.12552,0,0,0,0.154652,0,1.30572,5.17243,2.14031,0,0,6.13973,50.9394,0,13.8135,5.26854,51.5169,0.738297,6.21731,0,0,0,0
"MtrElec",1,2,13,"",207.1,0,9.48022,0,97.6978,0,0.154652,0,1.74663,5.17243,2.1403,2.9527,0,5.15737,51.0034,0,14.2566,3.18173,6.24036,0.412509,7.50366,0,0,0,0
