PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  177.8 kWdc PV  /  Battery Energy 192.7 kWh and Power 46.22 kW (Time of Use control)"
,"Standard Design PV Capacity: 177.8 kWdc  /  Battery Capacity: 192.7 kWh  (power 46.22 kW, Time of Use control)"
,"User-specified PV array capacity:  305.7 kWdc  (no battery equipment defined)"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"Stair-3_L1","Unconditioned","Stairwell","Highrise Multifamily",187.611,1,,0,,,,,,,,,,0,0,0,
"Garage-1_L1","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",3878.56,1,,0,,,,,,,,,,0,0,0,
"Trash-Rm_L1","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",379.502,1,,0,,,,,,,,,,0,0,0,
"Garage-2_L1","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",720.964,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L1","Unconditioned","Stairwell","Highrise Multifamily",183.743,1,,0,,,,,,,,,,0,0,0,
"Fitness_L1","Conditioned","Exercise/Fitness Center and Gymnasium Areas","Highrise Multifamily",2250.91,1,,2250.91,,,,,,,,,,4.97451,5.39342,1.29337,
"Corridor_L1","Unconditioned","Corridor Area","Highrise Multifamily",2802.99,1,,0,,,,,,,,,,0,0,0,
"Garage-3_L1","Unconditioned","Unoccupied-Include in Gross Floor Area","Highrise Multifamily",3121.13,1,,0,,,,,,,,,,0,0,0,
"Stair-1_L1","Unconditioned","Stairwell","Highrise Multifamily",184.34,1,,0,,,,,,,,,,0,0,0,
"Stair-3_L2","Unconditioned","Stairwell","Highrise Multifamily",187.611,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L2","Unconditioned","Stairwell","Highrise Multifamily",183.743,1,,0,,,,,,,,,,0,0,0,
"Stair-1_L2","Unconditioned","Stairwell","Highrise Multifamily",184.34,1,,0,,,,,,,,,,0,0,0,
"Corridor_L2","Unconditioned","Corridor Area","Highrise Multifamily",2838.79,1,,0,,,,,,,,,,0,0,0,
"Stair-3_L3","Unconditioned","Stairwell","Highrise Multifamily",187.611,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L3","Unconditioned","Stairwell","Highrise Multifamily",183.743,1,,0,,,,,,,,,,0,0,0,
"Stair-1_L3","Unconditioned","Stairwell","Highrise Multifamily",184.34,1,,0,,,,,,,,,,0,0,0,
"Corridor_L3","Unconditioned","Corridor Area","Highrise Multifamily",2917.85,1,,0,,,,,,,,,,0,0,0,
"Stair-3_L4","Unconditioned","Stairwell","Highrise Multifamily",187.611,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L4","Unconditioned","Stairwell","Highrise Multifamily",183.743,1,,0,,,,,,,,,,0,0,0,
"Stair-1_L4","Unconditioned","Stairwell","Highrise Multifamily",184.34,1,,0,,,,,,,,,,0,0,0,
"Corridor_L4","Unconditioned","Corridor Area","Highrise Multifamily",2917.85,1,,0,,,,,,,,,,0,0,0,
"P2.1_20_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_22_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_26_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_12_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_14_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P1.1_24_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_08_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
