"Title 24 Multi Family Compliance  /  Standard  /  Jefferson Murreita Bld 3A.cibd22",003
"Tue 16-Dec-25   3:5 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",49.9922,0,3.72335,1.53428,0,0,0.0818914,0,0.723203,2.5039,1.58879,1.451,0,2.59563,22.8373,0,6.88837,0,5.55219,0,0.512308,0,0,0,0
"MtrElec",1,1,2,"",46.4307,0,5.18107,2.03849,0,0,0.0818914,0,1.01128,2.5039,1.5888,1.43043,0,2.14422,21.0041,0,6.56167,2.47506,0,0,0.409847,0,0,0,0
"MtrElec",1,1,3,"",93.6666,0,5.39042,2.26356,0,51.0372,0.0818914,0,1.05115,2.5039,1.58881,1.4128,0,1.6928,19.9064,0,6.43021,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,4,"",47.0477,0,5.87991,2.4226,0,3.66682,0.0818914,0,1.14961,2.5039,1.58881,1.41035,0,1.91851,19.848,0,6.26993,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,5,"",43.9339,0,6.86674,2.54795,0,0,0.0818914,0,1.35233,2.5039,1.58879,1.40433,0,2.36992,18.8496,0,6.06106,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,6,"",59.5627,0,6.79922,2.40957,0,13.0308,0.0818914,0,1.31958,2.5039,1.58881,1.37012,0,3.49846,20.4265,0,6.02161,0,0,0,0.512308,0,0,0,0
"MtrElec",1,1,7,"",115.768,0,5.58211,2.13959,0,65.1539,0.0818914,0,1.05587,2.5039,1.58883,1.36667,0,4.73985,22.9444,0,6.15927,0,0,1.42685,1.02462,0,0,0,0
"MtrElec",1,1,8,"",133.362,0,4.49015,1.87404,0,65.1539,0.0818914,0,0.843649,2.5039,1.58884,1.38281,0,4.62699,24.6579,0,6.6838,0,12.0602,4.64754,2.76647,0,0,0,0
"MtrElec",1,1,9,"",145.117,0,3.76187,1.79422,18.9204,32.577,0.0818914,0,0.718737,2.5039,1.58888,1.39853,0,3.83702,23.1925,0,7.57666,0,39.2827,2.96404,4.91816,0,0,0,0
"MtrElec",1,1,10,"",124.748,0,2.98927,0.443036,38.6958,0,0.0818914,0,0.560619,2.5039,1.5889,1.43069,0,3.27275,22.305,0,7.39388,4.03309,25.0531,9.47767,4.91816,0,0,0,0
"MtrElec",1,1,11,"",172.752,0,1.55063,0,36.0313,0,0.0818914,0,0.283557,2.5039,1.58898,0.0145877,0,3.04704,22.6808,0,7.26651,5.86362,80.1087,7.01766,4.71324,0,0,0,0
"MtrElec",1,1,12,"",124.519,0,1.0054,0,18.5347,0,0.0818914,0,0.181994,2.5039,1.58892,0,0,2.82134,22.3182,0,7.41156,3.08103,59.3158,0.0386261,5.63539,0,0,0,0
"MtrElec",1,1,13,"",70.9306,0,0.411591,0,19.2336,0,0.0818914,0,0.0741062,2.5039,1.58896,0,0,2.36992,22.116,0,7.55363,6.81949,0.326482,1.3959,6.45509,0,0,0,0
"MtrElec",1,1,14,"",55.5132,0,0.262317,0,0,0,0.0818914,0,0.0471616,2.5039,1.58892,0,0,2.36992,22.7932,0,7.65299,0,11.7987,0.369024,6.04524,0,0,0,0
"MtrElec",1,1,15,"",72.7252,0,0.148816,0,24.3898,0,0.0818914,0,0.0268256,2.5039,1.58887,0,0,2.36992,23.9119,0,7.55826,0,3.11913,0.673276,6.35262,0,0,0,0
"MtrElec",1,1,16,"",54.3006,0,0.128538,0,0,0,0.0818914,0,0.0231639,2.5039,1.58887,0,0,2.93419,25.1498,0,7.7563,0,5.69078,1.4758,6.96739,0,0,0,0
"MtrElec",1,1,17,"",99.2741,0,0.11064,0,29.8275,0,0.0818914,0,0.0199503,2.5039,1.58885,0,0,3.49846,28.2251,0,7.59436,0,12.474,4.02539,9.32401,0,0,0,0
"MtrElec",1,1,18,"",141.98,0,0.0725324,0,39.3327,0,0.0818914,0,0.0130829,2.5039,1.58884,0,0,4.96555,31.8238,0,8.04871,1.17273,34.0241,4.11035,14.2422,0,0,0,0
"MtrElec",1,1,19,"",112.045,0,0.0212799,0,5.04723,0,0.0818914,0,0.00383849,2.5039,1.58885,0,0,9.47969,34.2049,0,8.66901,1.30253,34.7422,1.18181,13.2176,0,0,0,0
"MtrElec",1,1,20,"",124.874,0,0,0,38.6298,0,0.0818914,0,0,2.5039,1.58885,0,0,13.2039,35.5631,0,8.50943,7.42682,9.98913,0,7.37724,0,0,0,0
"MtrElec",1,1,21,"",70.0793,0,0.000870087,0,2.65452,0,0.0818914,0,0.00015791,2.5039,1.58884,0,0,12.7524,36.8629,0,8.29588,1.1769,0,0.882255,3.27877,0,0,0,0
"MtrElec",1,1,22,"",106.285,0,0.0845356,0,33.2893,0,0.0818914,0,0.0154557,2.5039,1.58883,1.44546,0,10.8339,36.5245,0,7.9641,1.2979,7.45715,1.76393,1.43446,0,0,0,0
"MtrElec",1,1,23,"",91.3443,0,0.278694,0,20.6719,0,0.0818914,0,0.0514715,2.5039,1.58882,1.47371,0,7.10977,32.6529,0,7.33573,0,14.9094,1.76398,0.922155,0,0,0,0
"MtrElec",1,1,24,"",61.7718,0,0.774909,0.151818,0,0,0.0818914,0,0.145468,2.5039,1.58881,1.47151,0,4.40129,27.8383,0,7.39185,0,14.9098,0,0.512308,0,0,0,0
"MtrElec",1,2,1,"",41.6374,0,2.02839,1.07905,0,0,0.0818914,0,0.387905,2.5039,1.58881,1.46577,0,2.59563,22.776,0,6.61777,0,0,0,0.512308,0,0,0,0
"MtrElec",1,2,2,"",42.1608,0,2.97828,1.52884,0,0,0.0818914,0,0.571802,2.5039,1.58882,1.45093,0,2.14422,20.7652,0,6.43942,1.69764,0,0,0.409847,0,0,0,0
"MtrElec",1,2,3,"",41.0034,0,3.76515,1.83159,0,0,0.0818914,0,0.726044,2.5039,1.58882,1.43968,0,1.6928,19.9683,0,6.21749,0.777912,0,0,0.409847,0,0,0,0
"MtrElec",1,2,4,"",40.4238,0,3.8411,1.94709,0,0,0.0818914,0,0.739527,2.5039,1.58883,1.43024,0,1.91851,19.8486,0,6.11429,0,0,0,0.409847,0,0,0,0
"MtrElec",1,2,5,"",39.7237,0,3.75497,2.01342,0,0,0.0818914,0,0.721178,2.5039,1.58883,1.42941,0,2.36992,18.9115,0,5.93888,0,0,0,0.409847,0,0,0,0
"MtrElec",1,2,6,"",42.7095,0,3.20321,1.71855,0,0,0.0818914,0,0.613466,2.5039,1.58884,1.43053,0,3.49846,20.4883,0,6.14789,0,0,0,1.43446,0,0,0,0
"MtrElec",1,2,7,"",80.4754,0,2.32534,0.134361,35.0193,0,0.0818914,0,0.431967,2.5039,1.58884,1.43712,0,4.73985,23.3615,0,6.9046,0,0,0,1.94677,0,0,0,0
"MtrElec",1,2,8,"",88.1034,0,2.07116,0,37.4863,0,0.0818914,0,0.382875,2.5039,1.58885,1.44822,0,4.62699,25.1363,0,7.56964,0,0,2.64583,2.56154,0,0,0,0
"MtrElec",1,2,9,"",106.588,0,2.4337,0,37.7192,0,0.0818914,0,0.449738,2.5039,1.58885,1.45123,0,3.83702,23.3089,0,7.35044,0,22.3636,0.835825,2.664,0,0,0,0
"MtrElec",1,2,10,"",93.6702,0,2.01702,0,38.5165,0,0.0818914,0,0.370309,2.5039,1.58888,0.0291754,0,3.27275,21.8812,0,6.80705,2.47539,7.0647,4.8073,2.25416,0,0,0,0
"MtrElec",1,2,11,"",99.8758,0,1.19512,0,13.8986,0,0.0818914,0,0.218537,2.5039,1.58888,0,0,3.04704,22.1372,0,6.62556,2.61726,40.6331,3.17709,2.1517,0,0,0,0
"MtrElec",1,2,12,"",97.0453,0,1.43945,0,25.5753,0,0.0818914,0,0.263238,2.5039,1.58887,0,0,2.82134,22.1372,0,6.70709,4.10175,26.854,0,2.97139,0,0,0,0
"MtrElec",1,2,13,"",44.0498,0,2.27751,0,0,0,0.0818914,0,0.418592,2.5039,1.58885,1.42937,0,2.36992,22.1745,0,6.91221,0.70683,0,0,3.58616,0,0,0,0
"MtrElec",1,2,14,"",44.0124,0,2.79859,0,0,0,0.0818914,0,0.516646,2.5039,1.58883,1.44904,0,2.36992,22.674,0,6.75082,0,0,0,3.27877,0,0,0,0
"MtrElec",1,2,15,"",81.0414,0,2.66656,0,36.0668,0,0.0818914,0,0.491996,2.5039,1.58884,1.44304,0,2.36992,23.4948,0,6.85004,0,0,0,3.4837,0,0,0,0
"MtrElec",1,2,16,"",49.323,0,2.39388,0,0.631492,0,0.0818914,0,0.440665,2.5039,1.58885,1.44455,0,2.93419,24.1924,0,6.90091,0,0,0.882252,5.32801,0,0,0,0
"MtrElec",1,2,17,"",65.5311,0,1.61817,0,0,0,0.0818914,0,0.296737,2.5039,1.58885,1.44769,0,3.49846,27.329,0,7.07497,0,7.45712,0.851233,11.7831,0,0,0,0
"MtrElec",1,2,18,"",117.851,0,1.09418,0,36.8824,0,0.0818914,0,0.200435,2.5039,1.58884,1.4565,0,4.96555,31.4646,0,7.75503,2.47408,7.19494,0.413398,19.7751,0,0,0,0
"MtrElec",1,2,19,"",83.3878,0,0.574454,0,0,0,0.0818914,0,0.105198,2.5039,1.58884,1.46239,0,9.47969,34.2628,0,8.41821,2.47401,3.49419,0.499181,18.4431,0,0,0,0
"MtrElec",1,2,20,"",89.7465,0,0.254602,0,9.36155,0,0.0818914,0,0.0465572,2.5039,1.58885,1.46821,0,13.2039,36.0415,0,8.44725,0,4.21926,2.48785,10.0412,0,0,0,0
"MtrElec",1,2,21,"",135.171,0,0.164598,0,37.8668,0,0.0818914,0,0.0300475,2.5039,1.58886,1.4718,0,12.7524,37.5807,0,8.04217,4.95173,21.0282,2.80479,4.30339,0,0,0,0
"MtrElec",1,2,22,"",111.175,0,0.249613,0,23.2744,0,0.0818914,0,0.0455092,2.5039,1.58886,0.0729386,0,10.8339,37.3036,0,7.67523,0,23.7071,1.78912,2.04923,0,0,0,0
"MtrElec",1,2,23,"",96.1077,0,0.688129,0,25.5764,0,0.0818914,0,0.125809,2.5039,1.58886,0.0729386,0,7.10977,33.0734,0,7.1952,0,15.1223,1.73962,1.22954,0,0,0,0
"MtrElec",1,2,24,"",68.3568,0,1.32654,0,7.52387,0,0.0818914,0,0.243041,2.5039,1.58885,0,0,4.40129,28.3256,0,6.63331,0,14.7039,0,1.02462,0,0,0,0
"MtrElec",1,3,1,"",38.9215,0,1.73942,0,0,0,0.0818914,0,0.318509,2.5039,1.58885,0,0,2.59563,22.8373,0,6.74369,0,0,0,0.512308,0,0,0,0
"MtrElec",1,3,2,"",36.8677,0,2.26572,0,0,0,0.0818914,0,0.415584,2.5039,1.58883,0.0109408,0,2.14422,21.0041,0,6.44265,0,0,0,0.409847,0,0,0,0
"MtrElec",1,3,3,"",38.7547,0,2.89721,0,0,0,0.0818914,0,0.534549,2.5039,1.58883,1.44922,0,1.6928,19.9064,0,6.32637,1.46611,0,0,0.307385,0,0,0,0
"MtrElec",1,3,4,"",41.2355,0,3.13383,0,0,0,0.0818914,0,0.581759,2.5039,1.58883,1.44195,0,1.91851,19.848,0,6.17394,1.00937,0,2.64616,0.307385,0,0,0,0
