"Title 24 Multi Family Compliance  /  Standard (PV-Batt only)  /  Jefferson Murreita Bld 3A.cibd22",001
"Tue 16-Dec-25   3:5 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",65.1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.1098,0,0,0
"MtrElec",1,1,2,"",61.5492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5492,0,0,0
"MtrElec",1,1,3,"",108.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.774,0,0,0
"MtrElec",1,1,4,"",62.1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.1658,0,0,0
"MtrElec",1,1,5,"",59.0529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0529,0,0,0
"MtrElec",1,1,6,"",74.6781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6781,0,0,0
"MtrElec",1,1,7,"",130.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.869,0,0,0
"MtrElec",1,1,8,"",136.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.459,0,0,-11.5155
"MtrElec",1,1,9,"",121.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.211,0,0,-38.5134
"MtrElec",1,1,10,"",93.4592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.847,0,0,-46.388
"MtrElec",1,1,11,"",89.7929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.84,0,0,-98.0471
"MtrElec",1,1,12,"",57.8057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.618,0,0,-81.8126
"MtrElec",1,1,13,"",0.0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0429,0,35.3748,-121.418
"MtrElec",1,1,14,"",0.0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6292,0,41.0199,-111.649
"MtrElec",1,1,15,"",20.4796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.837,0,0,-67.3574
