"Title 24 Multi Family Compliance  /  Proposed  /  Jefferson Murreita Bld 3A.cibd22",002
"Tue 16-Dec-25   3:5 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",46.475,0,3.82741,1.66113,0,0,0.0818914,0,0.552271,0.720619,0,1.3121,0,2.59563,22.8373,0,6.82215,0,5.55219,0,0.512308,0,0,0,0
"MtrElec",1,1,2,"",42.6439,0,5.14431,2.1216,0,0,0.0818914,0,0.740257,0.720619,0,1.30013,0,2.14422,21.0041,0,6.50185,2.47506,0,0,0.409847,0,0,0,0
"MtrElec",1,1,3,"",38.716,0,5.26554,2.32228,0,0,0.0818914,0,0.757621,0.720619,0,1.29027,0,1.6928,19.9064,0,6.37113,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,4,"",39.4925,0,5.78396,2.49895,0,0,0.0818914,0,0.832432,0.720619,0,1.28925,0,1.91851,19.848,0,6.21156,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,5,"",39.9783,0,6.77231,2.62107,0,0,0.0818914,0,0.975364,0.720619,0,1.28535,0,2.36992,18.8496,0,5.99481,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,6,"",42.4732,0,6.59855,2.45448,0,0,0.0818914,0,0.949374,0.720619,0,1.27803,0,3.49846,20.4265,0,5.95298,0,0,0,0.512308,0,0,0,0
"MtrElec",1,1,7,"",46.5391,0,5.31177,2.16795,0,0,0.0818914,0,0.763128,0.720619,0,1.27924,0,4.73985,22.9444,0,6.07873,0,0,1.42685,1.02462,0,0,0,0
"MtrElec",1,1,8,"",46.507,0,4.30669,1.92419,0,0,0.0818914,0,0.621075,0.720619,0,1.28874,0,4.62699,24.6579,0,6.60732,0,12.0602,4.64754,2.76647,0,0,0,-17.8026
"MtrElec",1,1,9,"",30.5165,0,3.77248,1.91853,0,0,0.0818914,0,0.546038,0.720619,0,1.29627,0,3.83702,23.1925,0,7.52683,0,39.2827,2.96404,4.91816,0,0,0,-59.5406
"MtrElec",1,1,10,"",130.272,0,3.09565,0.488859,60.1585,0,0.0818914,0,0.440396,0.720619,0,1.29985,0,3.27275,22.305,0,7.32556,4.03309,25.0531,9.47767,4.91816,0,59.3152,0,-71.7145
"MtrElec",1,1,11,"",65.3136,0,1.74262,0,69.281,0,0.0818914,0,0.235868,0.720619,0,0,0,3.04704,22.6808,0,7.20119,5.86362,80.1087,7.01766,4.71324,0,14.1972,0,-151.578
"MtrElec",1,1,12,"",52.8955,0,1.24766,0,76.6074,0,0.0818914,0,0.165432,0.720619,0,0,0,2.82134,22.3182,0,7.34197,3.08103,59.3158,0.0386261,5.63539,0,0,0,-126.48
