"Title 24 Multi Family Compliance  /  Proposed-x  /  Jefferson Murreita Bld 3A.cibd22",003
"Tue 16-Dec-25   3:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",49.8686,0,4.14114,1.53765,0,0,0.0818914,0,0.724789,2.5039,1.12042,1.37379,0,2.59563,22.8373,0,6.88764,0,5.55219,0,0.512308,0,0,0,0
"MtrElec",1,1,2,"",259.548,0,5.84231,2.04153,0,212.998,0.0818914,0,1.0128,2.5039,1.12043,1.35322,0,2.14422,21.0041,0,6.56101,2.47506,0,0,0.409847,0,0,0,0
"MtrElec",1,1,3,"",42.7764,0,6.07987,2.26616,0,0,0.0818914,0,1.05236,2.5039,1.12044,1.33559,0,1.6928,19.9064,0,6.42956,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,4,"",43.6038,0,6.64573,2.42484,0,0,0.0818914,0,1.15068,2.5039,1.12043,1.33316,0,1.91851,19.848,0,6.26928,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,5,"",44.3054,0,7.78174,2.54977,0,0,0.0818914,0,1.35329,2.5039,1.12043,1.32714,0,2.36992,18.8496,0,6.06032,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,6,"",46.8707,0,7.67814,2.39309,0,0,0.0818914,0,1.32048,2.5039,1.12043,1.31474,0,3.49846,20.4265,0,6.02085,0,0,0,0.512308,0,0,0,0
"MtrElec",1,1,7,"",50.7844,0,6.30385,2.10687,0,0,0.0818914,0,1.05664,2.5039,1.12043,1.31675,0,4.73985,22.9444,0,6.15837,0,0,1.42685,1.02462,0,0,0,0
"MtrElec",1,1,8,"",68.2352,0,5.06537,1.84437,0,0,0.0818914,0,0.844259,2.5039,1.12045,1.33289,0,4.62699,24.6579,0,6.68295,0,12.0602,4.64754,2.76647,0,0,0,0
"MtrElec",1,1,9,"",202.811,0,4.13307,1.78524,109.351,0,0.0818914,0,0.719246,2.5039,1.12047,1.3459,0,3.83702,23.1925,0,7.5761,0,39.2827,2.96404,4.91816,0,0,0,0
"MtrElec",1,1,10,"",85.6155,0,3.09817,0.44345,0,0,0.0818914,0,0.561092,2.5039,1.12048,1.35354,0,3.27275,22.305,0,7.39312,4.03309,25.0531,9.47767,4.91816,0,0,0,0
"MtrElec",1,1,11,"",136.239,0,1.55239,0,0,0,0.0818914,0,0.283857,2.5039,1.12054,0,0,3.04704,22.6808,0,7.2658,5.86362,80.1087,7.01766,4.71324,0,0,0,0
"MtrElec",1,1,12,"",194.184,0,1.00687,0,88.6674,0,0.0818914,0,0.182228,2.5039,1.1205,0,0,2.82134,22.3182,0,7.41083,3.08103,59.3158,0.0386261,5.63539,0,0,0,0
"MtrElec",1,1,13,"",51.2289,0,0.412494,0,0,0,0.0818914,0,0.0742578,2.5039,1.12052,0,0,2.36992,22.116,0,7.55287,6.81949,0.326482,1.3959,6.45509,0,0,0,0
"MtrElec",1,1,14,"",55.0447,0,0.262929,0,0,0,0.0818914,0,0.0472647,2.5039,1.1205,0,0,2.36992,22.7932,0,7.65223,0,11.7987,0.369024,6.04524,0,0,0,0
"MtrElec",1,1,15,"",47.8665,0,0.149034,0,0,0,0.0818914,0,0.0268636,2.5039,1.12046,0,0,2.36992,23.9119,0,7.55747,0,3.11913,0.673276,6.35262,0,0,0,0
"MtrElec",1,1,16,"",53.8317,0,0.128659,0,0,0,0.0818914,0,0.0231849,2.5039,1.12046,0,0,2.93419,25.1498,0,7.75569,0,5.69078,1.4758,6.96739,0,0,0,0
"MtrElec",1,1,17,"",127.85,0,0.110764,0,58.8728,0,0.0818914,0,0.0199719,2.5039,1.12045,0,0,3.49846,28.2251,0,7.5935,0,12.474,4.02539,9.32401,0,0,0,0
"MtrElec",1,1,18,"",134.444,0,0.0726569,0,32.2649,0,0.0818914,0,0.0131049,2.5039,1.12044,0,0,4.96555,31.8238,0,8.04792,1.17273,34.0241,4.11035,14.2422,0,0,0,0
"MtrElec",1,1,19,"",106.529,0,0.0214035,0,0,0,0.0818914,0,0.00386067,2.5039,1.12045,0,0,9.47969,34.2049,0,8.66848,1.30253,34.7422,1.18181,13.2176,0,0,0,0
"MtrElec",1,1,20,"",85.7752,0,0,0,0,0,0.0818914,0,0,2.5039,1.12045,0,0,13.2039,35.5631,0,8.50883,7.42682,9.98913,0,7.37724,0,0,0,0
"MtrElec",1,1,21,"",158.118,0,0.000989589,0,91.1623,0,0.0818914,0,0.000179603,2.5039,1.12045,0,0,12.7524,36.8629,0,8.2952,1.1769,0,0.882255,3.27877,0,0,0,0
"MtrElec",1,1,22,"",72.4792,0,0.0847069,0,0,0,0.0818914,0,0.015487,2.5039,1.12044,1.39752,0,10.8339,36.5245,0,7.96344,1.2979,7.45715,1.76393,1.43446,0,0,0,0
"MtrElec",1,1,23,"",70.127,0,0.279527,0,0,0,0.0818914,0,0.0516262,2.5039,1.12043,1.39658,0,7.10977,32.6529,0,7.33483,0,14.9094,1.76398,0.922155,0,0,0,0
"MtrElec",1,1,24,"",61.2293,0,0.777611,0.15214,0,0,0.0818914,0,0.145979,2.5039,1.12042,1.39438,0,4.40129,27.8383,0,7.39128,0,14.9098,0,0.512308,0,0,0,0
"MtrElec",1,2,1,"",41.0992,0,2.03305,1.08161,0,0,0.0818914,0,0.388827,2.5039,1.12042,1.38862,0,2.59563,22.776,0,6.61691,0,0,0,0.512308,0,0,0,0
"MtrElec",1,2,2,"",41.6204,0,2.98162,1.53074,0,0,0.0818914,0,0.572512,2.5039,1.12042,1.37376,0,2.14422,20.7652,0,6.4387,1.69764,0,0,0.409847,0,0,0,0
