19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2022.3.2 (1369)"
,CompMgr:,,"BEMCmpMgr 2022.3.2 (8731)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE 0.923.1 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,"Title 24 Multi Family Compliance"
Run Date/Time:,,,"2025-12-16 15:56:43"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,35152
Model:,,,"Standard"
Model File:,,,"T:\Services\Energy Modeling\04_Strategic Planning\QA\Models for QA\Gate 3 models\Mealer QAs\60-22341 Jefferson Murrieta\Bldg 3A\Jefferson Murreita Bld 3A.cibd22"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,1.54049,0,1.41106,0,0.425143,0.0239942,3.44987,6.69133,3.79519,0.76052,0.984193,6.85055,19.0818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0209,3773.76,6868.53,4.69816,86.3488,100,0.000289411,0.0058475,0.006309,0,0,0,
1,1,2, 01/01 02,2.11533,0,1.49547,0,0.419116,0.0239942,3.44987,6.1542,2.76785,0.628256,0.984193,7.50378,18.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9955,3773.76,6868.53,4.69152,86.3488,100,0.000289003,0.0058475,0.006309,0,0,0,
1,1,3, 01/01 03,2.24262,0,1.50715,0,0.41395,14.9779,3.44987,5.83258,1.97412,0.49599,0.984193,22.5915,31.8784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8934,3773.76,6868.53,4.68573,86.3488,100,0.000288646,0.0058475,0.006309,0,0,0,
1,1,4, 01/01 04,2.43264,0,1.536,0,0.413233,1.09837,3.44987,5.81546,1.92715,0.562123,0.984193,8.93011,18.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8111,3773.76,6868.53,4.59702,86.3488,100,0.000283181,0.0058475,0.006309,0,0,0,
1,1,5, 01/01 05,2.7585,0,1.59539,0,0.411469,0.0239942,3.44987,5.52293,1.86595,0.694387,0.984193,8.23923,17.3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8653,3773.76,6868.53,4.6698,86.3488,100,0.000287664,0.0058475,0.006309,0,0,0,
1,1,6, 01/01 06,2.69818,0,1.5858,0,0.401445,3.84202,3.44987,5.98496,1.91444,1.02505,0.984193,11.9773,21.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0104,3773.76,6868.53,4.70972,86.3488,100,0.000290124,0.0058475,0.006309,0,0,0,
1,1,7, 01/01 07,2.26246,0,1.50854,0,0.400434,19.1141,3.44987,6.72271,2.52295,1.38878,0.984193,26.7354,38.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0428,3773.76,6868.53,4.72169,86.3488,100,0.000290861,0.0058475,0.006309,0,0,0,
1,1,8, 01/01 08,1.86471,0,1.44636,0,0.405163,19.1141,3.44987,7.22476,7.6643,1.35571,0.984193,26.2802,43.5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0229,3773.76,6868.53,4.71263,86.3488,100,0.000290303,0.0058475,0.006309,0,-3.37404,0,
1,1,9, 01/01 09,1.62793,0,1.40977,0,0.409769,15.1127,3.44987,6.7954,16.0393,1.12425,0.984193,22.0101,46.9532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7807,3773.76,6868.53,4.62591,86.3488,100,0.000284961,0.0058475,0.006309,0,-11.2844,0,
1,1,10, 01/01 10,1.00567,0,1.36345,0,0.419192,11.3619,3.44987,6.53536,14.9066,0.958916,0.984193,17.6,40.9852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7526,3773.76,6868.53,3.87862,86.3488,100,0.000238927,0.0058475,0.006309,0,-13.5917,0,
