1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.2 (8731)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2025-12-16T15:43:42-07:00",
Input File Name:,,,"Jefferson Murreita Bld 3A",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"P1.0 (S5)_L1-zn",Conditioned,742.361,1,341.998,66,742.361,0,0,1965.18,0,0,0,2969.44,600,0,1565.41,
"P1.0 (S3)_L1-zn",Conditioned,735.606,1,340,66,735.606,0,0,1953.92,0,0,0,2942.42,600,0,735.606,
"P1.0 (S4)_L1-zn",Conditioned,732.005,1,339,66,732.005,0,0,1947.83,0,0,0,2928.02,600,0,732.005,
"P1.0 (S2)_L1-zn",Conditioned,732.005,1,339,66,732.444,0,0,1947.83,0,0,0,2928.02,600,0,732.444,
"P1.0 (S1)_L1-zn",Conditioned,732.005,1,338.996,66,732.875,0,0,1947.84,0,0,0,2928.02,600,0,732.875,
"P2.0 (S2)_L1-zn",Conditioned,1048.32,2,715,114,1048.32,0,0,1739.71,0,0,0,4193.28,1000,0,1934.28,
"P2.0 (S1)_L1-zn",Conditioned,1056.47,3,765.503,118.5,1056.47,0,0,0,0,0,37.94,4225.88,3450,0,1056.47,
"P1.1 (N1)_L2-zn",Conditioned,833.885,1,532.001,91,0,0,0,1949.18,0,0,0,3335.54,600,823.047,833.885,
"P1.0 (S5)_L2-zn",Conditioned,742.361,1,342.998,66,0,0,0,1964.18,0,0,0,2969.44,600,742.361,742.361,
"P1.0 (S3)_L2-zn",Conditioned,735.606,1,340,66,0,0,0,1953.92,0,0,0,2942.42,600,735.606,735.606,
"P1.0 (S4)_L2-zn",Conditioned,732.005,1,339,66,0,0,0,1947.83,0,0,0,2928.02,600,732.005,732.005,
"P1.0 (S2)_L2-zn",Conditioned,732.005,1,339,66,0,0,0,1947.83,0,0,0,2928.02,600,732.444,732.444,
"P1.0 (S1)_L2-zn",Conditioned,732.005,1,374.996,66,0,0,0,1911.84,0,0,0,2928.02,600,732.875,732.875,
"P2.3 (N1)_L2-zn",Conditioned,1030.86,1,609,75,0,0,0,2516.82,1030.86,0,0,4123.44,300,885.956,1030.86,
"P2.1 (N2)_L2-zn",Conditioned,982.949,1,626,75,0,0,0,2419.26,121.291,0,0,3931.8,300,861.658,982.949,
"P2.1 (N3)_L2-zn",Conditioned,987.143,1,579,75,0,0,0,373.389,121.449,0,400.897,3948.57,2400,865.694,987.143,
"P2.0 (S2)_L2-zn",Conditioned,1048.32,2,670,104,0,0,0,2484.71,0,0,0,4193.28,300,1048.32,1048.32,
"P2.0 (S1)_L2-zn",Conditioned,1056.47,3,733.999,112,0,0,0,2434.11,0,0,0,4225.88,300,1056.47,1056.47,
"P1.1 (N1)_L3-zn",Conditioned,833.885,1,532.001,91,0,0,0,1949.18,0,0,0,3335.54,600,833.885,833.885,
"P1.0 (S5)_L3-zn",Conditioned,742.361,1,342.998,66,0,0,0,0,0,0,0,2969.44,5150,742.361,742.361,
"P1.0 (S3)_L3-zn",Conditioned,735.606,1,340,66,0,0,0,1953.92,0,0,0,2942.42,600,735.606,735.606,
"P1.0 (S4)_L3-zn",Conditioned,732.005,1,339,66,0,0,0,1947.83,0,0,0,2928.02,600,732.005,732.005,
"P1.0 (S2)_L3-zn",Conditioned,732.005,1,339,66,0,0,0,1947.83,0,0,0,2928.02,600,732.444,732.875,
"P1.0 (S1)_L3-zn",Conditioned,732.005,1,374.996,66,0,0,0,1561.84,0,0,0,2928.02,950,732.875,732.444,
"P2.3 (N1)_L3-zn",Conditioned,1030.86,1,602.999,75,0,0,0,1822.82,0,0,0,4123.44,1000,1030.86,1030.86,
"P2.1 (N2)_L3-zn",Conditioned,982.949,1,626,75,0,0,0,2069.26,0,0,0,3931.8,650,982.949,982.949,
"P2.1 (N3)_L3-zn",Conditioned,987.143,1,579,75,0,0,0,2123.39,0,0,0,3948.57,650,987.143,987.143,
"P2.0 (S2)_L3-zn",Conditioned,1048.32,2,670,112,0,0,0,2134.71,0,0,0,4193.28,650,1048.32,1048.32,
"P2.0 (S1)_L3-zn",Conditioned,1056.47,3,733.999,112,0,0,0,2084.11,0,0,0,4225.88,650,1056.47,1056.47,
"P1.1 (N1)_L4-zn",Conditioned,833.885,1,532.001,91,0,834,0,1949.18,0,0,0,3335.54,600,833.885,0,
"P1.0 (S5)_L4-zn",Conditioned,742.361,1,297.998,66,0,742,0,2009.18,0,0,0,2969.44,600,742.361,0,
