PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  77.7 kWdc PV  /  Battery Energy 84.2 kWh and Power 20.20 kW (Time of Use control)"
,"Standard Design PV Capacity: 77.7 kWdc  /  Battery Capacity: 83.0 kWh  (power 19.89 kW, Time of Use control)"
,"User-specified PV array capacity:  120.1 kWdc  (no battery equipment defined)"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"Stair-2_L01","Unconditioned","Stairwell","Highrise Multifamily",177.451,1,,0,,,,,,,,,,0,0,0,
"Garage 2_L01","Unconditioned","Parking Garage Area (Parking Zone and Ramps)","none",1786.89,1,,,,,,,,0,,,,0,0,0,
"Corridor_L01","Unconditioned","Corridor Area","none",1394.9,1,,,,,,,,0,,,,0,0,0,
"Garage 1_L01","Unconditioned","Parking Garage Area (Parking Zone and Ramps)","none",1962.38,1,,,,,,,,0,,,,0,0,0,
"Stair-1_L01","Unconditioned","Stairwell","Highrise Multifamily",177.451,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L02","Unconditioned","Stairwell","Highrise Multifamily",177.451,1,,0,,,,,,,,,,0,0,0,
"Stair-1_L02","Conditioned","Stairwell","Highrise Multifamily",177.451,1,,177.451,,,,,,,,,,0.392167,0.425191,0.101963,
"Corridor_L02","Unconditioned","Corridor Area","Highrise Multifamily",1510.06,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L03","Conditioned","Stairwell","Highrise Multifamily",177.451,1,,177.451,,,,,,,,,,0.392167,0.425191,0.101963,
"Stair-1_L03","Conditioned","Stairwell","Highrise Multifamily",177.451,1,,177.451,,,,,,,,,,0.392167,0.425191,0.101963,
"Corridor_L03","Unconditioned","Corridor Area","Highrise Multifamily",1562.06,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L04","Unconditioned","Stairwell","Highrise Multifamily",177.451,1,,0,,,,,,,,,,0,0,0,
"Stair-1_L04","Unconditioned","Stairwell","Highrise Multifamily",177.451,1,,0,,,,,,,,,,0,0,0,
"Corridor_L04","Unconditioned","Corridor Area","Highrise Multifamily",1562.06,1,,0,,,,,,,,,,0,0,0,
"P1.0 (S5)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",742.361,1,,742.361,,,,,,,1,,,1.64062,1.77878,0.426561,
"P1.0 (S3)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",735.606,1,,735.606,,,,,,,1,,,1.62569,1.76259,0.422679,
"P1.0 (S4)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",732.005,1,,732.005,,,,,,,1,,,1.61773,1.75396,0.42061,
