"Title 24 Multi Family Compliance  /  Proposed  /  Jefferson Murrieta Bldg 4B_2025-12-16.cibd22",002
"Tue 16-Dec-25   9:0 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",69.0538,0,10.3263,4.50073,0,0,0.0989521,0,2.06046,1.56447,0,1.58033,0,3.4501,30.5245,0,8.73555,0,5.55219,0,0.660222,0,0,0,0
"MtrElec",1,1,2,"",66.1783,0,12.8191,5.28289,0,0,0.0989521,0,2.55874,1.56447,0,1.55175,0,2.85009,28.1165,0,8.33254,2.47506,0,0,0.528177,0,0,0,0
"MtrElec",1,1,3,"",62.2703,0,13.1391,5.80608,0,0,0.0989521,0,2.63304,1.56447,0,1.53558,0,2.25007,26.6734,0,8.17343,0,0,0,0.396133,0,0,0,0
"MtrElec",1,1,4,"",63.7715,0,14.1147,6.10548,0,0,0.0989521,0,2.82995,1.56447,0,1.53259,0,2.55008,26.6042,0,7.97499,0,0,0,0.396133,0,0,0,0
"MtrElec",1,1,5,"",65.6317,0,16.3372,6.30803,0,0,0.0989521,0,3.26999,1.56447,0,1.52575,0,3.15009,25.2706,0,7.71058,0,0,0,0.396133,0,0,0,0
"MtrElec",1,1,6,"",68.5732,0,15.9466,5.90996,0,0,0.0989521,0,3.18593,1.56447,0,1.51093,0,4.65014,27.3796,0,7.66637,0,0,0,0.660222,0,0,0,0
"MtrElec",1,1,7,"",71.9336,0,13.1388,5.36418,0,0,0.0989521,0,2.62884,1.56447,0,1.51362,0,6.30019,30.732,0,7.8454,0,0,1.42685,1.32044,0,0,0,0
"MtrElec",1,1,8,"",65.6289,0,12.0416,5.40813,0,0,0.0989521,0,2.41962,1.56447,0,1.53187,0,6.15018,32.9857,0,8.51782,0,12.0602,4.64754,3.5652,0,0,0,-25.3625
"MtrElec",1,1,9,"",32.1914,0,10.488,5.37369,0,0,0.0989521,0,2.11565,1.56447,0,1.53821,0,5.10015,30.9926,0,9.66445,0,39.2827,4.45871,6.33813,0,0,0,-84.8243
"MtrElec",1,1,10,"",185.481,0,6.30884,1.01728,71.1204,0,0.0989521,0,1.25561,1.56447,0,1.5489,0,4.35013,29.7855,0,9.42912,3.02482,37.6866,13.2772,6.33813,0,100.843,0,-102.168
"MtrElec",1,1,11,"",88.2923,0,3.70718,0,81.0046,0,0.0989521,0,0.733491,1.56447,0,0,0,4.05012,30.2983,0,9.26303,4.39771,112.224,7.8979,6.07404,0,42.9233,0,-215.945
"MtrElec",1,1,12,"",40.8603,0,2.07633,0,90.396,0,0.0989521,0,0.413272,1.56447,0,0,0,3.75011,29.8305,0,9.44665,3.08103,66.756,3.48032,7.26243,0,2.89317,0,-180.189
"MtrElec",1,1,13,"",-71.9668,0,1.17691,0,100.045,0,0.0989521,0,0.23605,1.56447,0,0,0,3.15009,29.5573,0,9.62672,6.81949,29.417,5.44031,8.31879,0,0,0,-267.418
"MtrElec",1,1,14,"",-141.817,0,0.786579,0,1.76477,0,0.0989521,0,0.158615,1.56447,0,0,0,3.15009,30.4528,0,9.75176,0,45.9835,2.58406,7.79061,0,0,0,-245.903
"MtrElec",1,1,15,"",-70.6761,0,0.505344,0,0,0,0.0989521,0,0.101866,1.56447,0,0,0,3.15009,31.93,0,9.62365,0,21.8415,0.673276,8.18674,0,0,0,-148.352
"MtrElec",1,1,16,"",23.8215,0,0.358219,0,0,0,0.0989521,0,0.0714517,1.56447,0,0,0,3.90012,33.5721,0,9.873,0,5.69078,3.23903,8.97901,0,0,0,-43.5257
"MtrElec",1,1,17,"",93.92,0,0.269239,0,0,0,0.0989521,0,0.0526994,1.56447,0,0,0,4.65014,37.6658,0,9.64555,0,27.3775,5.91145,12.016,0,0,0,-5.33181
"MtrElec",1,1,18,"",144.217,0,0.225872,0,5.97362,0,0.0989521,0,0.0448125,1.56447,0,0,0,6.6002,42.4708,0,10.229,1.17273,49.9657,7.51688,18.3542,0,0,0,0
"MtrElec",1,1,19,"",253.438,0,0.142478,0,97.0626,0,0.0989521,0,0.0285303,1.56447,0,0,0,12.6004,45.6293,0,11.0371,1.30253,63.5354,3.40304,17.0337,0,0,0,0
"MtrElec",1,1,20,"",174.541,0,0.122036,0,49.93,0,0.0989521,0,0.0246603,1.56447,0,0,0,17.5505,47.415,0,10.8305,7.42682,28.7637,1.30724,9.50719,0,0,0,0
"MtrElec",1,1,21,"",96.8703,0,0.297052,0,0,0,0.0989521,0,0.0595452,1.56447,0,0,0,16.9505,49.1314,0,10.5526,1.1769,11.0493,1.76415,4.22542,0,0,0,0
"MtrElec",1,1,22,"",99.0332,0,0.818989,0,0,0,0.0989521,0,0.162975,1.56447,0,1.61761,0,14.4004,48.6537,0,10.1301,1.2979,14.9113,3.52809,1.84862,0,0,0,0
"MtrElec",1,1,23,"",106.368,0,1.85337,0,0,0,0.0989521,0,0.367377,1.56447,0,1.61418,0,9.45028,43.4997,0,9.31593,4.94855,29.8207,2.64597,1.1884,0,0,0,0
"MtrElec",1,1,24,"",89.0947,0,3.99101,0.678175,0,0,0.0989521,0,0.792594,1.56447,0,1.60739,0,5.85017,37.1254,0,9.41162,4.95004,22.3647,0,0.660222,0,0,0,0
"MtrElec",1,2,1,"",60.1303,0,6.42386,3.70586,0,0,0.0989521,0,1.30037,1.56447,0,1.59331,0,3.4501,30.4395,0,8.41905,2.47455,0,0,0.660222,0,0,0,0
"MtrElec",1,2,2,"",58.772,0,8.2314,4.55886,0,0,0.0989521,0,1.66499,1.56447,0,1.57667,0,2.85009,27.7976,0,8.20322,1.69764,0,0,0.528177,0,0,0,0
"MtrElec",1,2,3,"",59.9805,0,9.10451,4.72915,0,0,0.0989521,0,1.8302,1.56447,0,1.5645,0,2.25007,26.7478,0,7.92467,3.25256,0,0.385447,0.528177,0,0,0,0
"MtrElec",1,2,4,"",61.0352,0,9.50074,5.16957,0,0,0.0989521,0,1.91753,1.56447,0,1.5597,0,2.55008,26.5936,0,7.79789,0,3.25794,0.496546,0.528177,0,0,0,0
"MtrElec",1,2,5,"",60.5967,0,9.30794,5.38742,0,0,0.0989521,0,1.88446,1.56447,0,1.5562,0,3.15009,25.3449,0,7.57707,0,4.19699,0,0.528177,0,0,0,0
"MtrElec",1,2,6,"",59.555,0,8.15112,4.73421,0,0,0.0989521,0,1.65071,1.56447,0,1.55711,0,4.65014,27.454,0,7.8457,0,0,0,1.84862,0,0,0,0
"MtrElec",1,2,7,"",153.559,0,6.05584,0.376025,93.3395,0,0.0989521,0,1.19386,1.56447,0,1.56471,0,6.30019,31.2744,0,8.81369,0,0,0.468189,2.50884,0,0,0,0
"MtrElec",1,2,8,"",147.246,0,5.90285,0,97.8643,0,0.0989521,0,1.15943,1.56447,0,1.58009,0,6.15018,33.6131,0,9.66203,0,3.95731,3.05996,3.30111,0,0,0,-20.6676
"MtrElec",1,2,9,"",117.824,0,7.17954,0,42.8773,0,0.0989521,0,1.4148,1.56447,0,1.58134,0,5.10015,31.1416,0,9.37983,0,25.8639,0.835825,3.43315,0,0,0,-12.6467
"MtrElec",1,2,10,"",23.1371,0,6.37901,0,0,0,0.0989521,0,1.26174,1.56447,0,0,0,4.35013,29.2328,0,8.68576,2.47539,7.0647,5.68951,2.90497,0,0,0,-46.5703
"MtrElec",1,2,11,"",47.4114,0,4.80277,0,0,0,0.0989521,0,0.950719,1.56447,0,0,0,4.05012,29.5914,0,8.45407,3.92589,48.0898,3.62196,2.77293,0,0,0,-60.5117
"MtrElec",1,2,12,"",52.8285,0,4.47876,0,0,0,0.0989521,0,0.887812,1.56447,0,0,0,3.75011,29.5914,0,8.55579,5.26854,30.6141,0.437129,3.82928,0,0,0,-36.2479
"MtrElec",1,2,13,"",107.502,0,6.21519,0,75.4909,0,0.0989521,0,1.2291,1.56447,0,1.58966,0,3.15009,29.6265,0,8.81718,3.18173,3.69478,0,4.62155,0,0,0,-31.7778
"MtrElec",1,2,14,"",99.6721,0,7.63196,0,65.8581,0,0.0989521,0,1.50676,1.56447,0,1.57894,0,3.15009,30.288,0,8.61256,0,0,0,4.22542,0,0,0,-24.8431
"MtrElec",1,2,15,"",45.4502,0,7.4816,0,0,0,0.0989521,0,1.4765,1.56447,0,1.56989,0,3.15009,31.3876,0,8.74358,0,0,0,4.48951,0,0,0,-14.512
"MtrElec",1,2,16,"",57.2637,0,6.47063,0,0,0,0.0989521,0,1.27752,1.56447,0,1.57102,0,3.90012,32.3279,0,8.81066,0,0,0.882252,6.86631,0,0,0,-6.50611
"MtrElec",1,2,17,"",83.0877,0,4.70362,0,0,0,0.0989521,0,0.929373,1.56447,0,1.57738,0,4.65014,36.5065,0,9.03323,0.530617,7.45712,0.851233,15.1851,0,0,0,0
"MtrElec",1,2,18,"",104.717,0,3.07438,0,0,0,0.0989521,0,0.608204,1.56447,0,1.58882,0,6.6002,42.0082,0,9.89914,4.41788,7.19494,2.1776,25.4845,0,0,0,0
"MtrElec",1,2,19,"",120.246,0,2.06978,0,0,0,0.0989521,0,0.409218,1.56447,0,1.5998,0,12.6004,45.7091,0,10.7436,2.47401,18.4059,0.802403,23.768,0,0,0,0
"MtrElec",1,2,20,"",113.37,0,1.41021,0,7.44059,0,0.0989521,0,0.278627,1.56447,0,1.60651,0,17.5505,48.0424,0,10.7795,0.927343,6.7822,3.94868,12.9403,0,0,0,0
"MtrElec",1,2,21,"",228.251,0,1.19339,0,95.5701,0,0.0989521,0,0.236069,1.56447,0,1.61078,0,16.9505,50.0672,0,10.2584,8.97511,33.3757,2.80479,5.54586,0,0,0,0
"MtrElec",1,2,22,"",160.494,0,1.33405,0,54.3523,0,0.0989521,0,0.264092,1.56447,0,0,0,14.4004,49.6745,0,9.78592,0,23.7071,2.67136,2.64089,0,0,0,0
"MtrElec",1,2,23,"",93.246,0,2.32678,0,0,0,0.0989521,0,0.460867,1.56447,0,0,0,9.45028,44.0473,0,9.16893,0,22.5793,1.96464,1.58453,0,0,0,0
"MtrElec",1,2,24,"",79.5503,0,3.95903,0,0,0,0.0989521,0,0.78412,1.56447,0,0,0,5.85017,37.7892,0,8.4458,2.47529,16.6059,0.656879,1.32044,0,0,0,0
"MtrElec",1,3,1,"",56.5043,0,5.0563,0,0,0,0.0989521,0,1.00124,1.56447,0,0,0,3.4501,30.5245,0,8.59635,0,5.55219,0,0.660222,0,0,0,0
"MtrElec",1,3,2,"",48.6605,0,6.08177,0,0,0,0.0989521,0,1.20362,1.56447,0,0,0,2.85009,28.1165,0,8.21691,0,0,0,0.528177,0,0,0,0
"MtrElec",1,3,3,"",51.0474,0,7.47083,0,0,0,0.0989521,0,1.47673,1.56447,0,1.57999,0,2.25007,26.6734,0,8.07067,1.46611,0,0,0.396133,0,0,0,0
"MtrElec",1,3,4,"",54.5637,0,8.55529,0,0,0,0.0989521,0,1.68885,1.56447,0,1.57091,0,2.55008,26.6042,0,7.87929,1.00937,0,2.64616,0.396133,0,0,0,0
"MtrElec",1,3,5,"",79.8245,0,10.618,5.04514,0,0,0.0989521,0,2.14043,1.56447,0,1.56389,0,3.15009,25.2706,0,7.6105,0,22.3664,0,0.396133,0,0,0,0
"MtrElec",1,3,6,"",60.8004,0,9.93464,5.38565,0,0,0.0989521,0,2.00635,1.56447,0,1.54894,0,4.65014,27.3796,0,7.57145,0,0,0,0.660222,0,0,0,0
"MtrElec",1,3,7,"",63.6974,0,7.6971,4.25569,0,0,0.0989521,0,1.5515,1.56447,0,1.5534,0,6.30019,30.732,0,7.74167,0,0,0.881985,1.32044,0,0,0,0
"MtrElec",1,3,8,"",3.48673,0,7.09257,3.86673,0,0,0.0989521,0,1.42517,1.56447,0,1.56898,0,6.15018,32.9857,0,8.42533,0,7.45486,0.951759,3.5652,0,0,0,-71.6632
"MtrElec",1,3,9,"",-29.6244,0,4.70041,0.824474,94.6682,0,0.0989521,0,0.929986,1.56447,0,1.57274,0,5.10015,30.9926,0,9.60873,4.95078,8.04462,3.08342,6.33813,0,0,0,-202.102
"MtrElec",1,3,10,"",-112.499,0,3.1212,0,101.046,0,0.0989521,0,0.6147,1.56447,0,0,0,4.35013,29.7855,0,9.37038,0,26.0622,8.38271,6.33813,0,0,0,-303.233
"MtrElec",1,3,11,"",-210.101,0,2.31511,0,34.4777,0,0.0989521,0,0.454418,1.56447,0,0,0,4.05012,30.2983,0,9.23568,0.853184,70.8538,2.74287,6.07404,0,0,0,-373.12
"MtrElec",1,3,12,"",-320.06,0,1.85479,0,0,0,0.0989521,0,0.364177,1.56447,0,0,0,3.75011,29.8305,0,9.43743,3.94042,23.1838,4.32723,7.26243,0,0,0,-405.674
"MtrElec",1,3,13,"",-305.861,0,1.65134,0,0,0,0.0989521,0,0.325397,1.56447,0,0,0,3.15009,29.5573,0,9.6381,3.38581,36.5754,2.56625,8.31879,0,0,0,-402.692
"MtrElec",1,3,14,"",-220.077,0,1.26109,0,59.952,0,0.0989521,0,0.250167,1.56447,0,0,0,3.15009,30.4528,0,9.77763,1.7221,21.6909,5.62938,7.79061,0,0,0,-363.417
"MtrElec",1,3,15,"",-108.403,0,0.847874,0,66.1423,0,0.0989521,0,0.168723,1.56447,0,0,0,3.15009,31.93,0,9.65713,4.94981,47.5816,2.80067,8.18674,0,0,0,-285.482
"MtrElec",1,3,16,"",-93.4803,0,0.6335,0,0,0,0.0989521,0,0.125836,1.56447,0,0,0,3.90012,33.5721,0,9.91296,0,23.6723,3.12436,8.97901,0,0,0,-179.064
"MtrElec",1,3,17,"",40.8777,0,0.495594,0,0,0,0.0989521,0,0.0979932,1.56447,0,0,0,4.65014,37.6658,0,9.72584,0,26.4082,1.67488,12.016,0,0,0,-53.5203
"MtrElec",1,3,18,"",100.52,0,0.623933,0,0,0,0.0989521,0,0.123056,1.56447,0,0,0,6.6002,42.4708,0,10.3038,0,14.1567,6.22415,18.3542,0,0,0,0
"MtrElec",1,3,19,"",208.179,0,0.658974,0,58.5046,0,0.0989521,0,0.12954,1.56447,0,1.61539,0,12.6004,45.6293,0,11.0764,1.60994,52.6088,5.04862,17.0337,0,0,0,0
"MtrElec",1,3,20,"",239.627,0,0.528537,0,99.1382,0,0.0989521,0,0.103648,1.56447,0,1.61503,0,17.5505,47.415,0,10.8622,5.81378,42.6728,2.7563,9.50719,0,0,0,0
"MtrElec",1,3,21,"",131.609,0,0.515973,0,15.5803,0,0.0989521,0,0.10084,1.56447,0,1.61594,0,16.9505,49.1314,0,10.5797,3.97637,23.2973,3.97184,4.22542,0,0,0,0
"MtrElec",1,3,22,"",121.068,0,0.805326,0.112736,0,0,0.0989521,0,0.15759,1.56447,0,1.61617,0,14.4004,48.6537,0,10.1573,7.56111,33.5714,0.520187,1.84862,0,0,0,0
"MtrElec",1,3,23,"",86.3837,0,1.57171,0.861802,0,0,0.0989521,0,0.312042,1.56447,0,1.61418,0,9.45028,43.4997,0,9.35599,8.50445,4.39682,3.96487,1.1884,0,0,0,0
"MtrElec",1,3,24,"",99.3017,0,3.89639,2.08888,0,0,0.0989521,0,0.78295,1.56447,0,1.60868,0,5.85017,37.1254,0,9.434,2.23321,33.5126,0.445769,0.660222,0,0,0,0
"MtrElec",1,4,1,"",62.0092,0,6.76914,3.50377,0,0,0.0989521,0,1.35826,1.56447,0,1.59192,0,3.4501,30.5245,0,8.72004,0,3.7678,0,0.660222,0,0,0,0
