"Title 24 Multi Family Compliance  /  Proposed-x  /  Jefferson Murrieta Bldg 4B_2025-12-16.cibd22",003
"Tue 16-Dec-25   8:5 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",72.6725,0,13.3732,3.24037,0,0,0.0989521,0,1.52411,3.14266,0.69227,1.62143,0,3.4501,30.5245,0,8.79254,0,5.55219,0,0.660222,0,0,0,0
"MtrElec",1,1,2,"",70.2555,0,16.2979,4.07236,0,0,0.0989521,0,2.02005,3.14266,0.69227,1.58071,0,2.85009,28.1165,0,8.38076,2.47506,0,0,0.528177,0,0,0,0
"MtrElec",1,1,3,"",65.9964,0,16.3808,4.50229,0,0,0.0989521,0,2.09077,3.14266,0.69227,1.55045,0,2.25007,26.6734,0,8.2186,0,0,0,0.396133,0,0,0,0
"MtrElec",1,1,4,"",67.6592,0,17.4988,4.82283,0,0,0.0989521,0,2.28873,3.14266,0.69227,1.54614,0,2.55008,26.6042,0,8.0185,0,0,0,0.396133,0,0,0,0
"MtrElec",1,1,5,"",70.6261,0,20.534,5.25697,0,0,0.0989521,0,2.79187,3.14266,0.69227,1.53405,0,3.15009,25.2706,0,7.75854,0,0,0,0.396133,0,0,0,0
"MtrElec",1,1,6,"",74.1606,0,20.5739,4.99042,0,0,0.0989521,0,2.7535,3.14266,0.69227,1.50332,0,4.65014,27.3796,0,7.71562,0,0,0,0.660222,0,0,0,0
"MtrElec",1,1,7,"",294.033,0,17.5746,4.44185,0,216.666,0.0989521,0,2.22763,3.14266,0.69227,1.50565,0,6.30019,30.732,0,7.90371,0,0,1.42685,1.32044,0,0,0,0
"MtrElec",1,1,8,"",118.303,0,16.1202,4.43333,0,22.2664,0.0989521,0,2.02895,3.14266,0.69227,1.53773,0,6.15018,32.9857,0,8.57373,0,12.0602,4.64754,3.5652,0,0,0,0
"MtrElec",1,1,9,"",121.114,0,13.7643,4.27226,0,0,0.0989521,0,1.72068,3.14266,0.69227,1.54983,0,5.10015,30.9926,0,9.70115,0,39.2827,4.45871,6.33813,0,0,0,0
"MtrElec",1,1,10,"",221.002,0,8.82607,0.788739,100.968,0,0.0989521,0,0.974946,3.14266,0.69227,1.56866,0,4.35013,29.7855,0,9.47943,3.02482,37.6866,13.2772,6.33813,0,0,0,0
"MtrElec",1,1,11,"",183.653,0,4.95092,0,0,0,0.0989521,0,0.513969,3.14266,0.69227,0,0,4.05012,30.2983,0,9.31171,4.39771,112.224,7.8979,6.07404,0,0,0,0
"MtrElec",1,1,12,"",219.758,0,2.48942,0,89.4329,0,0.0989521,0,0.241451,3.14266,0.69227,0,0,3.75011,29.8305,0,9.50005,3.08103,66.756,3.48032,7.26243,0,0,0,0
"MtrElec",1,1,13,"",99.1077,0,1.13459,0,1.53136,0,0.0989521,0,0.12033,3.14266,0.692272,0,0,3.15009,29.5573,0,9.68464,6.81949,29.417,5.44031,8.31879,0,0,0,0
"MtrElec",1,1,14,"",104.479,0,0.695604,0,0,0,0.0989521,0,0.0754289,3.14266,0.692272,0,0,3.15009,30.4528,0,9.81299,0,45.9835,2.58406,7.79061,0,0,0,0
"MtrElec",1,1,15,"",79.8136,0,0.370656,0,0,0,0.0989521,0,0.0366089,3.14266,0.692271,0,0,3.15009,31.93,0,9.69086,0,21.8415,0.673276,8.18674,0,0,0,0
"MtrElec",1,1,16,"",69.5678,0,0.305862,0,0,0,0.0989521,0,0.0212051,3.14266,0.692271,0,0,3.90012,33.5721,0,9.92579,0,5.69078,3.23903,8.97901,0,0,0,0
"MtrElec",1,1,17,"",185.329,0,0.469556,0,83.5673,0,0.0989521,0,0.0164432,3.14266,0.692271,0,0,4.65014,37.6658,0,9.72113,0,27.3775,5.91145,12.016,0,0,0,0
"MtrElec",1,1,18,"",141.308,0,0.980214,0,0,0,0.0989521,0,0.0158623,3.14266,0.69227,0,0,6.6002,42.4708,0,10.298,1.17273,49.9657,7.51688,18.3542,0,0,0,0
"MtrElec",1,1,19,"",169.49,0,1.28902,0,9.67271,0,0.0989521,0,0.00730601,3.14266,0.69227,0,0,12.6004,45.6293,0,11.083,1.30253,63.5354,3.40304,17.0337,0,0,0,0
"MtrElec",1,1,20,"",213.33,0,1.5801,0,84.9592,0,0.0989521,0,0.00521998,3.14266,0.69227,0,0,17.5505,47.415,0,10.8813,7.42682,28.7637,1.30724,9.50719,0,0,0,0
"MtrElec",1,1,21,"",100.906,0,2.0432,0,0,0,0.0989521,0,0.0216345,3.14266,0.69227,0,0,16.9505,49.1314,0,10.6093,1.1769,11.0493,1.76415,4.22542,0,0,0,0
"MtrElec",1,1,22,"",161.468,0,3.14966,0,57.7879,0,0.0989521,0,0.0998497,3.14266,0.69227,1.67239,0,14.4004,48.6537,0,10.1842,1.2979,14.9113,3.52809,1.84862,0,0,0,0
"MtrElec",1,1,23,"",156.263,0,4.80206,0,44.6347,0,0.0989521,0,0.28169,3.14266,0.69227,1.66761,0,9.45028,43.4997,0,9.38913,4.94855,29.8207,2.64597,1.1884,0,0,0,0
"MtrElec",1,1,24,"",93.814,0,6.7869,0.472506,0,0,0.0989521,0,0.556635,3.14266,0.69227,1.65651,0,5.85017,37.1254,0,9.45705,4.95004,22.3647,0,0.660222,0,0,0,0
"MtrElec",1,2,1,"",63.838,0,9.12957,2.66664,0,0,0.0989521,0,0.958571,3.14266,0.69227,1.63973,0,3.4501,30.4395,0,8.48515,2.47455,0,0,0.660222,0,0,0,0
"MtrElec",1,2,2,"",63.1598,0,11.4806,3.63928,0,0,0.0989521,0,1.36092,3.14266,0.69227,1.61522,0,2.85009,27.7976,0,8.2565,1.69764,0,0,0.528177,0,0,0,0
"MtrElec",1,2,3,"",64.6441,0,12.6323,3.82913,0,0,0.0989521,0,1.5175,3.14266,0.69227,1.59064,0,2.25007,26.7478,0,7.97667,3.25256,0,0.385447,0.528177,0,0,0,0
"MtrElec",1,2,4,"",65.541,0,12.9123,4.23209,0,0,0.0989521,0,1.60726,3.14266,0.69227,1.58113,0,2.55008,26.5936,0,7.84805,0,3.25794,0.496546,0.528177,0,0,0,0
"MtrElec",1,2,5,"",64.8319,0,12.4562,4.42784,0,0,0.0989521,0,1.58599,3.14266,0.69227,1.57562,0,3.15009,25.3449,0,7.63218,0,4.19699,0,0.528177,0,0,0,0
"MtrElec",1,2,6,"",63.8683,0,11.2647,3.85351,0,0,0.0989521,0,1.37558,3.14266,0.69227,1.57691,0,4.65014,27.454,0,7.91099,0,0,0,1.84862,0,0,0,0
"MtrElec",1,2,7,"",65.1252,0,8.93652,0.295837,0,0,0.0989521,0,0.950532,3.14266,0.69227,1.58974,0,6.30019,31.2744,0,8.86706,0,0,0.468189,2.50884,0,0,0,0
"MtrElec",1,2,8,"",180.958,0,8.49629,0,106.221,0,0.0989521,0,0.906839,3.14266,0.69227,1.6157,0,6.15018,33.6131,0,9.70328,0,3.95731,3.05996,3.30111,0,0,0,0
"MtrElec",1,2,9,"",149.854,0,9.49596,0,57.8589,0,0.0989521,0,1.14569,3.14266,0.69227,1.61838,0,5.10015,31.1416,0,9.42621,0,25.8639,0.835825,3.43315,0,0,0,0
"MtrElec",1,2,10,"",111.971,0,8.24456,0,38.3089,0,0.0989521,0,1.02203,3.14266,0.69227,0,0,4.35013,29.2328,0,8.74403,2.47539,7.0647,5.68951,2.90497,0,0,0,0
"MtrElec",1,2,11,"",111.614,0,6.37375,0,0,0,0.0989521,0,0.741138,3.14266,0.69227,0,0,4.05012,29.5914,0,8.51266,3.92589,48.0898,3.62196,2.77293,0,0,0,0
"MtrElec",1,2,12,"",92.6132,0,5.9135,0,0,0,0.0989521,0,0.661411,3.14266,0.69227,0,0,3.75011,29.5914,0,8.61377,5.26854,30.6141,0.437129,3.82928,0,0,0,0
"MtrElec",1,2,13,"",161.85,0,8.05146,0,94.1216,0,0.0989521,0,0.967898,3.14266,0.69227,1.63333,0,3.15009,29.6265,0,8.86701,3.18173,3.69478,0,4.62155,0,0,0,0
"MtrElec",1,2,14,"",62.8469,0,9.75172,0,0,0,0.0989521,0,1.21675,3.14266,0.69227,1.61464,0,3.15009,30.288,0,8.66638,0,0,0,4.22542,0,0,0,0
