"Title 24 Multi Family Compliance  /  Standard  /  Jefferson Murreita Bld 5A (3A rotated).cibd22",003
"Wed 17-Dec-25   8:5 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",49.6102,0,3.7576,1.48611,0,0,0.0818914,0,0.672892,2.5039,1.25545,1.52531,0,2.59563,22.8373,0,6.82967,0,5.55219,0,0.512308,0,0,0,0
"MtrElec",1,1,2,"",45.92,0,5.14231,1.95454,0,0,0.0818914,0,0.937154,2.5039,1.25545,1.50294,0,2.14422,21.0041,0,6.50861,2.47506,0,0,0.409847,0,0,0,0
"MtrElec",1,1,3,"",92.8663,0,5.17257,2.09957,0,51.0372,0.0818914,0,0.944608,2.5039,1.25547,1.48676,0,1.6928,19.9064,0,6.37769,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,4,"",46.1571,0,5.60664,2.23569,0,3.66682,0.0818914,0,1.02845,2.5039,1.25546,1.4863,0,1.91851,19.848,0,6.21804,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,5,"",43.2566,0,6.73629,2.42165,0,0,0.0818914,0,1.24671,2.5039,1.25545,1.48117,0,2.36992,18.8496,0,6.00264,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,6,"",59.3038,0,6.904,2.38683,0,13.0308,0.0818914,0,1.27418,2.5039,1.25546,1.46781,0,3.49846,20.4265,0,5.96173,0,0,0,0.512308,0,0,0,0
"MtrElec",1,1,7,"",115.249,0,5.49847,2.06448,0,65.1539,0.0818914,0,0.998151,2.5039,1.25546,1.46613,0,4.73985,22.9444,0,6.09064,0,0,1.42685,1.02462,0,0,0,0
"MtrElec",1,1,8,"",132.702,0,4.30992,1.75859,0,65.1539,0.0818914,0,0.77608,2.5039,1.25547,1.48303,0,4.62699,24.6579,0,6.61973,0,12.0602,4.64754,2.76647,0,0,0,0
"MtrElec",1,1,9,"",144.282,0,3.47217,1.61039,18.9204,32.577,0.0818914,0,0.633454,2.5039,1.2555,1.49664,0,3.83702,23.1925,0,7.53592,0,39.2827,2.96404,4.91816,0,0,0,0
"MtrElec",1,1,10,"",124.139,0,2.77583,0.412238,38.6958,0,0.0818914,0,0.508688,2.5039,1.25552,1.50536,0,3.27275,22.305,0,7.3403,4.03309,25.0531,9.47767,4.91816,0,0,0,0
"MtrElec",1,1,11,"",172.069,0,1.30049,0,36.0313,0,0.0818914,0,0.237696,2.5039,1.25558,0.00887372,0,3.04704,22.6808,0,7.21795,5.86362,80.1087,7.01766,4.71324,0,0,0,0
"MtrElec",1,1,12,"",123.828,0,0.744242,0,18.5347,0,0.0818914,0,0.134313,2.5039,1.25555,0,0,2.82134,22.3182,0,7.36313,3.08103,59.3158,0.0386261,5.63539,0,0,0,0
"MtrElec",1,1,13,"",70.361,0,0.25499,0,19.2336,0,0.0818914,0,0.0456574,2.5039,1.25561,0,0,2.36992,22.116,0,7.5024,6.81949,0.326482,1.3959,6.45509,0,0,0,0
"MtrElec",1,1,14,"",54.857,0,0.0411043,0,0,0,0.0818914,0,0.00733851,2.5039,1.25557,0,0,2.36992,22.7932,0,7.59116,0,11.7987,0.369024,6.04524,0,0,0,0
"MtrElec",1,1,15,"",72.1361,0,0,0,24.3898,0,0.0818914,0,0,2.5039,1.25552,0,0,2.36992,23.9119,0,7.47819,0,3.11913,0.673276,6.35262,0,0,0,0
"MtrElec",1,1,16,"",53.7505,0,0,0,0,0,0.0818914,0,0,2.5039,1.25548,0,0,2.93419,25.1498,0,7.69126,0,5.69078,1.4758,6.96739,0,0,0,0
"MtrElec",1,1,17,"",98.7232,0,0,0,29.8275,0,0.0818914,0,0,2.5039,1.25547,0,0,3.49846,28.2251,0,7.5074,0,12.474,4.02539,9.32401,0,0,0,0
"MtrElec",1,1,18,"",141.487,0,0,0,39.3327,0,0.0818914,0,0,2.5039,1.25547,0,0,4.96555,31.8238,0,7.97409,1.17273,34.0241,4.11035,14.2422,0,0,0,0
"MtrElec",1,1,19,"",111.638,0,0,0,5.04723,0,0.0818914,0,0,2.5039,1.25548,0,0,9.47969,34.2049,0,8.62084,1.30253,34.7422,1.18181,13.2176,0,0,0,0
"MtrElec",1,1,20,"",124.489,0,0,0,38.6298,0,0.0818914,0,0,2.5039,1.25548,0,0,13.2039,35.5631,0,8.45739,7.42682,9.98913,0,7.37724,0,0,0,0
"MtrElec",1,1,21,"",69.6871,0,0,0,2.65452,0,0.0818914,0,0,2.5039,1.25548,0,0,12.7524,36.8629,0,8.23804,1.1769,0,0.882255,3.27877,0,0,0,0
"MtrElec",1,1,22,"",105.891,0,0,0,33.2893,0,0.0818914,0,0,2.5039,1.25547,1.53915,0,10.8339,36.5245,0,7.90909,1.2979,7.45715,1.76393,1.43446,0,0,0,0
"MtrElec",1,1,23,"",90.7081,0,0.0103949,0,20.6719,0,0.0818914,0,0.00190826,2.5039,1.25546,1.56236,0,7.10977,32.6529,0,7.26205,0,14.9094,1.76398,0.922155,0,0,0,0
"MtrElec",1,1,24,"",61.7534,0,0.976826,0.18293,0,0,0.0818914,0,0.182349,2.5039,1.25545,1.56224,0,4.40129,27.8383,0,7.34615,0,14.9098,0,0.512308,0,0,0,0
"MtrElec",1,2,1,"",41.1838,0,1.94908,1.03571,0,0,0.0818914,0,0.372293,2.5039,1.25545,1.55119,0,2.59563,22.776,0,6.5503,0,0,0,0.512308,0,0,0,0
"MtrElec",1,2,2,"",41.3606,0,2.7237,1.36777,0,0,0.0818914,0,0.505813,2.5039,1.25546,1.52225,0,2.14422,20.7652,0,6.38291,1.69764,0,0,0.409847,0,0,0,0
"MtrElec",1,2,3,"",40.2578,0,3.55544,1.68476,0,0,0.0818914,0,0.65411,2.5039,1.25546,1.51316,0,1.6928,19.9683,0,6.16022,0.777912,0,0,0.409847,0,0,0,0
"MtrElec",1,2,4,"",40.1485,0,3.91352,1.93163,0,0,0.0818914,0,0.722315,2.5039,1.25547,1.50409,0,1.91851,19.8486,0,6.05877,0,0,0,0.409847,0,0,0,0
"MtrElec",1,2,5,"",39.6937,0,3.97481,2.07245,0,0,0.0818914,0,0.735853,2.5039,1.25548,1.49992,0,2.36992,18.9115,0,5.8782,0,0,0,0.409847,0,0,0,0
"MtrElec",1,2,6,"",42.7114,0,3.44524,1.79312,0,0,0.0818914,0,0.634034,2.5039,1.25548,1.49909,0,3.49846,20.4883,0,6.07739,0,0,0,1.43446,0,0,0,0
"MtrElec",1,2,7,"",80.2035,0,2.37743,0.142074,35.0193,0,0.0818914,0,0.42142,2.5039,1.25548,1.50532,0,4.73985,23.3615,0,6.84853,0,0,0,1.94677,0,0,0,0
"MtrElec",1,2,8,"",87.7831,0,2.06522,0.00453183,37.4863,0,0.0818914,0,0.369561,2.5039,1.25548,1.51834,0,4.62699,25.1363,0,7.52727,0,0,2.64583,2.56154,0,0,0,0
"MtrElec",1,2,9,"",106.44,0,2.57746,0.00108745,37.7192,0,0.0818914,0,0.466542,2.5039,1.25548,1.52152,0,3.83702,23.3089,0,7.30402,0,22.3636,0.835825,2.664,0,0,0,0
"MtrElec",1,2,10,"",93.3222,0,2.06503,0,38.5165,0,0.0818914,0,0.377476,2.5039,1.2555,0.0159263,0,3.27275,21.8812,0,6.75046,2.47539,7.0647,4.8073,2.25416,0,0,0,0
"MtrElec",1,2,11,"",99.4243,0,1.14239,0,13.8986,0,0.0818914,0,0.207719,2.5039,1.25551,0,0,3.04704,22.1372,0,6.571,2.61726,40.6331,3.17709,2.1517,0,0,0,0
"MtrElec",1,2,12,"",96.5705,0,1.36489,0,25.5753,0,0.0818914,0,0.248539,2.5039,1.25549,0,0,2.82134,22.1372,0,6.6549,4.10175,26.854,0,2.97139,0,0,0,0
"MtrElec",1,2,13,"",43.7645,0,2.2762,0,0,0,0.0818914,0,0.416985,2.5039,1.25548,1.52393,0,2.36992,22.1745,0,6.86865,0.70683,0,0,3.58616,0,0,0,0
"MtrElec",1,2,14,"",44.0272,0,3.0585,0,0,0,0.0818914,0,0.562843,2.5039,1.25547,1.53683,0,2.36992,22.674,0,6.7051,0,0,0,3.27877,0,0,0,0
"MtrElec",1,2,15,"",81.1074,0,2.96337,0,36.0668,0,0.0818914,0,0.545152,2.5039,1.25548,1.5279,0,2.36992,23.4948,0,6.81454,0,0,0,3.4837,0,0,0,0
"MtrElec",1,2,16,"",49.3024,0,2.61941,0,0.631492,0,0.0818914,0,0.48088,2.5039,1.25549,1.52899,0,2.93419,24.1924,0,6.86349,0,0,0.882252,5.32801,0,0,0,0
"MtrElec",1,2,17,"",65.1432,0,1.5421,0,0,0,0.0818914,0,0.28217,2.5039,1.25548,1.53201,0,3.49846,27.329,0,7.02672,0,7.45712,0.851233,11.7831,0,0,0,0
"MtrElec",1,2,18,"",117.306,0,0.90363,0,36.8824,0,0.0818914,0,0.16034,2.5039,1.25548,1.52687,0,4.96555,31.4646,0,7.70414,2.47408,7.19494,0.413398,19.7751,0,0,0,0
"MtrElec",1,2,19,"",82.9663,0,0.481507,0,0,0,0.0818914,0,0.0827729,2.5039,1.25548,1.53433,0,9.47969,34.2628,0,8.37344,2.47401,3.49419,0.499181,18.4431,0,0,0,0
"MtrElec",1,2,20,"",89.4176,0,0.230971,0,9.36155,0,0.0818914,0,0.0380105,2.5039,1.25549,1.53908,0,13.2039,36.0415,0,8.41302,0,4.21926,2.48785,10.0412,0,0,0,0
"MtrElec",1,2,21,"",134.868,0,0.160125,0,37.8668,0,0.0818914,0,0.0282102,2.5039,1.25549,1.54637,0,12.7524,37.5807,0,8.00371,4.95173,21.0282,2.80479,4.30339,0,0,0,0
"MtrElec",1,2,22,"",110.767,0,0.234349,0,23.2744,0,0.0818914,0,0.0426767,2.5039,1.2555,0.0580273,0,10.8339,37.3036,0,7.63306,0,23.7071,1.78912,2.04923,0,0,0,0
"MtrElec",1,2,23,"",95.5409,0,0.548218,0,25.5764,0,0.0818914,0,0.0997497,2.5039,1.25549,0.0480109,0,7.10977,33.0734,0,7.1527,0,15.1223,1.73962,1.22954,0,0,0,0
"MtrElec",1,2,24,"",67.7134,0,1.11127,0,7.52387,0,0.0818914,0,0.199239,2.5039,1.25549,0,0,4.40129,28.3256,0,6.58232,0,14.7039,0,1.02462,0,0,0,0
"MtrElec",1,3,1,"",38.3856,0,1.60597,0,0,0,0.0818914,0,0.287341,2.5039,1.25549,0,0,2.59563,22.8373,0,6.70582,0,0,0,0.512308,0,0,0,0
"MtrElec",1,3,2,"",36.2063,0,2.03194,0,0,0,0.0818914,0,0.360628,2.5039,1.25548,0.00597235,0,2.14422,21.0041,0,6.40832,0,0,0,0.409847,0,0,0,0
"MtrElec",1,3,3,"",38.6205,0,3.04926,0,0,0,0.0818914,0,0.542465,2.5039,1.25547,1.52206,0,1.6928,19.9064,0,6.29275,1.46611,0,0,0.307385,0,0,0,0
"MtrElec",1,3,4,"",41.5201,0,3.64069,0.00480127,0,0,0.0818914,0,0.651164,2.5039,1.25548,1.51094,0,1.91851,19.848,0,6.14181,1.00937,0,2.64616,0.307385,0,0,0,0
"MtrElec",1,3,5,"",69.5874,0,5.09909,2.21181,6.173,0,0.0818914,0,0.938112,2.5039,1.25547,1.50429,0,2.36992,18.8496,0,5.92662,0,22.3664,0,0.307385,0,0,0,0
"MtrElec",1,3,6,"",73.0578,0,5.11612,2.50896,28.8313,0,0.0818914,0,0.942651,2.5039,1.25548,1.48673,0,3.49846,20.4265,0,5.89356,0,0,0,0.512308,0,0,0,0
"MtrElec",1,3,7,"",46.2962,0,3.71932,1.84307,0,0,0.0818914,0,0.677573,2.5039,1.25548,1.48645,0,4.73985,22.9444,0,6.0196,0,0,0,1.02462,0,0,0,0
"MtrElec",1,3,8,"",61.4305,0,3.03128,1.47527,12.4244,0,0.0818914,0,0.545587,2.5039,1.25555,1.50267,0,4.62699,24.6579,0,6.55864,0,0,0,2.76647,0,0,0,0
"MtrElec",1,3,9,"",71.5405,0,2.27706,0.339138,20.737,0,0.0818914,0,0.404952,2.5039,1.2556,1.51075,0,3.83702,23.1925,0,7.50043,2.47539,0,0.506711,4.91816,0,0,0,0
"MtrElec",1,3,10,"",92.2729,0,1.32205,0,36.3877,0,0.0818914,0,0.238568,2.5039,1.25562,0.0159263,0,3.27275,22.305,0,7.3057,0,4.28291,8.38271,4.91816,0,0,0,0
"MtrElec",1,3,11,"",153.677,0,0.745243,0,37.7495,0,0.0818914,0,0.135158,2.5039,1.25562,0,0,3.04704,22.6808,0,7.19696,0.853184,70.8538,1.8607,4.71324,0,0,0,0
"MtrElec",1,3,12,"",103.837,0.231192,0.233959,0,37.9406,0,0.0818914,0,0.0422808,2.5039,1.25558,0,0,2.82134,22.3182,0,7.3394,3.94042,15.7273,3.76561,5.63539,0,0,0,0
"MtrElec",1,3,13,"",118.386,0.617606,0.0573263,0,37.9869,0,0.0818914,0,0.0103443,2.5039,1.25552,0,0,2.36992,22.116,0,7.4715,3.38581,31.8284,2.24591,6.45509,0,0,0,0
"MtrElec",1,3,14,"",106.292,0.917508,0,0,38.4741,0,0.0818914,0,0,2.5039,1.25549,0,0,2.36992,22.7932,0,7.55596,1.7221,18.9833,3.58946,6.04524,0,0,0,0
