"Title 24 Multi Family Compliance  /  Standard (PV-Batt only)  /  Jefferson Murreita Bld 5A (3A rotated).cibd22",001
"Wed 17-Dec-25   8:5 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",60.7303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7303,0,0,0
"MtrElec",1,1,2,"",57.0407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0407,0,0,0
"MtrElec",1,1,3,"",103.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.976,0,0,0
"MtrElec",1,1,4,"",57.2779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2779,0,0,0
"MtrElec",1,1,5,"",54.3783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3783,0,0,0
"MtrElec",1,1,6,"",70.4215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4215,0,0,0
"MtrElec",1,1,7,"",126.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.353,0,0,0
"MtrElec",1,1,8,"",132.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.801,0,0,-11.3411
"MtrElec",1,1,9,"",117.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.379,0,0,-37.9302
"MtrElec",1,1,10,"",89.5557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.241,0,0,-45.6855
"MtrElec",1,1,11,"",86.5967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.159,0,0,-96.5622
"MtrElec",1,1,12,"",54.3564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.93,0,0,-80.5736
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.4758,0,38.1031,-119.579
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9758,0,43.9826,-109.958
"MtrElec",1,1,15,"",16.9135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.2507,0,0,-66.3373
"MtrElec",1,1,16,"",45.4065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.8696,0,0,-19.463
"MtrElec",1,1,17,"",107.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.831,0,0,-2.38418
"MtrElec",1,1,18,"",152.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.584,0,0,0
"MtrElec",1,1,19,"",54.8671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.743,0,-67.8758,0
