"Title 24 Multi Family Compliance  /  Proposed  /  Jefferson Murreita Bld 5A (3A rotated).cibd22",002
"Wed 17-Dec-25   8:5 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",45.9937,0,3.51311,1.52528,0,0,0.0818914,0,0.507885,0.720619,0,1.39781,0,2.59563,22.8373,0,6.74965,0,5.55219,0,0.512308,0,0,0,0
"MtrElec",1,1,2,"",42.3317,0,4.92762,2.03202,0,0,0.0818914,0,0.715862,0.720619,0,1.38425,0,2.14422,21.0041,0,6.43627,2.47506,0,0,0.409847,0,0,0,0
"MtrElec",1,1,3,"",38.6543,0,5.20903,2.29162,0,0,0.0818914,0,0.764746,0.720619,0,1.37323,0,1.6928,19.9064,0,6.3065,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,4,"",39.5756,0,5.81728,2.50383,0,0,0.0818914,0,0.85799,0.720619,0,1.37124,0,1.91851,19.848,0,6.14888,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,5,"",40.8375,0,7.32156,2.80648,0,0,0.0818914,0,1.08776,0.720619,0,1.36657,0,2.36992,18.8496,0,5.92574,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,6,"",43.5883,0,7.32324,2.69778,0,0,0.0818914,0,1.08797,0.720619,0,1.35514,0,3.49846,20.4265,0,5.8844,0,0,0,0.512308,0,0,0,0
"MtrElec",1,1,7,"",47.1123,0,5.67502,2.30176,0,0,0.0818914,0,0.84014,0.720619,0,1.35531,0,4.73985,22.9444,0,6.00186,0,0,1.42685,1.02462,0,0,0,0
"MtrElec",1,1,8,"",46.8979,0,4.53838,2.01807,0,0,0.0818914,0,0.678593,0.720619,0,1.3682,0,4.62699,24.6579,0,6.53568,0,12.0602,4.64754,2.76647,0,0,0,-17.8026
"MtrElec",1,1,9,"",31.1376,0,4.11104,2.08759,0,0,0.0818914,0,0.624263,0.720619,0,1.37726,0,3.83702,23.1925,0,7.48112,0,39.2827,2.96404,4.91816,0,0,0,-59.5406
"MtrElec",1,1,10,"",130.524,0,3.25485,0.525511,60.1585,0,0.0818914,0,0.47709,0.720619,0,1.37982,0,3.27275,22.305,0,7.26568,4.03309,25.0531,9.47767,4.91816,0,59.3152,0,-71.7145
"MtrElec",1,1,11,"",65.1285,0,1.62374,0,69.281,0,0.0818914,0,0.224572,0.720619,0,0,0,3.04704,22.6808,0,7.14627,5.86362,80.1087,7.01766,4.71324,0,14.1972,0,-151.578
"MtrElec",1,1,12,"",52.5583,0,0.998717,0,76.6074,0,0.0818914,0,0.133663,0.720619,0,0,0,2.82134,22.3182,0,7.28545,3.08103,59.3158,0.0386261,5.63539,0,0,0,-126.48
"MtrElec",1,1,13,"",-139.426,0,0.509609,0,0,0,0.0818914,0,0.0689579,0.720619,0,0,0,2.36992,22.116,0,7.41839,6.81949,0.326482,1.3959,6.45509,0,0,0,-187.708
"MtrElec",1,1,14,"",-120.686,0,0.206523,0,0,0,0.0818914,0,0.0302651,0.720619,0,0,0,2.36992,22.7932,0,7.50482,0,11.7987,0.369024,6.04524,0,0,0,-172.606
"MtrElec",1,1,15,"",-59.4513,0,0.0570778,0,0,0,0.0818914,0,0.00859854,0.720619,0,0,0,2.36992,23.9119,0,7.38618,0,3.11913,0.673276,6.35262,0,0,0,-104.133
"MtrElec",1,1,16,"",20.0909,0,0.0031553,0,0,0,0.0818914,0,0.000413581,0.720619,0,0,0,2.93419,25.1498,0,7.61877,0,5.69078,1.4758,6.96739,0,0,0,-30.5519
"MtrElec",1,1,17,"",70.6406,0,0,0,8.63056,0,0.0818914,0,0,0.720619,0,0,0,3.49846,28.2251,0,7.40308,0,12.474,4.02539,9.32401,0,0,0,-3.74255
"MtrElec",1,1,18,"",178.163,0,0,0,79.1431,0,0.0818914,0,0,0.720619,0,0,0,4.96555,31.8238,0,7.87902,1.17273,34.0241,4.11035,14.2422,0,0,0,0
"MtrElec",1,1,19,"",104.75,0,0,0,1.26065,0,0.0818914,0,0,0.720619,0,0,0,9.47969,34.2049,0,8.55766,1.30253,34.7422,1.18181,13.2176,0,0,0,0
"MtrElec",1,1,20,"",82.7503,0,0,0,0,0,0.0818914,0,0,0.720619,0,0,0,13.2039,35.5631,0,8.38765,7.42682,9.98913,0,7.37724,0,0,0,0
"MtrElec",1,1,21,"",63.915,0,0,0,0,0,0.0818914,0,0,0.720619,0,0,0,12.7524,36.8629,0,8.15923,1.1769,0,0.882255,3.27877,0,0,0,0
"MtrElec",1,1,22,"",130.318,0,0.0116049,0,60.9446,0,0.0818914,0,0.00155074,0.720619,0,1.41258,0,10.8339,36.5245,0,7.83297,1.2979,7.45715,1.76393,1.43446,0,0,0,0
"MtrElec",1,1,23,"",99.5502,0,0.291178,0,32.487,0,0.0818914,0,0.0396897,0.720619,0,1.4125,0,7.10977,32.6529,0,7.15912,0,14.9094,1.76398,0.922155,0,0,0,0
"MtrElec",1,1,24,"",58.905,0,1.32903,0.23012,0,0,0.0818914,0,0.188758,0.720619,0,1.41038,0,4.40129,27.8383,0,7.28254,0,14.9098,0,0.512308,0,0,0,0
"MtrElec",1,2,1,"",38.1085,0,2.07907,1.18294,0,0,0.0818914,0,0.301521,0.720619,0,1.40181,0,2.59563,22.776,0,6.45666,0,0,0,0.512308,0,0,0,0
"MtrElec",1,2,2,"",38.5247,0,2.95348,1.61706,0,0,0.0818914,0,0.43557,0.720619,0,1.39553,0,2.14422,20.7652,0,6.30365,1.69764,0,0,0.409847,0,0,0,0
"MtrElec",1,2,3,"",37.8192,0,4.02236,2.07594,0,0,0.0818914,0,0.599505,0.720619,0,1.38862,0,1.6928,19.9683,0,6.08137,0.777912,0,0,0.409847,0,0,0,0
"MtrElec",1,2,4,"",37.8368,0,4.43082,2.39358,0,0,0.0818914,0,0.668897,0.720619,0,1.38031,0,1.91851,19.8486,0,5.98371,0,0,0,0.409847,0,0,0,0
"MtrElec",1,2,5,"",37.639,0,4.61309,2.65078,0,0,0.0818914,0,0.70757,0.720619,0,1.37686,0,2.36992,18.9115,0,5.79691,0,0,0,0.409847,0,0,0,0
