"Title 24 Multi Family Compliance  /  Proposed-x  /  Jefferson Murreita Bld 5A (3A rotated).cibd22",003
"Wed 17-Dec-25   8:4 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",49.7277,0,4.34179,1.43259,0,0,0.0818914,0,0.674643,2.5039,0.885338,1.48098,0,2.59563,22.8373,0,6.82918,0,5.55219,0,0.512308,0,0,0,0
"MtrElec",1,1,2,"",259.085,0,5.78591,1.89163,0,212.998,0.0818914,0,0.93856,2.5039,0.885342,1.4586,0,2.14422,21.0041,0,6.50819,2.47506,0,0,0.409847,0,0,0,0
"MtrElec",1,1,3,"",41.9694,0,5.78981,2.03646,0,0,0.0818914,0,0.94568,2.5039,0.885344,1.44244,0,1.6928,19.9064,0,6.37727,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,4,"",42.6508,0,6.24762,2.1692,0,0,0.0818914,0,1.02937,2.5039,0.885344,1.44201,0,1.91851,19.848,0,6.21763,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,5,"",43.4795,0,7.44618,2.34846,0,0,0.0818914,0,1.24775,2.5039,0.88534,1.43688,0,2.36992,18.8496,0,6.00217,0,0,0,0.307385,0,0,0,0
"MtrElec",1,1,6,"",46.5195,0,7.64028,2.31106,0,0,0.0818914,0,1.27505,2.5039,0.885343,1.42352,0,3.49846,20.4265,0,5.96124,0,0,0,0.512308,0,0,0,0
"MtrElec",1,1,7,"",50.2972,0,6.18803,1.99157,0,0,0.0818914,0,0.998806,2.5039,0.885347,1.42186,0,4.73985,22.9444,0,6.09008,0,0,1.42685,1.02462,0,0,0,0
"MtrElec",1,1,8,"",67.6581,0,4.89709,1.69614,0,0,0.0818914,0,0.776608,2.5039,0.885355,1.43877,0,4.62699,24.6579,0,6.6192,0,12.0602,4.64754,2.76647,0,0,0,0
"MtrElec",1,1,9,"",202.094,0,3.88412,1.57178,109.351,0,0.0818914,0,0.63385,2.5039,0.885374,1.45238,0,3.83702,23.1925,0,7.53558,0,39.2827,2.96404,4.91816,0,0,0,0
"MtrElec",1,1,10,"",85.261,0,3.01142,0.407387,0,0,0.0818914,0,0.510283,2.5039,0.885384,1.46111,0,3.27275,22.305,0,7.33983,4.03309,25.0531,9.47767,4.91816,0,0,0,0
"MtrElec",1,1,11,"",135.686,0,1.32848,0,0,0,0.0818914,0,0.238017,2.5039,0.88543,0,0,3.04704,22.6808,0,7.21754,5.86362,80.1087,7.01766,4.71324,0,0,0,0
"MtrElec",1,1,12,"",193.591,0,0.745301,0,88.6674,0,0.0818914,0,0.134477,2.5039,0.885406,0,0,2.82134,22.3182,0,7.3627,3.08103,59.3158,0.0386261,5.63539,0,0,0,0
"MtrElec",1,1,13,"",50.7574,0,0.25554,0,0,0,0.0818914,0,0.0457462,2.5039,0.88545,0,0,2.36992,22.116,0,7.50195,6.81949,0.326482,1.3959,6.45509,0,0,0,0
"MtrElec",1,1,14,"",54.4867,0,0.0413719,0,0,0,0.0818914,0,0.00738475,2.5039,0.885421,0,0,2.36992,22.7932,0,7.59071,0,11.7987,0.369024,6.04524,0,0,0,0
"MtrElec",1,1,15,"",47.3757,0,0,0,0,0,0.0818914,0,0,2.5039,0.885389,0,0,2.36992,23.9119,0,7.47772,0,3.11913,0.673276,6.35262,0,0,0,0
"MtrElec",1,1,16,"",53.38,0,0,0,0,0,0.0818914,0,0,2.5039,0.885343,0,0,2.93419,25.1498,0,7.6909,0,5.69078,1.4758,6.96739,0,0,0,0
"MtrElec",1,1,17,"",127.398,0,0,0,58.8728,0,0.0818914,0,0,2.5039,0.885349,0,0,3.49846,28.2251,0,7.50689,0,12.474,4.02539,9.32401,0,0,0,0
"MtrElec",1,1,18,"",134.048,0,0,0,32.2649,0,0.0818914,0,0,2.5039,0.885352,0,0,4.96555,31.8238,0,7.97362,1.17273,34.0241,4.11035,14.2422,0,0,0,0
"MtrElec",1,1,19,"",106.22,0,0,0,0,0,0.0818914,0,0,2.5039,0.885356,0,0,9.47969,34.2049,0,8.62053,1.30253,34.7422,1.18181,13.2176,0,0,0,0
"MtrElec",1,1,20,"",85.4884,0,0,0,0,0,0.0818914,0,0,2.5039,0.885358,0,0,13.2039,35.5631,0,8.45705,7.42682,9.98913,0,7.37724,0,0,0,0
"MtrElec",1,1,21,"",157.824,0,0,0,91.1623,0,0.0818914,0,0,2.5039,0.885356,0,0,12.7524,36.8629,0,8.23764,1.1769,0,0.882255,3.27877,0,0,0,0
"MtrElec",1,1,22,"",72.1916,0,0,0,0,0,0.0818914,0,0,2.5039,0.885349,1.49992,0,10.8339,36.5245,0,7.9087,1.2979,7.45715,1.76393,1.43446,0,0,0,0
"MtrElec",1,1,23,"",69.6032,0,0.0104986,0,0,0,0.0818914,0,0.00192738,2.5039,0.885344,1.49992,0,7.10977,32.6529,0,7.26153,0,14.9094,1.76398,0.922155,0,0,0,0
"MtrElec",1,1,24,"",61.548,0,1.20344,0.183335,0,0,0.0818914,0,0.182801,2.5039,0.885349,1.4998,0,4.40129,27.8383,0,7.34582,0,14.9098,0,0.512308,0,0,0,0
"MtrElec",1,2,1,"",41.2114,0,2.40865,1.03652,0,0,0.0818914,0,0.372585,2.5039,0.885347,1.48872,0,2.59563,22.776,0,6.54981,0,0,0,0.512308,0,0,0,0
"MtrElec",1,2,2,"",41.4233,0,3.21633,1.35316,0,0,0.0818914,0,0.506231,2.5039,0.885348,1.4771,0,2.14422,20.7652,0,6.38249,1.69764,0,0,0.409847,0,0,0,0
"MtrElec",1,2,3,"",40.2997,0,4.04371,1.65228,0,0,0.0818914,0,0.655006,2.5039,0.885349,1.46891,0,1.6928,19.9683,0,6.1598,0.777912,0,0,0.409847,0,0,0,0
"MtrElec",1,2,4,"",40.1511,0,4.35772,1.90402,0,0,0.0818914,0,0.72311,2.5039,0.885353,1.4598,0,1.91851,19.8486,0,6.05837,0,0,0,0.409847,0,0,0,0
"MtrElec",1,2,5,"",39.6808,0,4.38728,2.05989,0,0,0.0818914,0,0.737822,2.5039,0.885356,1.45564,0,2.36992,18.9115,0,5.87777,0,0,0,0.409847,0,0,0,0
