PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  106.4 kWdc PV  /  Battery Energy 115.4 kWh and Power 27.67 kW (Time of Use control)"
,"Standard Design PV Capacity: 106.4 kWdc  /  Battery Capacity: 115.4 kWh  (power 27.67 kW, Time of Use control)"
,"User-specified PV array capacity:  171.1 kWdc  (no battery equipment defined)"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"STAIR (LEFT)","Unconditioned","Stairwell","Highrise Multifamily",175.5,1,,0,,,,,,,,,,0,0,0,
"STAIR (RIGHT)","Unconditioned","Stairwell","Highrise Multifamily",182.84,1,,0,,,,,,,,,,0,0,0,
"GARAGE (RIGHT)","Unconditioned","Parking Garage Area (Parking Zone and Ramps)","none",2942.5,1,,,,,,,,0,,,,0,0,0,
"CORRIDOR_L1","Unconditioned","Corridor Area","Highrise Multifamily",2213.25,1,,0,,,,,,,,,,0,0,0,
"GARAGE (LEFT)","Unconditioned","Parking Garage Area (Parking Zone and Ramps)","none",2764.67,1,,,,,,,,0,,,,0,0,0,
"STAIR (LEFT)_L2","Unconditioned","Stairwell","Highrise Multifamily",175.5,1,,0,,,,,,,,,,0,0,0,
"STAIR (RIGHT)_L2","Unconditioned","Stairwell","Highrise Multifamily",182.84,1,,0,,,,,,,,,,0,0,0,
"CORRIDOR_L2","Unconditioned","Corridor Area","Highrise Multifamily",2293.98,1,,0,,,,,,,,,,0,0,0,
"STAIR (LEFT)_L3","Conditioned","Stairwell","Highrise Multifamily",175.5,1,,175.5,,,,,,,,,,0.387855,0.420516,0.100842,
"STAIR (RIGHT)_L3","Conditioned","Stairwell","Highrise Multifamily",182.84,1,,182.84,,,,,,,,,,0.404076,0.438104,0.10506,
"CORRIDOR_L3","Unconditioned","Corridor Area","Highrise Multifamily",2294.32,1,,0,,,,,,,,,,0,0,0,
"STAIR (LEFT)_L4","Unconditioned","Stairwell","Highrise Multifamily",175.5,1,,0,,,,,,,,,,0,0,0,
"STAIR (RIGHT)_L4","Unconditioned","Stairwell","Highrise Multifamily",182.84,1,,0,,,,,,,,,,0,0,0,
"CORRIDOR_L4","Unconditioned","Corridor Area","Highrise Multifamily",2294.32,1,,0,,,,,,,,,,0,0,0,
"P2.0 (S1)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1019.58,1,,1019.58,,,,,,,1,,,2.25327,2.44302,0.585851,
"P1.0 (S1)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",725.028,1,,725.028,,,,,,,1,,,1.60231,1.73724,0.416601,
"P2.0 (S2)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1042.19,1,,1042.19,,,,,,,1,,,2.30324,2.4972,0.598842,
"P1.0 (S2)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",716.861,1,,716.861,,,,,,,1,,,1.58426,1.71767,0.411908,
"P2.0 (S3)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1018.42,1,,1018.42,,,,,,,1,,,2.25071,2.44024,0.585184,
"P1.0 (S3)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",725.028,1,,725.028,,,,,,,1,,,1.60231,1.73724,0.416601,
"P2.0 (S4)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1035.72,1,,1035.72,,,,,,,1,,,2.28894,2.48169,0.595125,
"P3.0 (S1)_L1","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1305.89,1,,1305.89,,,,,,,1,,,2.88602,3.12905,0.750364,
"P2.0 (S1)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1019.58,1,,1019.58,,,,,,,1,,,2.25327,2.44302,0.585851,
"P1.0 (S1)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",725.028,1,,725.028,,,,,,,1,,,1.60231,1.73724,0.416601,
"P2.0 (S2)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1042.19,1,,1042.19,,,,,,,1,,,2.30324,2.4972,0.598842,
"P1.0 (S2)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",716.861,1,,716.861,,,,,,,1,,,1.58426,1.71767,0.411908,
"P2.0 (S3)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1018.42,1,,1018.42,,,,,,,1,,,2.25071,2.44024,0.585184,
"P1.0 (S3)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",725.028,1,,725.028,,,,,,,1,,,1.60231,1.73724,0.416601,
"P2.0 (S4)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1035.72,1,,1035.72,,,,,,,1,,,2.28894,2.48169,0.595125,
"P3.0 (S1)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1305.89,1,,1305.89,,,,,,,1,,,2.88602,3.12905,0.750364,
"P2.1 (N1)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",985.924,1,,985.924,,,,,,,1,,,2.17889,2.36238,0.566512,
"P2.1 (N2)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1011.31,1,,1011.31,,,,,,,1,,,2.235,2.42321,0.581099,
"P2.1 (N3)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",999.534,1,,999.534,,,,,,,1,,,2.20897,2.39499,0.574332,
"P1.1 (N1)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",841.042,1,,841.042,,,,,,,1,,,1.8587,2.01523,0.483263,
"P2.1 (N4)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",987.954,1,,987.954,,,,,,,1,,,2.18338,2.36724,0.567678,
"P2.1 (N5)_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",989.685,1,,989.685,,,,,,,1,,,2.1872,2.37139,0.568673,
"P2.0 (S1)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1019.58,1,,1019.58,,,,,,,1,,,2.25327,2.44302,0.585851,
"P1.0 (S1)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",725.028,1,,725.028,,,,,,,1,,,1.60231,1.73724,0.416601,
"P2.0 (S2)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1042.19,1,,1042.19,,,,,,,1,,,2.30324,2.4972,0.598842,
"P1.0 (S2)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",716.861,1,,716.861,,,,,,,1,,,1.58426,1.71767,0.411908,
"P2.0 (S3)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1018.42,1,,1018.42,,,,,,,1,,,2.25071,2.44024,0.585184,
"P1.0 (S3)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",725.028,1,,725.028,,,,,,,1,,,1.60231,1.73724,0.416601,
"P2.0 (S4)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1035.72,1,,1035.72,,,,,,,1,,,2.28894,2.48169,0.595125,
"P3.0 (S1)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1305.89,1,,1305.89,,,,,,,1,,,2.88602,3.12905,0.750364,
"P2.1 (N1)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",985.924,1,,985.924,,,,,,,1,,,2.17889,2.36238,0.566512,
"P2.1 (N2)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1011.31,1,,1011.31,,,,,,,1,,,2.235,2.42321,0.581099,
"P2.1 (N3)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",999.534,1,,999.534,,,,,,,1,,,2.20897,2.39499,0.574332,
"P1.1 (N1)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",841.042,1,,841.042,,,,,,,1,,,1.8587,2.01523,0.483263,
"P2.1 (N4)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",987.954,1,,987.954,,,,,,,1,,,2.18338,2.36724,0.567678,
"P2.1 (N5)_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",989.685,1,,989.685,,,,,,,1,,,2.1872,2.37139,0.568673,
"P2.0 (S1)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1019.58,1,,1019.58,,,,,,,1,,,2.25327,2.44302,0.585851,
"P1.0 (S1)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",725.028,1,,725.028,,,,,,,1,,,1.60231,1.73724,0.416601,
"P2.0 (S2)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1042.19,1,,1042.19,,,,,,,1,,,2.30324,2.4972,0.598842,
"P1.0 (S2)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",716.861,1,,716.861,,,,,,,1,,,1.58426,1.71767,0.411908,
"P2.0 (S3)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1018.42,1,,1018.42,,,,,,,1,,,2.25071,2.44024,0.585184,
"P1.0 (S3)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",725.028,1,,725.028,,,,,,,1,,,1.60231,1.73724,0.416601,
"P2.0 (S4)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1035.72,1,,1035.72,,,,,,,1,,,2.28894,2.48169,0.595125,
"P3.0 (S1)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1305.89,1,,1305.89,,,,,,,1,,,2.88602,3.12905,0.750364,
"P2.1 (N1)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",985.924,1,,985.924,,,,,,,1,,,2.17889,2.36238,0.566512,
"P2.1 (N2)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1011.31,1,,1011.31,,,,,,,1,,,2.235,2.42321,0.581099,
"P2.1 (N3)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",999.534,1,,999.534,,,,,,,1,,,2.20897,2.39499,0.574332,
"P1.1 (N1)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",841.042,1,,841.042,,,,,,,1,,,1.8587,2.01523,0.483263,
"P2.1 (N4)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",987.954,1,,987.954,,,,,,,1,,,2.18338,2.36724,0.567678,
"P2.1 (N5)_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",989.685,1,,989.685,,,,,,,1,,,2.1872,2.37139,0.568673,
,,,,,Sums:,0,48159.6,0,0,0,0,0,0,50,0,,106.433,115.395,27.6725,
,,Bldg Cond Area:,48159.6,,Pcts:,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
