1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.2 (8731)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2025-12-16T09:30:03-07:00",
Input File Name:,,,"Jefferson Murrieta Bldg 6B_2025-12-16",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"P2.0 (S1)_L1-zn",Conditioned,1019.58,1,504.166,86.1113,1019.58,0,0,2612.86,0,0,0,4078.32,290,0,1019.58,
"P1.0 (S1)_L1-zn",Conditioned,725.028,1,340,53.8196,725.028,0,0,2243.04,0,0,0,2900.11,290,0,725.028,
"P2.0 (S2)_L1-zn",Conditioned,1042.19,1,439.167,86.1113,1042.19,0,0,2715.43,0,0,0,4168.76,290,0,1042.19,
"P1.0 (S2)_L1-zn",Conditioned,716.861,1,505.833,53.8196,716.861,0,0,1750.98,0,0,0,2867.44,600,0,716.861,
"P2.0 (S3)_L1-zn",Conditioned,1018.42,1,601.666,86.1113,1018.42,0,0,2513.42,0,0,0,4073.68,290,0,1018.42,
"P1.0 (S3)_L1-zn",Conditioned,725.028,1,343.333,53.8196,725.028,0,0,2239.71,0,0,0,2900.11,290,0,725.028,
"P2.0 (S4)_L1-zn",Conditioned,1035.72,1,398.334,86.1113,1035.72,0,0,2745.55,0,0,0,4142.88,290,0,1035.72,
"P3.0 (S1)_L1-zn",Conditioned,1305.89,2,842.499,107.639,1305.89,0,0,2723.33,0,0,0,5223.56,290,0,1305.89,
"P2.0 (S1)_L2-zn",Conditioned,1019.58,1,504.166,86.1113,0,0,0,2612.86,0,0,0,4078.32,290,1019.58,1019.58,
"P1.0 (S1)_L2-zn",Conditioned,725.028,1,340,53.8196,0,0,0,2243.04,0,0,0,2900.11,290,725.028,725.028,
"P2.0 (S2)_L2-zn",Conditioned,1042.19,1,439.167,86.1113,0,0,0,2715.43,0,0,0,4168.76,290,1042.19,1042.19,
"P1.0 (S2)_L2-zn",Conditioned,716.861,1,511.834,53.8196,0,0,0,2054.98,0,0,0,2867.44,290,716.861,716.861,
"P2.0 (S3)_L2-zn",Conditioned,1018.42,1,607.667,86.1113,0,0,0,2507.42,0,0,0,4073.68,290,1018.42,1018.42,
