"(RunTitle not specified)  /  Standard  /  Jefferson Murrieta_Bldg 7C_2025-12-16.cibd22",003
"Tue 16-Dec-25   3:2 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",132.508,0,20.9944,8.43933,11.3177,0,0.154185,0,3.69642,5.17243,3.98007,3.07334,0,5.64855,49.366,0,14.0419,0,5.55219,0,1.07195,0,0,0,0
"MtrElec",1,1,2,"",133.811,0,26.8878,10.1821,13.0439,0,0.154185,0,4.5587,5.17243,3.98009,2.9532,0,4.6662,45.4805,0,13.3995,2.47506,0,0,0.857562,0,0,0,0
"MtrElec",1,1,3,"",211.741,0,27.2441,10.9356,0,96.1774,0.154185,0,4.55811,5.17243,3.98009,2.90041,0,3.68384,43.1525,0,13.1389,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,4,"",133.332,0,29.1412,11.4502,15.0156,0,0.154185,0,4.84689,5.17243,3.98009,2.90045,0,4.17502,43.0368,0,12.8158,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,5,"",137.23,0,33.7897,11.9933,14.556,0,0.154185,0,5.64355,5.17243,3.98009,2.88276,0,5.15737,40.8965,0,12.3615,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,6,"",172.273,0,34.2176,11.6588,0,43.3635,0.154185,0,5.6446,5.17243,3.98009,2.83398,0,7.61327,44.2801,0,12.2829,0,0,0,1.07195,0,0,0,0
"MtrElec",1,1,7,"",322.999,0,28.842,10.6054,0,185.844,0.154185,0,4.6006,5.17243,3.98009,2.83389,0,10.3147,49.6663,0,12.5404,4.21947,0,2.08167,2.1439,0,0,0,0
"MtrElec",1,1,8,"",347.696,0,23.6614,9.54089,0,185.844,0.154185,0,3.87645,5.17243,3.98009,2.89778,0,10.0692,55.2214,0,13.6509,3.20672,17.595,7.03782,5.78854,0,0,0,0
"MtrElec",1,1,9,"",319.513,0,19.1298,8.71644,85.3524,37.1687,0.154185,0,3.22367,5.17243,3.98009,2.9421,0,8.35004,52.0406,0,15.5975,0,59.4862,7.90817,10.2907,0,0,0,0
"MtrElec",1,1,10,"",308.879,0,12.2026,1.78766,107.56,0,0.154185,0,2.07014,5.17243,3.98009,2.98208,0,7.12209,50.1144,0,15.1677,5.04136,66.8428,18.3913,10.2907,0,0,0,0
"MtrElec",1,1,11,"",388.82,0,5.01211,0,109.86,0,0.154185,0,0.918982,5.17243,3.98017,0.0275944,0,6.63091,50.9318,0,14.9148,8.77695,155.45,17.1271,9.86195,0,0,0,0
"MtrElec",1,1,12,"",376.034,0,3.54283,0,112.279,0,0.154185,0,0.643747,5.17243,3.98015,0,0,6.13973,50.1726,0,15.2128,8.89885,144.765,13.2817,11.7915,0,0,0,0
"MtrElec",1,1,13,"",277.202,0,1.69497,0,42.6065,0,0.154185,0,0.306311,5.17243,3.98028,0,0,5.15737,52.4238,0,15.5183,11.9292,112.262,12.49,13.5066,0,0,0,0
"MtrElec",1,1,14,"",256.191,0,1.08999,0,45.5155,0,0.154185,0,0.196477,5.17243,3.98019,0,0,5.15737,53.8656,0,15.7341,0,105.57,7.10564,12.649,0,0,0,0
"MtrElec",1,1,15,"",224.091,0,0.937656,0,60.1409,0,0.154185,0,0.169229,5.17243,3.98018,0,0,5.15737,56.2454,0,15.5146,0,60.0595,3.26779,13.2922,0,0,0,0
"MtrElec",1,1,16,"",197.059,0,0.975747,0,53.489,0,0.154185,0,0.176148,5.17243,3.98015,0,0,6.38532,58.8867,0,15.9555,0,27.6206,9.68444,14.5785,0,0,0,0
"MtrElec",1,1,17,"",230.452,0,1.02868,0,21.4901,0,0.154185,0,0.185912,5.17243,3.98013,0,0,7.61327,65.4644,0,15.541,0,81.8565,8.45615,19.5095,0,0,0,0
"MtrElec",1,1,18,"",324.445,0,0.688231,0,99.6286,0,0.154185,0,0.124231,5.17243,3.98012,0,0,10.8059,73.1774,0,16.5096,3.64801,71.4745,9.28114,29.8002,0,0,0,0
"MtrElec",1,1,19,"",315.755,0,0.457789,0,74.1005,0,0.154185,0,0.0827704,5.17243,3.9801,0,0,20.6295,78.258,0,17.8711,3.77743,78.4476,5.1671,27.6563,0,0,0,0
"MtrElec",1,1,20,"",302.487,0,0.577488,0,93.3252,0,0.154185,0,0.105145,5.17243,3.9801,0,0,28.7339,81.1387,0,17.5187,9.90242,43.6742,2.76848,15.4361,0,0,0,0
"MtrElec",1,1,21,"",229.99,0,0.866823,0,55.6876,0,0.154185,0,0.158441,5.17243,3.98008,0,0,27.7516,83.9036,0,17.0469,1.1769,23.4002,3.8311,6.86049,0,0,0,0
"MtrElec",1,1,22,"",267.458,0,2.06894,0,89.1238,0,0.154185,0,0.380368,5.17243,3.98006,3.28014,0,23.5766,83.15,0,16.3623,1.2979,32.3819,3.52809,3.00146,0,0,0,0
"MtrElec",1,1,23,"",185.317,0,4.21996,0,26.7247,0,0.154185,0,0.782705,5.17243,3.9798,3.34015,0,15.4721,70.2608,0,14.9834,4.94855,29.8207,3.52821,1.92951,0,0,0,0
"MtrElec",1,1,24,"",187.457,0,7.52208,1.11498,44.1547,0,0.154185,0,1.41583,5.17243,3.9799,3.31555,0,9.57798,60.001,0,15.2046,4.95004,29.8217,0,1.07195,0,0,0,0
"MtrElec",1,2,1,"",116.971,0,10.8986,5.84132,13.6008,0,0.154185,0,2.09967,5.17243,3.97994,3.27684,0,5.64855,49.2313,0,13.5212,2.47455,0,0,1.07195,0,0,0,0
"MtrElec",1,2,2,"",115.867,0,13.8708,7.08548,14.4266,0,0.154185,0,2.61534,5.17243,3.98,3.17978,0,4.6662,44.9685,0,13.1923,1.69764,0,0,0.857562,0,0,0,0
"MtrElec",1,2,3,"",106.75,0,18.4392,8.62957,0,0,0.154185,0,3.16782,5.17243,3.98009,3.01944,0,3.68384,43.2761,0,12.7318,3.25256,0,0.385447,0.857562,0,0,0,0
"MtrElec",1,2,4,"",122.441,0,19.1979,9.14331,14.2393,0,0.154185,0,3.22608,5.17243,3.98009,2.98559,0,4.17502,43.0257,0,12.529,0,3.25794,0.496546,0.857562,0,0,0,0
"MtrElec",1,2,5,"",164.392,0,18.9047,9.27557,57.3853,0,0.154185,0,3.15325,5.17243,3.98009,2.98201,0,5.15737,41.02,0,12.1522,0,4.19699,0,0.857562,0,0,0,0
"MtrElec",1,2,6,"",108.027,0,17.148,8.2467,0,0,0.154185,0,2.76471,5.17243,3.98009,2.98646,0,7.61327,44.4037,0,12.5556,0,0,0,3.00146,0,0,0,0
"MtrElec",1,2,7,"",211.322,0,12.5287,0.843533,101.322,0,0.154185,0,2.04752,5.17243,3.98009,3.01024,0,10.3147,53.2325,0,14.1738,0,0,0.468189,4.07341,0,0,0,0
"MtrElec",1,2,8,"",231.302,0,11.4427,0.130606,106.898,0,0.154185,0,1.87601,5.17243,3.98009,3.05413,0,10.0692,57.0023,0,15.5987,1.78192,3.95731,4.82385,5.35975,0,0,0,0
"MtrElec",1,2,9,"",264.607,0,12.5851,0.0170418,107.888,0,0.154185,0,2.17489,5.17243,3.98009,3.06464,0,8.35004,53.0512,0,15.1271,4.42901,40.7729,2.26618,5.57415,0,0,0,0
"MtrElec",1,2,10,"",252.387,0,10.055,0,111.363,0,0.154185,0,1.85125,5.17243,3.98017,0.073585,0,7.12209,52.6764,0,13.9642,11.7978,19.1546,10.3053,4.71659,0,0,0,0
"MtrElec",1,2,11,"",219.823,0,7.54773,0,24.6944,0,0.154185,0,1.38277,5.17243,3.98016,0,0,6.63091,53.2435,0,13.5961,5.7197,87.1038,6.09497,4.50219,0,0,0,0
"MtrElec",1,2,12,"",243.054,0,7.65095,0,87.7981,0,0.154185,0,1.40205,5.17243,3.98021,0,0,6.13973,53.2435,0,13.7714,5.26854,51.5169,0.738297,6.21731,0,0,0,0
"MtrElec",1,2,13,"",150.596,0,10.3751,0,35.7751,0,0.154185,0,1.91053,5.17243,3.98014,3.20405,0,5.15737,53.3075,0,14.2218,3.18173,6.24036,0.412509,7.50366,0,0,0,0
"MtrElec",1,2,14,"",159.871,0,12.8489,0,47.868,0,0.154185,0,2.3764,5.17243,3.98012,3.24651,0,5.15737,54.3721,0,13.8782,0,3.48668,0.469537,6.86049,0,0,0,0
