"(RunTitle not specified)  /  Standard (PV-Batt only)  /  Jefferson Murrieta_Bldg 7C_2025-12-16.cibd22",001
"Tue 16-Dec-25   3:4 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",152.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.897,0,0,0
"MtrElec",1,1,2,"",154.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2,0,0,0
"MtrElec",1,1,3,"",232.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.11,0,0,0
"MtrElec",1,1,4,"",153.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.72,0,0,0
"MtrElec",1,1,5,"",157.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.618,0,0,0
"MtrElec",1,1,6,"",192.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.652,0,0,0
"MtrElec",1,1,7,"",343.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.343,0,0,0
"MtrElec",1,1,8,"",342.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.088,0,0,-26.3492
"MtrElec",1,1,9,"",252.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.912,0,0,-88.1244
"MtrElec",1,1,10,"",224.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.281,0,0,-106.143
"MtrElec",1,1,11,"",185.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.201,0,0,-224.346
"MtrElec",1,1,12,"",210.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.419,0,0,-187.199
"MtrElec",1,1,13,"",21.8456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.667,0,0,-277.821
"MtrElec",1,1,14,"",23.1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.661,0,0,-255.47
"MtrElec",1,1,15,"",92.4458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.569,0,0,-154.124
