"(RunTitle not specified)  /  Proposed  /  Jefferson Murrieta_Bldg 7C_2025-12-16.cibd22",002
"Tue 16-Dec-25   3:2 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",121.666,0,24.7335,10.3504,0,0,0.154185,0,4.04269,1.72568,2.11657,2.9153,0,5.64855,49.366,0,13.9886,0,5.55219,0,1.07195,0,0,0,0
"MtrElec",1,1,2,"",119.805,0,29.5159,11.7322,0,0,0.154185,0,4.87424,1.72568,2.11657,2.85302,0,4.6662,45.4805,0,13.3535,2.47506,0,0,0.857562,0,0,0,0
"MtrElec",1,1,3,"",114.2,0,29.4422,12.4849,0,0,0.154185,0,4.88252,1.72568,2.11657,2.81944,0,3.68384,43.1525,0,13.0947,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,4,"",117.076,0,31.3678,13.044,0,0,0.154185,0,5.22143,1.72568,2.11657,2.81871,0,4.17502,43.0368,0,12.7727,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,5,"",121.923,0,36.3738,13.6316,0,0,0.154185,0,6.10578,1.72568,2.11657,2.80414,0,5.15737,40.8965,0,12.3142,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,6,"",127.857,0,36.6331,13.1784,0,0,0.154185,0,6.07995,1.72568,2.11657,2.76709,0,7.61327,44.2801,0,12.2367,0,0,0,1.07195,0,0,0,0
"MtrElec",1,1,7,"",137.104,0,31.1791,12.1979,0,0,0.154185,0,5.0425,1.72568,2.11657,2.7667,0,10.3147,49.6663,0,12.4887,4.21947,0,2.08167,2.1439,0,1.00629,0,0
"MtrElec",1,1,8,"",297.615,0,26.1718,11.2383,0,0,0.154185,0,4.34042,1.72568,2.11649,2.80804,0,10.0692,55.2214,0,13.603,3.20672,17.595,7.03782,5.78854,0,182.994,0,-46.4558
"MtrElec",1,1,9,"",322.695,0,21.1063,10.2315,0,0,0.154185,0,3.57732,1.72568,2.11657,2.83583,0,8.35004,52.0406,0,15.5667,0,59.4862,7.90817,10.2907,0,282.676,0,-155.371
"MtrElec",1,1,10,"",303.718,0,13.7962,2.15162,115.87,0,0.154185,0,2.32375,1.72568,2.11657,2.86729,0,7.12209,50.1144,0,15.1238,5.04136,66.8428,18.3913,10.2907,0,176.925,0,-187.139
"MtrElec",1,1,11,"",62.4641,0,5.99459,0,135.356,0,0.154185,0,1.11443,1.72568,2.11658,0,0,6.63091,50.9318,0,14.8703,8.77695,155.45,17.1271,9.86195,0,47.8949,0,-395.541
"MtrElec",1,1,12,"",83.8325,0,4.2358,0,154.604,0,0.154185,0,0.833529,1.72568,2.11658,0,0,6.13973,50.1726,0,15.1618,8.89885,144.765,13.2817,11.7915,0,0,0,-330.048
"MtrElec",1,1,13,"",-199.253,0,2.14103,0,60.7802,0,0.154185,0,0.422289,1.72568,2.11666,0,0,5.15737,52.4238,0,15.4613,11.9292,112.262,12.49,13.5066,0,0,0,-489.823
"MtrElec",1,1,14,"",-244.563,0,1.5301,0,0,0,0.154185,0,0.304884,1.72568,2.11666,0,0,5.15737,53.8656,0,15.6726,0,105.57,7.10564,12.649,0,0,0,-450.415
"MtrElec",1,1,15,"",-10.6754,0,1.55138,0,101.732,0,0.154185,0,0.309452,1.72568,2.11662,0,0,5.15737,56.2454,0,15.4464,0,60.0595,3.26779,13.2922,0,0,0,-271.733
"MtrElec",1,1,16,"",59.1535,0,1.52141,0,0,0,0.154185,0,0.302954,1.72568,2.1166,0,0,6.38532,58.8867,0,15.9021,0,27.6206,9.68444,14.5785,0,0,0,-79.725
"MtrElec",1,1,17,"",214.654,0,1.48641,0,20.2789,0,0.154185,0,0.293809,1.72568,2.11659,0,0,7.61327,65.4644,0,15.4651,0,81.8565,8.45615,19.5095,0,0,0,-9.76616
"MtrElec",1,1,18,"",342.692,0,1.06198,0,122.796,0,0.154185,0,0.209653,1.72568,2.11658,0,0,10.8059,73.1774,0,16.4407,3.64801,71.4745,9.28114,29.8002,0,0,0,0
"MtrElec",1,1,19,"",239.071,0,0.6918,0,2.48495,0,0.154185,0,0.136091,1.72568,2.11658,0,0,20.6295,78.258,0,17.8255,3.77743,78.4476,5.1671,27.6563,0,0,0,0
"MtrElec",1,1,20,"",361.316,0,0.761298,0,157.288,0,0.154185,0,0.147822,1.72568,2.11657,0,0,28.7339,81.1387,0,17.4687,9.90242,43.6742,2.76848,15.4361,0,0,0,0
"MtrElec",1,1,21,"",179.629,0,1.04745,0,10.4665,0,0.154185,0,0.204061,1.72568,2.11656,0,0,27.7516,83.9036,0,16.9911,1.1769,23.4002,3.8311,6.86049,0,0,0,0
