"(RunTitle not specified)  /  Proposed-x  /  Jefferson Murrieta_Bldg 7C_2025-12-16.cibd22",003
"Tue 16-Dec-25   3:1 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",139.347,0,29.5673,7.90133,11.3163,0,0.154185,0,3.7102,5.17243,2.80675,3.03966,0,5.64855,49.366,0,14.0403,0,5.55219,0,1.07195,0,0,0,0
"MtrElec",1,1,2,"",141.076,0,36.3206,9.20452,13.0257,0,0.154185,0,4.5682,5.17243,2.80675,2.94663,0,4.6662,45.4805,0,13.3981,2.47506,0,0,0.857562,0,0,0,0
"MtrElec",1,1,3,"",122.665,0,36.6221,9.83231,0,0,0.154185,0,4.56573,5.17243,2.80675,2.8941,0,3.68384,43.1525,0,13.1375,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,4,"",140.756,0,38.9568,10.2287,15.0192,0,0.154185,0,4.85371,5.17243,2.80675,2.89426,0,4.17502,43.0368,0,12.8145,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,5,"",145.692,0,44.6918,10.6838,14.578,0,0.154185,0,5.67169,5.17243,2.80675,2.87662,0,5.15737,40.8965,0,12.36,0,0,0,0.64317,0,0,0,0
"MtrElec",1,1,6,"",387.891,0,45.7227,10.2864,0,250,0.154185,0,5.67572,5.17243,2.80675,2.82654,0,7.61327,44.2801,0,12.2814,0,0,0,1.07195,0,0,0,0
"MtrElec",1,1,7,"",160.269,0,39.8947,9.21896,0,14.6077,0.154185,0,4.62321,5.17243,2.80675,2.82626,0,10.3147,49.6663,0,12.5392,4.21947,0,2.08167,2.1439,0,0,0,0
"MtrElec",1,1,8,"",412.944,0,31.8353,8.50704,0,245.114,0.154185,0,3.89445,5.17243,2.80675,2.89067,0,10.0692,55.2214,0,13.6498,3.20672,17.595,7.03782,5.78854,0,0,0,0
"MtrElec",1,1,9,"",331.642,0,25.0749,8.03277,130.556,0,0.154185,0,3.23706,5.17243,2.80675,2.93528,0,8.35004,52.0406,0,15.5968,0,59.4862,7.90817,10.2907,0,0,0,0
"MtrElec",1,1,10,"",307.845,0,16.0493,1.65112,103.991,0,0.154185,0,2.07621,5.17243,2.80675,2.97554,0,7.12209,50.1144,0,15.1667,5.04136,66.8428,18.3913,10.2907,0,0,0,0
